NAME,CLUB,POSITION,total_offense,total_penalties,GP,HPI
"Bialowas, Yannik",HCE,LW,34,3,30,68
"Drosten, Florian",MTM,LW,36,3,27,68
"Röthlisberger, Samuel",STU,PV,40,22,30,72
"Janke, Maximilian",GWD,CB,59,22,26,66
"Kopljar, Marko",BER,RB,54,27,30,66
"Mamic, Marko",LEI,LB,47,22,12,66
"Stoyke, Timo",GWD,PV,24,11,15,71
"Kurch, Justin",HCE,PV,15,3,18,72
"Kiesler, Tom",GUM,LB,34,25,30,66
"Sajenev, Mika Laurin",LEI,PV,18,4,28,72
"Schöttle, Nico",STU,LB,33,7,15,65
"Link, Nikolai",HCE,LB,27,21,29,67
"Schimmelbauer, Tobias",HSV,LW,19,19,27,67
"Lindskog, Anton",SGF,PV,20,12,22,72
"Michalski, Niklas",RNL,RW,17,0,24,69
"Schmitz, Tobias",BHC,LW,15,2,14,68
"Bergner, Tom",BHC,PV,16,3,15,71
"Blaauw, Niko",TBV,CB,20,9,30,66
"Chrintz, Valter",BER,RW,15,0,11,65
"Pliuto, Nikita",WET,PV,8,0,10,77
"Timmermeister, Robert",RNL,LB,14,9,20,66
"Bozic, Vladimir",ASV,GK,16,1,30,66
"Portner, Nikola",SCM,GK,17,5,30,66
"Beekmann, Ben",MTM,LW,13,2,17,67
"Feit, Thore",HSV,PV,6,1,17,74
"Heitkamp, Niclas",LEI,CB,11,1,14,68
"Vortmann, Jens",HSV,GK,5,0,10,70
"Mrkva, Tomas",THW,GK,6,0,29,66
"Rudeck, Christopher",BHC,GK,15,4,29,69
"Sego, Marin",FAG,GK,7,1,30,65
"Ossenkopp, Lukas",HSV,LB,5,1,12,66
"Ebner, Domenico",HAN,GK,10,3,30,69
"Buric, Benjamin",SGF,GK,12,5,30,71
"Ferlin, Klemen",HCE,GK,10,3,30,67
"Vujovic, Miljan",STU,GK,14,0,29,69
"Ivanisevic, Tibor",GUM,GK,9,3,30,68
"Jensen, Mike",SCM,GK,8,2,28,66
"Langhoff, Matthes",BER,LB,12,1,17,66
"Seitz, Stephan",HCE,RB,8,4,11,64
"Späth, David",RNL,GK,4,2,20,68
"Hein, Paul Lukas",GWD,CB,7,0,11,67
"Schwormstede, Luca Alexander",THW,LB,5,0,13,68
"Heinevetter, Silvio",STU,GK,13,8,29,69
"Bitter, Johannes",HSV,GK,8,4,26,67
"Appelgren, Mikael",RNL,GK,13,7,24,70
"Landin, Niklas",THW,GK,10,2,29,74
"Møller, Kevin",SGF,GK,10,0,27,71
"Simic, Nebojsa",MTM,GK,8,3,29,73
"Johannesson, Peter",BHC,GK,7,0,30,66
"Milosavljev, Dejan",BER,GK,12,6,25,68
"Suljakovic, Anadin",WET,GK,3,0,30,65
"Budalic, Ivan",HSV,GK,3,0,18,64
"Kirschberger, Leon",SGF,RW,3,0,15,67
"Laube, Lukas",STU,PV,4,6,11,70
"Ayar, Koray",HAN,PV,2,0,16,73
"Pabst, Henri",THW,RB,9,0,12,66
"Quenstedt, Dario",HAN,GK,5,1,28,65
"Semisch, Malte",GWD,GK,15,8,30,67
"Szücs, Csaba",BHC,CB,4,2,13,67
"Rebmann, Daniel",FAG,GK,5,2,30,67
"Fuchs, Markus",ASV,LB,3,16,25,66
"Hertlein, Felix",ASV,GK,3,2,29,64
"Birlehm, Joel",RNL,GK,6,1,27,68
"Klimpke, Till",WET,GK,2,2,29,68
"Zecher, Finn",TBV,GK,1,0,30,65
"Chrapkowski, Piotr",SCM,LB,9,12,30,68
"Kastelic, Urh",TBV,GK,2,2,19,66
"Kireev, Victor",BER,GK,1,1,27,67
"Morawski, Adam",MTM,GK,1,0,29,68
"Sæverås, Kristian",LEI,GK,13,4,30,68
"Shamir, Yahav",GWD,GK,3,0,29,64
"Norsten, Fabian",GUM,GK,1,2,30,64
"Obling, Bertram",HCE,GK,4,2,29,66
"Houtepen, Thomas",TBV,CB,0,1,11,64
"El-Tayar, Mohamed Essam Moustafa",LEI,GK,2,2,27,65
