Year,Winner,Loser,WRank,LRank,pl1_flag,pl1_year_pro,pl1_weight,pl1_height,pl1_hand,pl2_flag,pl2_year_pro,pl2_weight,pl2_height,pl2_hand,higher_rank_won,rank_diff,rank_diff_cat,same_handedness
2022,Carreno Busta P.,Griekspoor T.,21,62,ESP,2009,78,188,Right,NED,2015,85,188,Right,Yes,-41,Medium,Yes
2022,Opelka R.,Koepfer D.,29,53,USA,2015,100,211,Right,GER,2016,79,180,Left,Yes,-24,Low,No
2022,Korda S.,Moutet C.,43,100,USA,2018,77,196,Right,FRA,2016,71,175,Left,Yes,-57,Medium,No
2022,Shapovalov D.,Kwon S.W.,14,54,CAN,2016,76,183,Left,KOR,2015,72,180,Right,Yes,-40,Medium,No
2022,Nadal R.,Hanfmann Y.,5,126,ESP,2001,85,185,Left,GER,2015,84,193,Right,Yes,-121,High,No
2022,Alcaraz C.,Lajovic D.,31,39,ESP,2018,72,185,Right,SRB,2007,78,183,Right,Yes,-8,Low,Yes
2022,Berrettini M.,Kozlov S.,7,169,ITA,2015,95,196,Right,USA,2013,79,183,Right,Yes,-162,High,Yes
2022,Garin C.,Martinez P.,19,61,CHI,2013,85,185,Right,ESP,2016,76,185,Right,Yes,-42,Medium,Yes
2022,Albot R.,Vukic A.,124,144,MDA,2008,69,175,Right,AUS,2018,85,188,Right,Yes,-20,Low,Yes
2022,Mannarino A.,Hurkacz H.,69,11,FRA,2004,70,180,Left,ITA,2013,77,188,Right,No,58,Medium,No
2022,Khachanov K.,Bonzi B.,30,63,RUS,2013,88,198,Right,FRA,2015,82,183,Right,Yes,-33,Medium,Yes
2022,Karatsev A.,Mcdonald M.,15,55,RUS,2011,85,185,Right,USA,2016,73,178,Right,Yes,-40,Medium,Yes
2022,Zverev A.,Millman J.,3,89,GER,2013,86,198,Right,AUS,2006,79,183,Right,Yes,-86,High,Yes
2022,Monfils G.,Bublik A.,20,37,FRA,2004,80,193,Right,KAZ,2014,76,196,Right,Yes,-17,Low,Yes
2022,Cilic M.,Gombos N.,27,117,CRO,2005,89,198,Right,SVK,2009,85,196,Right,Yes,-90,High,Yes
2022,O Connell C.,Schwartzman D.,175,13,AUS,2011,78,183,Right,ARG,2010,64,170,Right,No,162,High,Yes
2022,Cressy M.,Machac T.,70,132,USA,2019,91,198,Right,CZE,2017,74,183,Right,Yes,-62,Medium,Yes
2022,Rublev A.,Berankis R.,6,93,RUS,2014,68,188,Right,LTU,2007,70,175,Right,Yes,-87,High,Yes
2022,Evans D.,Rinderknech A.,24,48,GBR,2006,75,175,Right,FRA,2018,86,196,Right,Yes,-24,Low,Yes
2022,Andujar P.,Molcan A.,83,74,ESP,2003,76,180,Right,SVK,2018,73,178,Right,No,9,Low,Yes
2022,Fritz T.,Tiafoe F.,22,34,USA,2015,84,193,Right,USA,2015,77,188,Right,Yes,-12,Low,Yes
2022,Bautista Agut R.,Kohlschreiber P.,18,134,ESP,2005,76,183,Right,GER,2001,70,178,Right,Yes,-116,High,Yes
2022,Auger-Aliassime F.,Davidovich Fokina A.,9,50,CAN,2016,84,188,Right,ESP,2017,80,183,Right,Yes,-41,Medium,Yes
2022,De Minaur A.,Majchrzak K.,42,107,AUS,2015,69,180,Right,POL,2013,78,180,Right,Yes,-65,Medium,Yes
2022,Tsitsipas S.,Baez S.,4,88,GRE,2016,83,193,Right,ARG,2018,70,70,Right,Yes,-84,High,Yes
2022,Paire B.,Dimitrov G.,56,28,FRA,2007,80,196,Right,BUL,2008,80,191,Right,No,28,Low,Yes
2022,Daniel T.,Murray A.,120,113,JPN,2010,76,191,Right,GBR,2005,84,191,Right,No,7,Low,Yes
2022,Van De Zandschulp B.,Gasquet R.,57,81,NED,2018,83,188,Right,FRA,2002,75,185,Right,Yes,-24,Low,Yes
2022,Medvedev D.,Kyrgios N.,2,115,RUS,2014,81,198,Right,AUS,2013,85,193,Right,Yes,-113,High,Yes
2022,Sinner J.,Johnson S.,10,104,ITA,2018,76,188,Right,USA,2012,86,188,Right,Yes,-94,High,Yes
2022,Kecmanovic M.,Sonego L.,77,26,SRB,2017,75,183,Right,ITA,2013,76,191,Right,No,51,Medium,Yes
2022,Monfils G.,Garin C.,20,19,FRA,2004,80,193,Right,CHI,2013,85,185,Right,No,1,Low,Yes
2022,Berrettini M.,Alcaraz C.,7,31,ITA,2015,95,196,Right,ESP,2018,72,185,Right,Yes,-24,Low,Yes
2022,Shapovalov D.,Opelka R.,14,29,CAN,2016,76,183,Left,USA,2015,100,211,Right,Yes,-15,Low,No
2022,Carreno Busta P.,Korda S.,21,43,ESP,2009,78,188,Right,USA,2018,77,196,Right,Yes,-22,Low,Yes
2022,Zverev A.,Albot R.,3,124,GER,2013,86,198,Right,MDA,2008,69,175,Right,Yes,-121,High,Yes
2022,Nadal R.,Khachanov K.,5,30,ESP,2001,85,185,Left,RUS,2013,88,198,Right,Yes,-25,Low,No
2022,Mannarino A.,Karatsev A.,69,15,FRA,2004,70,180,Left,RUS,2011,85,185,Right,No,54,Medium,No
2022,Fritz T.,Bautista Agut R.,22,18,USA,2015,84,193,Right,ESP,2005,76,183,Right,No,4,Low,Yes
2022,Tsitsipas S.,Paire B.,4,56,GRE,2016,83,193,Right,FRA,2007,80,196,Right,Yes,-52,Medium,Yes
2022,Cressy M.,O Connell C.,70,175,USA,2019,91,198,Right,AUS,2011,78,183,Right,Yes,-105,High,Yes
2022,Medvedev D.,Van De Zandschulp B.,2,57,RUS,2014,81,198,Right,NED,2018,83,188,Right,Yes,-55,Medium,Yes
2022,Auger-Aliassime F.,Evans D.,9,24,CAN,2016,84,188,Right,GBR,2006,75,175,Right,Yes,-15,Low,Yes
2022,Sinner J.,Daniel T.,10,120,ITA,2018,76,188,Right,JPN,2010,76,191,Right,Yes,-110,High,Yes
2022,De Minaur A.,Andujar P.,42,83,AUS,2015,69,180,Right,ESP,2003,76,180,Right,Yes,-41,Medium,Yes
2022,Cilic M.,Rublev A.,27,6,CRO,2005,89,198,Right,RUS,2014,68,188,Right,No,21,Low,Yes
2022,Nadal R.,Mannarino A.,5,69,ESP,2001,85,185,Left,FRA,2004,70,180,Left,Yes,-64,Medium,Yes
2022,Shapovalov D.,Zverev A.,14,3,CAN,2016,76,183,Left,GER,2013,86,198,Right,No,11,Low,No
2022,Monfils G.,Kecmanovic M.,20,77,FRA,2004,80,193,Right,SRB,2017,75,183,Right,Yes,-57,Medium,Yes
2022,Berrettini M.,Carreno Busta P.,7,21,ITA,2015,95,196,Right,ESP,2009,78,188,Right,Yes,-14,Low,Yes
2022,Auger-Aliassime F.,Cilic M.,9,27,CAN,2016,84,188,Right,CRO,2005,89,198,Right,Yes,-18,Low,Yes
2022,Medvedev D.,Cressy M.,2,70,RUS,2014,81,198,Right,USA,2019,91,198,Right,Yes,-68,Medium,Yes
2022,Sinner J.,De Minaur A.,10,42,ITA,2018,76,188,Right,AUS,2015,69,180,Right,Yes,-32,Medium,Yes
2022,Tsitsipas S.,Fritz T.,4,22,GRE,2016,83,193,Right,USA,2015,84,193,Right,Yes,-18,Low,Yes
2022,Nadal R.,Shapovalov D.,5,14,ESP,2001,85,185,Left,CAN,2016,76,183,Left,Yes,-9,Low,Yes
2022,Berrettini M.,Monfils G.,7,20,ITA,2015,95,196,Right,FRA,2004,80,193,Right,Yes,-13,Low,Yes
2022,Tsitsipas S.,Sinner J.,4,10,GRE,2016,83,193,Right,ITA,2018,76,188,Right,Yes,-6,Low,Yes
2022,Medvedev D.,Auger-Aliassime F.,2,9,RUS,2014,81,198,Right,CAN,2016,84,188,Right,Yes,-7,Low,Yes
2022,Nadal R.,Berrettini M.,5,7,ESP,2001,85,185,Left,ITA,2015,95,196,Right,Yes,-2,Low,No
2022,Medvedev D.,Tsitsipas S.,2,4,RUS,2014,81,198,Right,GRE,2016,83,193,Right,Yes,-2,Low,Yes
2022,Nadal R.,Medvedev D.,5,2,ESP,2001,85,185,Left,RUS,2014,81,198,Right,No,3,Low,No
2021,Raonic M.,Coria F.,14,92,CAN,2008,98,196,Right,ARG,2010,73,180,Right,Yes,-78,High,Yes
2021,Mannarino A.,Novak D.,36,98,FRA,2004,70,180,Left,AUT,2011,80,183,Right,Yes,-62,Medium,No
2021,Ruusuvuori E.,Monfils G.,86,11,FIN,2018,79,188,Right,FRA,2004,80,193,Right,No,75,Medium,Yes
2021,Moutet C.,Millman J.,71,39,FRA,2016,71,175,Left,AUS,2006,79,183,Right,No,32,Medium,No
2021,Opelka R.,Lu Y.,38,1009,USA,2015,100,211,Right,TPE,2001,74,180,Right,Yes,-971,High,Yes
2021,Wawrinka S.,Sousa P.,18,107,SUI,2002,81,183,Right,POR,2007,70,178,Right,Yes,-89,High,Yes
2021,Bolt A.,Gombos N.,166,89,AUS,2011,84,183,Left,SVK,2009,85,196,Right,No,77,High,No
2021,Martinez P.,Nishioka Y.,87,58,ESP,2016,76,185,Right,JPN,2014,64,170,Left,No,29,Low,No
2021,Fritz T.,Ramos-Vinolas A.,31,46,USA,2015,84,193,Right,ESP,2007,80,188,Left,Yes,-15,Low,No
2021,Fucsovics M.,Polmans M.,55,126,HUN,2010,82,188,Right,AUS,2015,77,188,Right,Yes,-71,Medium,Yes
2021,Thiem D.,Kukushkin M.,3,90,AUT,2011,82,185,Right,KAZ,2006,72,183,Right,Yes,-87,High,Yes
2021,Karatsev A.,Mager G.,114,96,RUS,2011,85,185,Right,POL,2015,81,96,Right,No,18,Low,Yes
2021,Kecmanovic M.,Majchrzak K.,41,109,SRB,2017,75,183,Right,POL,2013,78,180,Right,Yes,-68,Medium,Yes
2021,Zverev A.,Giron M.,7,75,GER,2013,86,198,Right,USA,2014,77,180,Right,Yes,-68,Medium,Yes
2021,Bublik A.,Bedene A.,45,57,KAZ,2014,76,196,Right,GBR,2008,72,183,Right,Yes,-12,Low,Yes
2021,Gerasimov E.,Paire B.,79,29,BLR,2010,84,183,Right,FRA,2007,80,196,Right,No,50,Medium,Yes
