player,g,mp,pts,orb,drb,trb,ast,stl,blk,o_rtg,d_rtg,e_fg_percent,ft_percent
Gui Santos,56,762,14.5,4.6,6.4,11,5.1,1.6,0.6,118,113,0.553,0.69
Landry Shamet,50,762,18.6,0.7,3.3,4,1.8,1.5,0.1,114,118,0.596,0.667
Svi Mykhailiuk,38,760,21.1,1.4,4.3,5.7,4.8,1.2,0.4,103,123,0.507,0.8
Andre Drummond,40,751,19.2,7.2,13.2,20.4,2.2,2.6,1.2,108,112,0.506,0.622
Jabari Walker,60,749,20.3,3.8,9.9,13.7,2.4,2.1,0.4,120,112,0.576,0.69
Jay Huff,64,748,27.3,1.9,6.2,8,2.4,1,3.5,126,112,0.648,0.786
Drew Eubanks,61,746,18.1,3.9,10.7,14.6,3.5,0.8,2.5,120,115,0.601,0.662
Drew Eubanks,37,568,18.2,3.4,10.8,14.2,3.8,0.8,2.7,121,117,0.617,0.632
Drew Eubanks,24,178,18,5.5,10.5,16,2.5,0.6,1.9,117,110,0.551,0.786
Talen Horton-Tucker,58,724,24.4,1.2,5.2,6.4,5.4,1.4,0.7,112,117,0.527,0.735
Gary Harris,48,711,10.2,1.4,3.1,4.5,2.1,1.8,0.8,107,112,0.519,0.583
Micah Potter,38,705,11,2.9,8.2,11.2,2.1,1,1,110,121,0.537,0.85
Jett Howard,60,701,19,1.4,3.6,5,3.1,0.9,0.8,97,114,0.479,0.696
DeAndre Jordan,56,691,14.5,5.8,13.9,19.8,3.7,1.1,1.9,121,112,0.65,0.422
Quinten Post,42,686,24.1,2.5,8,10.5,4,1.1,1.3,116,112,0.582,0.778
Blake Wesley,58,683,15.4,1.2,3.1,4.3,8.1,2.6,0.4,102,118,0.481,0.623
Sandro Mamukelashvili,61,681,27.3,4.4,8.9,13.3,3.4,1.6,1.2,126,116,0.609,0.741
Marcus Smart,34,680,21,1.2,3.7,5,7.5,2.7,0.6,107,116,0.488,0.761
Marcus Smart,19,400,19.2,1.6,3.4,5,8.3,2.7,0.7,105,114,0.456,0.833
Marcus Smart,15,280,23.8,0.7,4.2,4.9,6.5,2.7,0.5,109,119,0.532,0.686
Jalen Pickett,49,666,14.4,1.1,4,5.1,7.7,1.4,0.4,120,119,0.539,0.75
Tosan Evbuomwan,28,665,20,2.4,6.6,9,4.1,1.8,0.7,105,116,0.482,0.753
Antonio Reeves,44,660,22.4,1.3,3.3,4.6,2.9,1.5,0.3,111,123,0.558,0.8
Kyle Lowry,35,659,10.3,0.8,4.2,5,7.2,2.5,0.8,119,118,0.474,0.818
Reed Sheppard,52,654,17,1.2,4.6,5.8,5.6,2.6,1.3,101,110,0.452,0.813
Herbert Jones,20,648,15.3,1.6,4.2,5.8,4.9,2.8,0.7,108,119,0.5,0.825
AJ Johnson,29,639,16.4,0.6,3.8,4.4,5.7,0.9,0.2,98,123,0.441,0.865
AJ Johnson,7,44,22,0,7.7,7.7,7.7,1.1,0,95,115,0.5,0.5
AJ Johnson,22,595,16,0.6,3.5,4.2,5.5,0.9,0.2,98,124,0.436,0.886
Maxi Kleber,34,637,7.8,1.9,5.3,7.2,3.3,0.7,1.3,104,119,0.453,0.762
Delon Wright,40,635,9.6,2.1,3,5.1,5.9,2.7,0.9,105,114,0.42,0.6
Delon Wright,26,405,7.8,1.8,3.7,5.5,5.7,2.7,1.1,94,113,0.341,0.563
Delon Wright,14,230,12.9,2.6,1.7,4.3,6.3,2.6,0.6,124,116,0.551,0.667
Jericho Sims,53,632,7.6,5.5,9.8,15.3,2.6,0.8,1.5,121,113,0.634,0.615
Jericho Sims,39,422,7.5,6,9.2,15.2,2.6,0.9,1.2,122,114,0.609,0.615
Jericho Sims,14,210,7.8,4.6,11.1,15.7,2.5,0.5,2.1,118,112,0.68,NA
Josh Okogie,40,625,22.3,3.6,5.4,8.9,2.6,3.8,1.4,114,113,0.519,0.741
Josh Okogie,25,351,21.1,4.5,5.6,10.1,2,3,1.4,116,116,0.561,0.688
Josh Okogie,15,274,23.9,2.3,5,7.4,3.4,4.8,1.4,111,110,0.469,0.774
Jeff Dowtin Jr.,41,621,22.6,1,3.8,4.8,6.2,1.9,1,122,120,0.548,0.733
Daniel Theis,38,621,12.6,3.4,9.4,12.8,4.7,1.4,1.6,119,118,0.508,0.838
Cory Joseph,50,612,14.4,1.4,4.7,6,5.9,2.1,0.3,118,111,0.529,0.778
Zeke Nnaji,57,608,14.6,2.6,4.5,7.1,1.8,2,3,120,114,0.557,0.614
Kessler Edwards,40,608,13.4,1.8,7.4,9.1,3.3,1.5,1.6,122,115,0.578,0.923
Pat Connaughton,41,603,17.3,1.5,7.2,8.7,5.6,0.7,0.9,116,115,0.542,0.774
Ajay Mitchell,36,597,18.8,1.4,4,5.5,5.1,2,0.3,117,111,0.557,0.829
Brandon Ingram,18,595,32.6,1.4,6.8,8.1,7.6,1.3,0.9,104,121,0.53,0.855
Jared McCain,23,592,29.3,1.1,3.6,4.7,5,1.2,0,113,123,0.553,0.875
Cam Reddish,33,589,8.8,1.4,4.1,5.5,1.8,2.8,0.8,106,114,0.473,0.615
Jae'Sean Tate,52,588,15.6,4.1,5.5,9.7,3.9,2.2,0.6,122,111,0.527,0.681
Olivier-Maxence Prosper,52,584,16.6,3.6,6.8,10.4,3.3,2.2,0.5,111,116,0.437,0.645
Jarred Vanderbilt,36,581,12.4,5.8,9.7,15.4,3.5,3,0.8,115,110,0.525,0.556
Joel Embiid,19,574,38.8,3.1,10.2,13.3,7.3,1.2,1.5,114,116,0.481,0.882
Monte Morris,45,571,20.2,1,4.8,5.8,6.3,1.7,0.3,115,121,0.505,0.857
Moritz Wagner,30,564,34.2,3.5,9.6,13.1,3.7,2.1,1.1,118,108,0.616,0.718
Malcolm Brogdon,24,564,25.7,1.8,5.9,7.7,8.3,1.1,0.4,113,121,0.467,0.88
John Konchar,46,558,9.3,3.1,9.5,12.6,3.5,2.5,1.2,128,110,0.577,0.875
Dwight Powell,55,551,10,4.1,6.2,10.4,4.8,1.6,1.8,144,115,0.705,0.651
Dillon Jones,54,551,11.8,2.6,7.9,10.5,5.1,1.4,0.3,103,109,0.444,0.607
Jordan Goodwin,29,543,14.6,3.4,6.7,10.1,3.8,2.7,1,111,112,0.528,0.818
Richaun Holmes,31,534,20.5,5.5,10.2,15.8,3.7,0.8,2,139,117,0.647,0.833
Mouhamed Gueye,33,533,17.3,3.9,8.3,12.2,2.4,2.5,2.9,114,111,0.482,0.762
Bismack Biyombo,28,528,13.2,3.9,10.5,14.5,2.8,1.5,2.1,111,114,0.588,0.4
Jaylen Clark,40,522,15.4,2.5,2.6,5,2.5,3.4,0.2,130,111,0.558,0.784
Rob Dillingham,49,516,20.9,1.1,3.6,4.8,9.4,1.9,0.1,99,114,0.5,0.533
Colby Jones,39,515,14.6,2,6.1,8.1,4.1,2.4,1.2,109,116,0.519,0.657
Colby Jones,24,130,9.8,3,5.6,8.7,2.6,2.3,2.6,98,113,0.5,NA
Colby Jones,15,385,16.2,1.6,6.3,7.9,4.6,2.5,0.7,112,118,0.524,0.657
Craig Porter Jr.,51,513,17.6,1.8,4.5,6.3,6.7,1.6,1.4,116,113,0.589,0.719
Tristan Vukcevic,35,513,30.6,2.4,9.6,12.1,3.6,1,2.1,110,117,0.574,0.776
Elfrid Payton,24,511,8.1,1.4,6.1,7.5,15.8,2.3,1,89,118,0.332,0.571
Elfrid Payton,18,388,9.9,1.7,6.5,8.2,18.2,2.2,1,93,119,0.371,0.571
Elfrid Payton,6,123,2.4,0.4,4.8,5.2,8,2.4,1.2,62,116,0.143,NA
Jamal Cain,37,502,18.9,2.6,5.6,8.2,2.1,2.2,0.9,109,120,0.513,0.68
Keaton Wallace,31,501,15.7,0.7,4,4.7,7.6,2.6,0.8,103,116,0.485,1
Jock Landale,42,500,19.5,5.5,7.9,13.3,3.6,1.3,1,126,111,0.569,0.675
Vince Williams Jr.,27,499,16.7,2,7.1,9.1,5.1,1.1,0.7,104,115,0.479,0.792
Wendell Moore Jr.,36,499,14.6,2.9,6.3,9.3,4.1,2,0.5,110,115,0.524,0.818
Wendell Moore Jr.,20,219,13.8,2.4,7.2,9.7,5.1,2.2,0.7,119,112,0.5,0.929
Wendell Moore Jr.,16,280,15.3,3.3,5.6,9,3.3,1.8,0.4,103,118,0.539,0.625
Brandon Williams,33,487,27.3,1.2,4.6,5.8,7.5,2.4,0.5,120,116,0.585,0.833
A.J. Lawson,26,486,23.4,2,6.5,8.5,3.1,1.3,0.6,113,116,0.508,0.683
Grant Williams,16,479,17,1.8,6.6,8.4,3.8,1.8,1.3,112,116,0.549,0.838
Lonnie Walker IV,20,477,25.5,0.6,5.9,6.5,5.2,1,0.5,108,121,0.526,0.8
Duop Reath,46,469,20.1,4.6,5,9.5,2.7,1.2,1.5,120,116,0.524,0.909
Reece Beekman,36,469,9.9,1.4,2.8,4.1,6.7,3.5,0.2,95,115,0.36,0.762
Reece Beekman,2,4,24.3,12.2,0,12.2,12.2,12.2,0,216,93,1,NA
Reece Beekman,34,465,9.7,1.3,2.8,4.1,6.6,3.4,0.2,94,115,0.354,0.762
Kai Jones,40,468,20.6,4.2,8.9,13,2.6,1.6,2.4,147,111,0.803,0.719
Kai Jones,28,208,14.4,3.6,7.3,10.9,2.4,1.4,3.1,131,108,0.722,0.75
Kai Jones,12,260,25.5,4.7,10,14.7,2.8,1.7,1.9,158,113,0.842,0.7
Larry Nance Jr.,24,463,20.5,2.3,8.1,10.4,3.8,2,1.3,125,114,0.626,0.692
Collin Gillespie,33,461,20.8,2.4,6,8.4,8.4,2.3,0.5,126,119,0.554,0.864
Rayan Rupert,52,460,16.4,2.7,4.6,7.4,2.6,1.7,0.4,99,117,0.465,0.767
GG Jackson II,29,459,21.2,2.7,6.6,9.3,2.9,1.2,0.5,99,115,0.452,0.725
Jaylon Tyson,47,453,17.7,3.9,6.3,10.2,4.7,1.4,0.3,111,114,0.497,0.792
Bol Bol,36,448,26.9,2.2,9.3,11.5,2.4,1,2.8,117,117,0.612,0.769
Paul Reed,45,438,20.2,4.4,9.1,13.5,4.8,4.3,2.7,118,103,0.535,0.762
Colin Castleton,26,432,13.7,5.9,7.7,13.6,3.1,0.9,1.1,114,116,0.48,0.763
Colin Castleton,10,46,14.1,3,6.1,9.1,0,1,1,112,115,0.2,0.909
Colin Castleton,11,288,13.2,5.7,7,12.7,3,1,1.3,106,115,0.516,0.722
Colin Castleton,5,98,15.1,8,10.6,18.6,5,0.5,0.5,138,119,0.5,0.667
Trevelin Queen,31,430,17.7,3,3.3,6.3,4.4,3.6,1.2,103,108,0.456,0.857
Malaki Branham,47,427,26.6,0.8,5,5.8,4.3,1.2,0.2,104,120,0.547,0.818
Jordan Miller,37,420,17.8,2.7,4.1,6.8,4,2,0.6,103,112,0.463,0.8
Mo Bamba,32,413,16.4,3.8,13.4,17.2,2.1,1.1,3.7,111,106,0.531,0.704
Mo Bamba,28,352,17.9,3.6,13.1,16.8,2.2,1.3,3.9,110,104,0.539,0.68
Mo Bamba,4,61,7.9,4.8,15.1,19.9,1.6,0,2.4,123,117,0.444,1
David Roddy,33,410,17.6,1.5,8.2,9.6,4,1.6,1,109,115,0.532,0.769
David Roddy,27,346,16.5,1.5,8,9.5,4.1,1.6,1.1,112,115,0.559,0.818
David Roddy,3,29,30.6,3.4,11.9,15.3,5.1,3.4,0,102,112,0.474,NA
David Roddy,3,35,18.1,0,7,7,2.8,0,1.4,96,114,0.423,0.5
Taj Gibson,37,409,12.9,6.1,8.3,14.4,2.5,1.1,2.2,105,115,0.5,0.6
Ousmane Dieng,37,405,16.8,2.1,7.5,9.6,3.7,2,0.8,109,108,0.524,0.688
Jordan Walsh,52,403,10.2,2.9,5.7,8.6,2.4,1.5,1.4,99,112,0.452,0.583
Hunter Tyson,51,400,16.1,3,6.4,9.4,2.4,1.2,0.7,109,118,0.471,0.75
Anthony Gill,51,397,15.5,2.2,5.8,7.9,1.9,1.1,0.2,119,122,0.545,0.66
Devin Carter,36,396,17,2.3,7,9.4,5.1,2.6,0.5,104,114,0.441,0.591
Jeff Green,32,396,21.1,1.4,5.8,7.1,2.5,0.7,0.5,134,114,0.624,0.808
Trey Jemison,38,392,11.8,5.5,7.6,13.1,2,1.1,1.9,104,116,0.554,0.394
Trey Jemison,16,166,11.1,6.4,6.4,12.8,2.9,2,1.8,100,118,0.469,0.381
Trey Jemison,22,226,12.4,4.8,8.5,13.3,1.3,0.4,2,108,115,0.619,0.417
Reggie Jackson,31,384,17.5,1,4.4,5.4,5.8,2.1,0.4,104,120,0.485,0.778
Baylor Scheierman,31,384,14.8,2.5,6,8.5,4.3,2.2,0.3,111,111,0.473,0.75
Quenton Jackson,28,381,20.4,1.8,3.8,5.6,6.7,2.6,0.6,121,114,0.537,0.775
Alex Len,46,380,9.5,4.9,7.3,12.2,4.9,1.2,2.7,114,114,0.524,0.471
Alex Len,36,258,9.9,4.7,7.4,12.1,5.7,1.5,3.4,124,113,0.549,0.538
Alex Len,10,122,8.9,5.2,7.3,12.5,3.2,0.4,1.2,96,117,0.477,0.25
Johnny Furphy,50,379,13.1,2.9,6.1,9,2.4,2.3,1.4,108,113,0.462,0.818
Charles Bassey,36,376,20.2,7.2,12.3,19.5,2.2,1.8,3.9,118,110,0.581,0.636
Dominick Barlow,35,375,18.5,4.4,6.2,10.6,2.4,1.1,2,129,116,0.562,0.636
Dante Exum,20,372,22.6,0.5,3.8,4.3,7.3,1.6,0.4,116,119,0.563,0.742
Damion Baugh,15,370,14.5,1.9,4.8,6.6,7.4,2,0.3,87,118,0.369,0.867
Jaden Springer,43,365,14.6,2.3,5.5,7.8,4.4,3.2,0.5,110,114,0.456,0.711
Jaden Springer,26,141,16,1.4,7.1,8.5,3.6,4.3,0.4,115,106,0.441,0.714
Jaden Springer,17,224,13.7,2.8,4.5,7.3,4.9,2.6,0.6,107,119,0.464,0.706
Robert Williams,20,351,16.1,4.8,11.5,16.3,2.9,1.8,4.6,130,107,0.647,0.882
Doug McDermott,42,342,21,0.4,2.7,3.1,1,0.6,0.3,119,122,0.615,0.6
Christian Koloko,37,342,12.9,5,8.2,13.2,2.3,1.2,2.3,128,113,0.606,0.714
Terrence Shannon Jr.,32,339,20.1,1.5,5.4,6.8,4.7,1,0.7,114,114,0.531,0.81
Keion Brooks Jr.,14,332,20.7,1.8,6.7,8.5,1.9,1.5,1.5,114,120,0.55,0.733
Tristan Thompson,40,328,10.1,4.7,15,19.6,3.5,0.3,1.6,100,109,0.437,0.233
Maxwell Lewis,28,327,17.6,2.7,5.6,8.4,2.9,1.4,1.1,104,117,0.505,0.7
Maxwell Lewis,7,29,6.8,3.4,0,3.4,3.4,1.7,0,78,120,0.333,NA
Maxwell Lewis,21,298,18.7,2.7,6.2,8.9,2.8,1.3,1.2,106,116,0.515,0.7
Jevon Carter,36,321,22.2,0.6,5.1,5.7,5.8,1.9,0.4,107,117,0.497,0.8
Patty Mills,29,321,16.7,0.6,2.7,3.3,3.9,2,0.5,105,121,0.51,0.929
Patty Mills,17,260,13.7,0.6,3.3,3.9,3.9,2.2,0.6,92,121,0.454,1
Patty Mills,12,61,29.9,0.8,0,0.8,4,0.8,0,156,118,0.725,0.889
Tre Mann,13,319,28.2,1.8,4,5.9,6,1.1,0.6,105,120,0.509,0.905
Jalen Hood-Schifino,15,315,16.6,0.5,3.8,4.2,5.8,0.8,1.1,100,122,0.449,0.857
Jalen Hood-Schifino,2,14,14.1,3.5,0,3.5,3.5,0,3.5,152,119,1,1
Jalen Hood-Schifino,13,301,16.7,0.3,3.9,4.3,5.9,0.8,1,99,122,0.443,0.842
Torrey Craig,26,314,16.8,4.2,7.2,11.4,2.6,1.2,1.9,121,112,0.556,0.667
Torrey Craig,9,113,25.6,3.3,7,10.3,2.1,0.8,0.4,138,118,0.656,0.75
Torrey Craig,17,201,11.5,4.7,7.2,12,3,1.5,2.7,110,109,0.456,0.625
Jordan McLaughlin,46,314,15.2,0.9,3.7,4.7,7.9,2.5,0.2,122,118,0.563,0.773
Jordan McLaughlin,28,190,13.6,1,4.4,5.4,6.2,2.8,0,106,116,0.477,0.688
Jordan McLaughlin,18,124,17.5,0.8,2.7,3.5,10.5,1.9,0.4,148,120,0.696,1
Matisse Thybulle,15,312,17.4,2.2,5.9,8.1,4.4,5.1,1.4,119,107,0.597,0.467
Isaac Jones,40,304,21.6,3.5,5.6,9.2,1.9,0.8,1.6,124,118,0.669,0.639
Tyler Kolek,41,296,13.6,1.3,3.2,4.5,11.7,2,0.7,109,116,0.415,0.765
Mitchell Robinson,17,290,14.9,8.9,8.4,17.3,2.2,2.7,3.1,143,108,0.661,0.684
Josh Minott,46,276,21.3,2.1,6.3,8.4,3.2,2.7,2.1,121,108,0.567,0.895
Kobe Brown,40,272,13.9,3.4,8.3,11.8,4.3,1.3,0.7,110,111,0.5,0.714
Dru Smith,14,268,16.2,2.2,4.5,6.7,4.3,3.9,1.1,115,109,0.639,0.75
Isaiah Wong,20,265,22.3,2.6,3.3,5.9,5.2,2,0,103,119,0.452,0.735
Marvin Bagley III,31,265,24.2,6.8,8.2,14.9,2,1.6,1.4,117,115,0.533,0.657
Marvin Bagley III,19,166,26.7,7.7,8.3,16,2,2,1.4,113,116,0.549,0.652
Marvin Bagley III,12,99,20.2,5.2,8,13.1,1.9,0.9,1.4,125,114,0.5,0.667
Oscar Tshiebwe,14,255,20.1,8.7,14.3,23,1.7,2.4,0.2,135,114,0.6,0.742
Drew Timme,9,254,21.4,3.3,9.4,12.7,3.9,0.8,0.2,100,117,0.485,0.625
Marcus Bagley,10,253,13.1,4.5,9.2,13.6,1.9,1.8,2.3,105,115,0.428,0.8
Cam Spencer,25,252,19.6,2.2,3.3,5.5,6.3,1.7,0.2,134,117,0.53,1
Kevin Love,23,251,24.2,4.4,14.3,18.7,4.4,3,0.8,103,106,0.461,0.696
Pat Spencer,39,250,19.1,2.9,6,9,9.3,2.7,0.6,103,111,0.431,0.733
JT Thor,20,249,13.6,3.8,5.4,9.2,1.1,1.5,1.7,106,118,0.475,0.682
JT Thor,9,42,32.1,3.4,3.4,6.9,1.1,2.3,3.4,114,110,0.7,0.875
JT Thor,11,207,9.9,3.9,5.7,9.7,1.1,1.4,1.4,103,120,0.398,0.571
Branden Carlson,32,246,23.8,3.3,7.2,10.5,2.7,1,4.1,122,106,0.557,0.778
Dariq Whitehead,20,246,23.1,0.8,5.1,5.9,2.4,1.2,0.2,102,118,0.578,0.6
Johnny Davis,34,242,15.7,2,5.5,7.5,2.2,2.9,1.2,99,117,0.455,0.6
Jaylen Martin,16,239,15.5,2.2,6.6,8.8,3.4,1.8,0,99,120,0.466,0.9
Jaylen Martin,3,5,29.9,0,0,0,0,0,0,137,124,0.75,NA
Jaylen Martin,13,234,15.2,2.2,6.7,8.9,3.5,1.8,0,99,120,0.458,0.9
Bones Hyland,24,239,30.7,1,4.1,5.2,6.6,3.7,0.8,107,108,0.534,0.885
Bones Hyland,20,222,31.9,1.1,4.2,5.3,6.2,4,0.9,105,107,0.526,0.885
Bones Hyland,4,17,14.5,0,2.9,2.9,11.6,0,0,146,119,0.833,NA
Xavier Tillman Sr.,33,231,7.4,2.2,7.2,9.3,1.5,2.4,1.1,67,109,0.292,0.75
Garrett Temple,28,227,11.2,1.9,4.2,6.1,6.6,3.6,0.4,98,112,0.35,0.917
Jared Rhoden,14,227,25.1,3,5.9,8.9,3.4,2.1,0.4,122,115,0.552,0.88
Jared Rhoden,4,12,16.4,8.2,8.2,16.4,8.2,4.1,0,72,111,0.25,NA
Jared Rhoden,10,215,25.5,2.7,5.8,8.5,3.1,2,0.4,127,115,0.582,0.88
Luka Garza,39,219,31.1,7,5.2,12.2,2.5,1.4,0.7,118,114,0.543,0.686
Ariel Hukporti,25,217,11,3.2,8.5,11.7,2.5,0.2,3.4,95,113,0.677,0.462
Alex Reese,15,216,17.3,2.1,8.7,10.7,0.9,2.3,2.3,122,114,0.62,0.75
Alex Reese,1,2,48,24,0,24,0,0,0,212,119,1,NA
Alex Reese,14,214,17,1.8,8.8,10.6,0.9,2.3,2.3,121,114,0.613,0.75
Dario Šarić,16,210,12.8,3.2,8.2,11.4,5.3,1.6,0.2,97,116,0.422,0.7
Adam Flagler,37,203,15.4,1.7,4.7,6.4,2.8,1.9,0.7,80,110,0.333,0.5
Chuma Okeke,9,196,13.3,5.3,6.5,11.8,3.8,1.3,1,144,119,0.638,0.667
Chuma Okeke,7,171,13.8,5.8,6.6,12.4,3.7,1.4,0.9,151,119,0.697,0.667
Chuma Okeke,2,25,9.6,1.9,5.8,7.7,3.8,0,1.9,101,116,0.357,NA
Drew Peterson,25,186,14.6,2.4,8.4,10.8,3.5,1.3,0.5,119,112,0.573,0.778
Markelle Fultz,21,184,16.2,1.6,3.7,5.3,7.2,2.7,0.5,93,116,0.448,1
Lester Quiñones,13,183,22.8,1.1,4,5,6.4,0.8,0.5,102,124,0.481,0.846
Lester Quiñones,4,17,26.1,8.7,2.9,11.6,2.9,0,0,84,126,0.5,1
Lester Quiñones,9,166,22.5,0.3,4.1,4.4,6.7,0.9,0.6,105,124,0.479,0.833
Bronny James,27,181,16.8,1.1,3.8,4.9,6,2.4,0.8,89,115,0.381,0.786
