player,g,mp,pts,orb,drb,trb,ast,stl,blk,o_rtg,d_rtg,e_fg_percent,ft_percent
Yuri Collins,2,16,6.1,6.1,3,9.1,12.2,6.1,0,141,105,0.333,NA
Tristen Newton,8,16,9.1,6.1,6.1,12.2,6.1,3,0,55,111,0.125,1
Tristen Newton,5,8,18,0,0,0,6,0,0,52,123,0.167,1
Tristen Newton,3,8,0,12.3,12.3,24.7,6.2,6.2,0,62,99,0,NA
Daishen Nix,3,13,3.8,0,15.2,15.2,11.4,0,0,44,111,0,0.5
Skal Labissière,4,12,20.4,4.1,8.2,12.2,4.1,0,0,143,120,0.625,NA
Braxton Key,3,11,13.3,4.4,4.4,8.8,0,8.8,0,54,99,0,0.5
Cui Yongxi,5,10,14.9,0,10,10,0,0,0,44,119,0.143,0.5
Mac McClung,2,10,0,0,5,5,15,0,0,75,116,0,NA
Quincy Olivari,2,10,14.8,0,0,0,4.9,0,0,62,124,0.3,NA
Terence Davis,1,8,0,0,6.1,6.1,6.1,0,0,34,122,0,NA
Jalen McDaniels,4,7,0,0,0,0,6.8,6.8,0,233,113,NA,NA
Riley Minix,1,7,0,0,13.8,13.8,0,0,0,0,118,0,NA
Isaiah Stevens,3,6,0,0,16.6,16.6,0,8.3,0,0,93,0,NA
Terry Taylor,3,6,0,8.2,0,8.2,16.3,0,0,122,125,0,NA
Jesse Edwards,2,5,0,0,0,0,9.9,0,0,237,120,NA,NA
James Wiseman,1,5,57.7,0,9.6,9.6,0,0,0,127,118,0.5,1
Alondes Williams,1,4,60.1,0,0,0,12,0,0,246,122,1.25,NA
Zyon Pullin,3,3,0,0,0,0,0,0,0,0,123,0,NA
Jahlil Okafor,1,3,0,0,16,16,16,0,0,230,114,NA,NA
League Average,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.543,0.78
