pitch_type,count,release_speed,description
FF,2-0,94.1,foul
FF,1-0,93.9,ball
FF,0-0,92.3,ball
SL,3-2,86.6,called_strike
CU,2-2,79.1,ball
FF,2-2,96.2,foul
SL,2-1,87.8,foul
FF,2-0,95.3,foul
FF,1-0,94.7,ball
FF,0-0,94.6,ball
SL,1-2,88,called_strike
FF,1-2,96.2,foul
SL,1-1,86.7,swinging_strike
SL,1-0,86.4,swinging_strike
SL,0-0,87.2,ball
SL,0-2,86.5,called_strike
CU,0-1,76.1,called_strike
FF,0-0,92.4,called_strike
SL,1-2,88,swinging_strike_blocked
SL,1-1,88.6,swinging_strike
SL,1-0,87,called_strike
CU,0-0,77.7,ball
CH,1-2,86.9,foul_tip
SL,1-2,88.6,foul
SL,1-1,85.8,called_strike
FF,0-1,94.6,ball
FF,0-0,94.4,called_strike
SL,3-2,87.4,swinging_strike
FF,3-2,95.4,foul
FF,3-2,95.9,foul
FF,3-1,93.6,swinging_strike
FF,2-1,94.3,ball
FF,1-1,94.2,ball
FF,0-1,93.2,ball
CU,0-0,76.8,called_strike
FF,1-2,96.4,foul_tip
FF,0-2,95.7,ball
FF,0-2,95.1,foul
FF,0-1,95.3,foul
FF,0-0,94.6,called_strike
FF,1-1,95.8,hit_into_play
CU,0-1,78.5,ball
FF,0-0,94.8,foul
SL,3-2,88.2,swinging_strike
FF,3-1,95,foul
FF,2-1,95.5,ball
FF,1-1,95.5,ball
FF,0-1,95.2,ball
FF,0-0,95,swinging_strike
FF,1-2,97.1,swinging_strike
FF,1-1,96.7,swinging_strike
SL,0-1,88.4,ball
SL,0-0,89.8,foul
CU,0-2,82.3,hit_into_play
FF,0-1,96.1,foul
FF,0-0,96.2,foul
FF,0-0,95.9,hit_into_play
FF,1-2,96,hit_into_play
FF,1-1,95.4,foul
FF,0-1,94.3,ball
CU,0-0,78.2,called_strike
SL,1-2,87,hit_by_pitch
CU,0-2,79,ball
FF,0-2,95.1,foul
FF,0-2,95.8,foul
FF,0-1,94.1,foul
CU,0-0,77,called_strike
FF,2-2,96.2,called_strike
FF,2-1,95.1,foul
SL,2-0,85.7,called_strike
CU,1-0,77.6,ball
CU,0-0,78.1,ball
CU,1-1,78.5,hit_into_play
FF,0-1,95.2,ball
SL,0-0,86.2,called_strike
FF,1-0,93.6,hit_into_play
FF,0-0,94.3,ball
FF,0-0,94.6,hit_into_play
CU,0-2,80.6,hit_into_play
SL,0-1,91.1,foul
CH,0-0,85.6,foul
FF,1-2,95.4,swinging_strike
CU,0-2,80.4,ball
FF,0-2,94.6,foul
FF,0-1,93.8,swinging_strike
FF,0-0,93.8,called_strike
SL,2-1,89.5,hit_into_play
FF,2-0,96.4,foul
FF,1-0,95.8,ball
FF,0-0,96.6,ball
SL,1-0,87.9,hit_into_play
FF,0-0,95.7,ball
FF,2-2,96.6,called_strike
SL,1-2,87.6,ball
SL,1-1,87.7,foul
CU,0-1,80.8,ball
FF,0-0,95.2,called_strike
CU,1-2,80,swinging_strike_blocked
FF,0-2,95.5,ball
FF,0-1,94.4,called_strike
CU,0-0,77.5,called_strike
FF,0-0,94.9,hit_into_play
SL,1-0,88.3,hit_into_play
CU,0-0,79.7,ball
CH,1-2,87.2,swinging_strike
CU,1-2,81.2,foul
SL,1-2,89.5,foul
CU,1-2,80,foul
FF,1-1,95.1,foul
FF,1-0,94.4,foul_tip
FF,0-0,93.9,ball
SL,0-1,88.6,hit_into_play
CU,0-0,79.9,foul
FF,3-2,96.9,ball
SL,3-2,89.6,foul
SL,3-2,88.6,foul
SL,2-2,83.7,ball
SL,1-2,88.5,ball
FF,1-1,95.4,foul
CU,1-0,79.9,swinging_strike
CU,0-0,80.3,ball
FF,0-2,95.5,hit_into_play
FF,0-1,95.9,swinging_strike
FF,0-0,94.1,called_strike
SL,1-2,87.8,swinging_strike
SL,1-1,88.5,called_strike
SL,0-1,87.7,ball
FF,0-0,93.4,called_strike
FF,0-0,92.9,hit_into_play
FF,3-2,96.6,swinging_strike
SL,3-1,89.1,called_strike
FF,3-0,95.6,called_strike
SL,2-0,87.9,ball
CU,1-0,78.9,ball
CU,0-0,79.5,ball
SL,0-1,87.9,hit_into_play
FF,0-0,94.5,called_strike
SL,0-0,88.5,hit_into_play
FF,1-0,95.7,hit_into_play
FF,0-0,95.9,ball
SL,2-2,88.2,hit_into_play
SL,2-1,88,foul
SL,1-1,88,ball
