season,tour,date,location,event,bull,score
2019,Unleash The Beast,2019-02-23,"Los Angeles, CA",LOS ANGELES IRON COWBOY PRESENTED BY ARIAT,Air Assault,0
2019,Unleash The Beast,2019-02-23,"Los Angeles, CA",LOS ANGELES IRON COWBOY PRESENTED BY ARIAT,Hostage,0
2019,Unleash The Beast,2019-02-23,"Los Angeles, CA",LOS ANGELES IRON COWBOY PRESENTED BY ARIAT,Hitman,85.75
2019,Unleash The Beast,2019-02-22,"Los Angeles, CA",LOS ANGELES IRON COWBOY PRESENTED BY ARIAT,Mortimer,84.75
2019,Unleash The Beast,2019-02-16,"St. Louis, MO",MASON LOWE MEMORIAL,Preachers Kid,0
2019,Unleash The Beast,2019-02-16,"St. Louis, MO",MASON LOWE MEMORIAL,Kick Out The Lights,74.75
2019,Unleash The Beast,2019-02-15,"St. Louis, MO",MASON LOWE MEMORIAL,Lonesome Trail,81
2019,Global Cup,2019-02-10,"Arlington, TX",2019 USA Global Cup,Rodeo Houston,0
2019,Global Cup,2019-02-10,"Arlington, TX",2019 USA Global Cup,Biker Bob,89.25
2019,Global Cup,2019-02-09,"Arlington, TX",2019 USA Global Cup,Frequent Flyer,90
2019,Global Cup,2019-02-09,"Arlington, TX",2019 USA Global Cup,Wicked Stick,0
2019,Unleash The Beast,2019-02-02,"Oklahoma City, OK",EXPRESS RANCHES INVITATIONAL,JC Special,0
2019,Unleash The Beast,2019-02-01,"Oklahoma City, OK",EXPRESS RANCHES INVITATIONAL 15/15,Frequent Flyer,91.25
2019,Unleash The Beast,2019-02-01,"Oklahoma City, OK",EXPRESS RANCHES INVITATIONAL,The Right Stuff,0
2019,Unleash The Beast,2019-01-27,"Sacramento, CA",SACRAMENTO INVITATIONAL,Hou's That,0
2019,Unleash The Beast,2019-01-26,"Sacramento, CA",SACRAMENTO INVITATIONAL,Jack Shot,0
2019,Unleash The Beast,2019-01-25,"Sacramento, CA",SACRAMENTO INVITATIONAL,Cool Customer,0
2019,Unleash The Beast,2019-01-20,"Glendale, AZ",AK-CHIN INVITATIONAL PRESENTED BY COOPER TIRES,Wicked Stick,90.5
2019,Unleash The Beast,2019-01-20,"Glendale, AZ",AK-CHIN INVITATIONAL PRESENTED BY COOPER TIRES,In For Life,87.5
2019,Unleash The Beast,2019-01-20,"Glendale, AZ",AK-CHIN INVITATIONAL PRESENTED BY COOPER TIRES,Tailgate Party,41
2019,Unleash The Beast,2019-01-19,"Glendale, AZ",AK-CHIN INVITATIONAL PRESENTED BY COOPER TIRES 15/15,Wicked Dreams,0
2019,Unleash The Beast,2019-01-19,"Glendale, AZ",AK-CHIN INVITATIONAL PRESENTED BY COOPER TIRES,Sketchy Bob,0
2019,Unleash The Beast,2019-01-13,"Chicago, IL",CHICAGO INVITATIONAL,Shownuff,0
2019,Unleash The Beast,2019-01-13,"Chicago, IL",CHICAGO INVITATIONAL,Call The Law,87.25
2019,Unleash The Beast,2019-01-12,"Chicago, IL",CHICAGO INVITATIONAL,Blue Crush,87.25
2019,Unleash The Beast,2019-01-06,"New York, NY",MONSTER ENERGY BUCKOFF AT THE GARDEN PRESENTED BY ARIAT,Hedoo,0
2019,Unleash The Beast,2019-01-05,"New York, NY",MONSTER ENERGY BUCKOFF AT THE GARDEN PRESENTED BY ARIAT,Living Large,0
2019,Unleash The Beast,2019-01-04,"New York, NY",MONSTER ENERGY BUCKOFF AT THE GARDEN PRESENTED BY ARIAT,Lab Rat,83.75
2019,Unleash The Beast,2019-01-04,"New York, NY",MONSTER ENERGY BUCKOFF AT THE GARDEN PRESENTED BY ARIAT 15/15,Cochise,91.25
2019,Pendleton Whisky Velocity Tour,2018-12-01,"Corpus Christi, TX",Corpus Christi Chute Out,Sosa's Alley Cat,91.5
2019,Pendleton Whisky Velocity Tour,2018-12-01,"Corpus Christi, TX",Corpus Christi Chute Out,Gin Palace,87
2018,25th PBR: Unleash the Beast,2018-11-11,"Las Vegas, NV",25TH PBR WORLD FINALS: UNLEASH THE BEAST,SweetPro's Bruiser,93.5
2018,25th PBR: Unleash the Beast,2018-11-11,"Las Vegas, NV",25TH PBR WORLD FINALS: UNLEASH THE BEAST,Frequent Flyer,0
2018,25th PBR: Unleash the Beast,2018-11-10,"Las Vegas, NV",25TH PBR WORLD FINALS: UNLEASH THE BEAST,South Texas Gangster,0
2018,25th PBR: Unleash the Beast,2018-11-09,"Las Vegas, NV",25TH PBR WORLD FINALS: UNLEASH THE BEAST,Bottoms Up,89.75
2018,25th PBR: Unleash the Beast,2018-11-08,"Las Vegas, NV",25TH PBR WORLD FINALS: UNLEASH THE BEAST,Bad Beagle,91
2018,25th PBR: Unleash the Beast,2018-11-07,"Las Vegas, NV",25TH PBR WORLD FINALS: UNLEASH THE BEAST,Swamp Wreck,88.75
2018,25th PBR: Unleash the Beast,2018-11-07,"Las Vegas, NV",25TH PBR WORLD FINALS: UNLEASH THE BEAST,Full Count,0
2018,Real Time Pain Relief Velocity Tour,2018-11-03,"Las Vegas, NV",Real Time Pain Relief Velocity Tour Finals,Wylie,0
2018,Real Time Pain Relief Velocity Tour,2018-11-03,"Las Vegas, NV",Real Time Pain Relief Velocity Tour Finals,Short Pop,0
2018,Real Time Pain Relief Velocity Tour,2018-11-02,"Las Vegas, NV",Real Time Pain Relief Velocity Tour Finals,Wired To Hook,88
2018,Real Time Pain Relief Velocity Tour,2018-10-27,"Colorado Springs, CO","Colorado Springs, CO PBR Velocity Tour",War Cloud,90.5
2018,Real Time Pain Relief Velocity Tour,2018-10-27,"Colorado Springs, CO","Colorado Springs, CO PBR Velocity Tour",Dream Catcher,86.5
2018,Real Time Pain Relief Velocity Tour,2018-10-26,"Colorado Springs, CO","Colorado Springs, CO PBR Velocity Tour",Sharky,88.5
2018,25th PBR: Unleash the Beast,2018-10-21,"Nampa, ID",DEWALT GUARANTEED TOUGH INVITATIONAL PRESENTED BY COOPER TIRES,Tractorland's Pound Sand,88
2018,25th PBR: Unleash the Beast,2018-10-21,"Nampa, ID",DEWALT GUARANTEED TOUGH INVITATIONAL PRESENTED BY COOPER TIRES,Saint Joe,87.5
2018,25th PBR: Unleash the Beast,2018-10-20,"Nampa, ID",DEWALT GUARANTEED TOUGH INVITATIONAL PRESENTED BY COOPER TIRES,Whiskey Bent,88.5
2018,25th PBR: Unleash the Beast,2018-10-14,"Greensboro, NC",COOPER TIRES TAKE THE MONEY AND RIDE,Blue Boy,0
2018,25th PBR: Unleash the Beast,2018-10-13,"Greensboro, NC",COOPER TIRES TAKE THE MONEY AND RIDE,Buster,76.5
2018,25th PBR: Unleash the Beast,2018-10-07,"Milwaukee, WI",ARIAT INVITATIONAL PRESENTED BY COOPER TIRES,Bad Beagle,0
2018,25th PBR: Unleash the Beast,2018-10-07,"Milwaukee, WI",ARIAT INVITATIONAL PRESENTED BY COOPER TIRES,Great Guns,84.25
2018,25th PBR: Unleash the Beast,2018-10-06,"Milwaukee, WI",ARIAT INVITATIONAL PRESENTED BY COOPER TIRES,Hot Time,83
2018,25th PBR: Unleash the Beast,2018-10-06,"Milwaukee, WI",ARIAT INVITATIONAL PRESENTED BY COOPER TIRES 15/15,Humdinger,91.25
2018,25th PBR: Unleash the Beast,2018-09-29,"Austin, TX",WINSTAR WORLD CASINO AND RESORT INVITATIONAL,Ol' Boy,89.25
2018,25th PBR: Unleash the Beast,2018-09-29,"Austin, TX",WINSTAR WORLD CASINO AND RESORT INVITATIONAL,Snake Eyes,0
2018,25th PBR: Unleash the Beast,2018-09-29,"Austin, TX",WINSTAR WORLD CASINO AND RESORT INVITATIONAL,Hitman,88.25
2018,25th PBR: Unleash the Beast,2018-09-28,"Austin, TX",WINSTAR WORLD CASINO AND RESORT INVITATIONAL,Crazy Cat,0
2018,25th PBR: Unleash the Beast,2018-09-23,"Fairfax, VA",U.S. BORDER PATROL INVITATIONAL,Bad Beagle,0
2018,25th PBR: Unleash the Beast,2018-09-23,"Fairfax, VA",U.S. BORDER PATROL INVITATIONAL,Tractor Tippin,86
2018,25th PBR: Unleash the Beast,2018-09-22,"Fairfax, VA",U.S. BORDER PATROL INVITATIONAL,Copperhead Road,85.75
2018,25th PBR: Unleash the Beast,2018-09-22,"Fairfax, VA",U.S. BORDER PATROL INVITATIONAL,Roman,0
2018,25th PBR: Unleash the Beast,2018-09-16,"Atlantic City, NJ",ATLANTIC CITY INVITATIONAL,Talking Smack,87.5
2018,25th PBR: Unleash the Beast,2018-09-16,"Atlantic City, NJ",ATLANTIC CITY INVITATIONAL,Moto Moto,85
2018,25th PBR: Unleash the Beast,2018-09-15,"Atlantic City, NJ",ATLANTIC CITY INVITATIONAL,Joker,0
2018,25th PBR: Unleash the Beast,2018-09-09,"Springfield, MO",PFIWESTERN.COM INVITATIONAL PRESENTED BY BASS PRO SHOPS,Bandy's Bad Boy,0
2018,25th PBR: Unleash the Beast,2018-09-08,"Springfield, MO",PFIWESTERN.COM INVITATIONAL PRESENTED BY BASS PRO SHOPS,Satisfaction,0
2018,25th PBR: Unleash the Beast,2018-09-08,"Springfield, MO",15/15 PFIWESTERN.COM INVITATIONAL PRESENTED BY BASS PRO SHOPS,After Midnight,0
2018,25th PBR: Unleash the Beast,2018-09-07,"Springfield, MO",PFIWESTERN.COM INVITATIONAL PRESENTED BY BASS PRO SHOPS,Budakon,0
2018,25th PBR: Unleash the Beast,2018-08-17,"Nashville, TN",MUSIC CITY KNOCKOUT,Lil Fool,0
2018,25th PBR: Unleash the Beast,2018-08-12,"Tulsa, OK",EXPRESS EMPLOYMENT PROFESSIONALS CLASSIC PRESENTED BY OSAGE CASINO,Bottoms Up,90.5
2018,25th PBR: Unleash the Beast,2018-08-12,"Tulsa, OK",EXPRESS EMPLOYMENT PROFESSIONALS CLASSIC PRESENTED BY OSAGE CASINO,Wound Up,86
2018,25th PBR: Unleash the Beast,2018-08-11,"Tulsa, OK",EXPRESS EMPLOYMENT PROFESSIONALS CLASSIC PRESENTED BY OSAGE CASINO,Pick-It Construction's Find Jesus,88.5
2018,25th PBR: Unleash the Beast,2018-08-11,"Tulsa, OK",15/15 EXPRESS EMPLOYMENT PROFESSIONALS CLASSIC PRESENTED BY OSAGE CASINO,Heartbreak Kid,0
2018,25th PBR: Unleash the Beast,2018-08-11,"Tulsa, OK",EXPRESS EMPLOYMENT PROFESSIONALS CLASSIC PRESENTED BY OSAGE CASINO,Royal Flush,72.25
2018,Global Cup,2018-06-10,"Sydney, NSW",2018 PBR Global Cup - Sydney,Earth Bound,84
2018,Global Cup,2018-06-09,"Sydney, NSW",2018 PBR Global Cup - Sydney,Rock the House,0
2018,Global Cup,2018-06-09,"Sydney, NSW",2018 PBR Global Cup - Sydney,Earth Bound,84
