date,event,arena,city,fighter1,fighter2,result_type,judge1,judge1_score1,judge1_score2,judge2,judge2_score1,judge2_score2,judge3,judge3_score1,judge3_score2,winner,winner2,judge1_margin,judge2_margin,judge3_margin,judge1_perc,judge2_perc,judge3_perc,rounds,judge1_dev,judge2_dev,judge3_dev,judge1_out,judge2_out,judge3_out,agreement
2005-04-09,TUF 1 Finale: The Ultimate Fighter Finale,Cox Pavilion,"Las Vegas, Nevada, USA",Griffin,Bonnar,Unanimous,Mullen,29,28,Shirley,29,28,Weeks,29,28,Griffin,fighter1,1,1,1,-3.57%,-3.57%,-3.57%,3,0,0,0,fighter1,fighter1,fighter1,Agree
2005-04-09,TUF 1 Finale: The Ultimate Fighter Finale,Cox Pavilion,"Las Vegas, Nevada, USA",Hoger,Southworth,Unanimous,Mullen,29,28,Trowbridge,30,28,Weeks,29,28,Hoger,fighter1,1,2,1,-3.57%,-7.14%,-3.57%,3,0.5,1,0.5,fighter1,fighter1,fighter1,Agree
2005-04-16,UFC 52: Couture vs Liddell 2,MGM Grand Arena,"Las Vegas, Nevada, USA",Miller,St-Pierre,Unanimous,Peoples,27,30,Rosales,27,30,Shirley,27,30,St-Pierre,fighter2,-3,-3,-3,10.00%,10.00%,10.00%,3,0,0,0,fighter2,fighter2,fighter2,Agree
2005-04-16,UFC 52: Couture vs Liddell 2,MGM Grand Arena,"Las Vegas, Nevada, USA",Marsh,Van Arsdale,Unanimous,Peoples,28,29,Rosales,28,29,Shirley,28,29,Van Arsdale,fighter2,-1,-1,-1,3.45%,3.45%,3.45%,3,0,0,0,fighter2,fighter2,fighter2,Agree
2005-06-04,UFC 53: Heavy Hitters,Boardwalk Hall,"Atlantic City, New Jersey, USA",Parisyan,Serra,Unanimous,Belardo,30,27,Crosby,30,27,Mullen,29,28,Parisyan,fighter1,3,3,1,-11.11%,-11.11%,-3.57%,3,1,1,2,fighter1,fighter1,fighter1,Agree
2005-08-06,UFN 1: Ultimate Fight Night,Cox Pavilion,"Las Vegas, Nevada, USA",Salaverry,Marquardt,Unanimous,Mullen,27,30,Schorle,27,30,Trowbridge,28,29,Marquardt,fighter2,-3,-3,-1,10.00%,10.00%,3.45%,3,1,1,2,fighter2,fighter2,fighter2,Agree
2005-08-06,UFN 1: Ultimate Fight Night,Cox Pavilion,"Las Vegas, Nevada, USA",Leben,Cote,Split,Schorle,29,28,Shirley,30,27,Silbert,27,29,Leben,fighter1,1,3,-2,-3.57%,-11.11%,6.90%,3,0.5,3.5,4,fighter1,fighter1,fighter2,judge3
2005-08-06,UFN 1: Ultimate Fight Night,Cox Pavilion,"Las Vegas, Nevada, USA",Hoger,Bonnar,Unanimous,Mullen,27,30,Schorle,27,30,Trowbridge,27,30,Bonnar,fighter2,-3,-3,-3,10.00%,10.00%,10.00%,3,0,0,0,fighter2,fighter2,fighter2,Agree
2005-08-20,UFC 54: Boiling Point,MGM Grand Arena,"Las Vegas, Nevada, USA",Lindland,Doerksen,Unanimous,Hamilton,30,27,Mullen,29,28,Trowbridge,30,27,Lindland,fighter1,3,1,3,-11.11%,-3.57%,-11.11%,3,1,2,1,fighter1,fighter1,fighter1,Agree
2005-08-20,UFC 54: Boiling Point,MGM Grand Arena,"Las Vegas, Nevada, USA",Lutter,Prangley,Unanimous,Peoples,27,30,Shirley,27,30,Weeks,26,30,Prangley,fighter2,-3,-3,-4,10.00%,10.00%,13.33%,3,0.5,0.5,1,fighter2,fighter2,fighter2,Agree
2005-10-03,UFN 2: Ultimate Fight Night 2,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",Larson,Fitch,Unanimous,Hamilton,27,30,Mullen,27,30,Peoples,27,30,Fitch,fighter2,-3,-3,-3,10.00%,10.00%,10.00%,3,0,0,0,fighter2,fighter2,fighter2,Agree
2005-11-05,TUF 2 Finale: The Ultimate Fighter 2 Finale,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",Sanchez,Diaz,Unanimous,Hamilton,30,27,Peoples,30,27,Rosales,30,27,Sanchez,fighter1,3,3,3,-11.11%,-11.11%,-11.11%,3,0,0,0,fighter1,fighter1,fighter1,Agree
2005-11-05,TUF 2 Finale: The Ultimate Fighter 2 Finale,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",Evans,Imes,Split,Belardo,29,28,Hamilton,29,28,Weeks,28,29,Evans,fighter1,1,1,-1,-3.57%,-3.57%,3.45%,3,1,1,2,fighter1,fighter1,fighter2,judge3
2005-11-05,TUF 2 Finale: The Ultimate Fighter 2 Finale,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",Stevenson,Cummo,Unanimous,Peoples,29,28,Rosales,30,27,Trowbridge,29,28,Stevenson,fighter1,1,3,1,-3.57%,-11.11%,-3.57%,3,1,2,1,fighter1,fighter1,fighter1,Agree
2005-11-19,UFC 56: Full Force,MGM Grand Arena,"Las Vegas, Nevada, USA",Horn,Prangley,Unanimous,Hamilton,29,28,Rosales,29,28,Trowbridge,29,28,Horn,fighter1,1,1,1,-3.57%,-3.57%,-3.57%,3,0,0,0,fighter1,fighter1,fighter1,Agree
2005-11-19,UFC 56: Full Force,MGM Grand Arena,"Las Vegas, Nevada, USA",Wisniewski,Thompson,Unanimous,Hamilton,27,30,Mullen,27,30,Peoples,27,30,Thompson,fighter2,-3,-3,-3,10.00%,10.00%,10.00%,3,0,0,0,fighter2,fighter2,fighter2,Agree
2006-01-16,UFN 3: Ultimate Fight Night 3,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",Sylvia,Silva,Unanimous,Byrd,30,27,Peoples,30,27,Shirley,29,28,Sylvia,fighter1,3,3,1,-11.11%,-11.11%,-3.57%,3,1,1,2,fighter1,fighter1,fighter1,Agree
2006-02-04,UFC 57: Liddell vs Couture 3,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Diaz,Riggs,Unanimous,Belardo,28,29,Trowbridge,28,29,Weeks,27,30,Riggs,fighter2,-1,-1,-3,3.45%,3.45%,10.00%,3,1,1,2,fighter2,fighter2,fighter2,Agree
2006-02-04,UFC 57: Liddell vs Couture 3,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Sakara,Sinosic,Unanimous,Belardo,29,25,Mullen,29,26,Peoples,29,26,Sakara,fighter1,4,3,3,-16.00%,-11.54%,-11.54%,3,1,0.5,0.5,fighter1,fighter1,fighter1,Agree
2006-02-04,UFC 57: Liddell vs Couture 3,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Whitehead,Jardine,Unanimous,Hamilton,28,29,Peoples,28,29,Shirley,28,29,Jardine,fighter2,-1,-1,-1,3.45%,3.45%,3.45%,3,0,0,0,fighter2,fighter2,fighter2,Agree
2006-03-04,UFC 58: USA vs Canada,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Franklin,Loiseau,Unanimous,Hamilton,50,43,Mullen,50,43,Shirley,50,42,Franklin,fighter1,7,7,8,-16.28%,-16.28%,-19.05%,5,0.5,0.5,1,fighter1,fighter1,fighter1,Agree
2006-03-04,UFC 58: USA vs Canada,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Penn,St-Pierre,Split,Hamilton,28,29,Peoples,29,28,Rosales,28,29,St-Pierre,fighter2,-1,1,-1,3.45%,-3.57%,3.45%,3,1,2,1,fighter2,fighter1,fighter2,judge2
2006-03-04,UFC 58: USA vs Canada,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Marquardt,Doerksen,Unanimous,Griffin,30,27,Rosales,30,27,Trowbridge,30,27,Marquardt,fighter1,3,3,3,-11.11%,-11.11%,-11.11%,3,0,0,0,fighter1,fighter1,fighter1,Agree
2006-03-04,UFC 58: USA vs Canada,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Fisher,Stout,Split,Griffin,28,29,Peoples,28,29,Trowbridge,29,28,Stout,fighter2,-1,-1,1,3.45%,3.45%,-3.57%,3,1,1,2,fighter2,fighter2,fighter1,judge3
2006-03-10,Strikeforce: Shamrock vs. Gracie,HP Pavilion at San Jose,"San Jose, California, USA",Guida,Thomson,Unanimous,Hernandez,49,46,Mcknight,49,45,Rochin,49,45,Guida,fighter1,3,4,4,-6.52%,-8.89%,-8.89%,5,1,0.5,0.5,fighter1,fighter1,fighter1,Agree
2006-03-10,Strikeforce: Shamrock vs. Gracie,HP Pavilion at San Jose,"San Jose, California, USA",Horwich,Ebersole,Unanimous,Belardo,27,30,Hernandez,28,29,Rochin,27,30,Ebersole,fighter2,-3,-1,-3,10.00%,3.45%,10.00%,3,1,2,1,fighter2,fighter2,fighter2,Agree
2006-04-06,UFN 4: Ultimate Fight Night 4,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",Bonnar,Jardine,Unanimous,Belardo,29,28,Hamilton,29,28,Peoples,29,28,Bonnar,fighter1,1,1,1,-3.57%,-3.57%,-3.57%,3,0,0,0,fighter1,fighter1,fighter1,Agree
2006-04-06,UFN 4: Ultimate Fight Night 4,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",Evans,Hoger,Split,Porrata,28,29,Rosales,30,27,Trowbridge,29,28,Evans,fighter1,-1,3,1,3.45%,-11.11%,-3.57%,3,3,3,0,fighter2,fighter1,fighter1,judge1
