name,height,wingspan,wingspan_advantage
KJ MartinUTA | SF,"6'6""","6'7.25""",1.25
Karl-Anthony TownsNYK | C,"6'11""","7'3.5""",4.5
Kawhi LeonardLAC | SF,"6'6""","7'3""",9
Keegan MurraySAC | PF,"6'8""","6'11""",3
Keita Bates-Diop | PF,"6'7.25""","7'3.25""",8
Kel'el WareMIA | C,"6'11.75""","7'4.5""",4.75
Keldon JohnsonSAS | SF,"6'4.75""","6'9.25""",4.5
Kelly OlynykNOP | C,"6'10.75""","6'9.75""",-1
Kelly Oubre Jr.PHI | SF,"6'5.75""","7'2.25""",8.5
Kendall Brown | SF,"6'6.25""","6'11""",4.75
Kenneth Lofton Jr. | C,"6'6""","6'11""",5
Kenrich WilliamsOKC | SF,"6'6""","6'7.25""",1.25
Kentavious Caldwell-PopeORL | SG,"6'4.5""","6'8""",3.5
Keon EllisSAC | SG,"6'3.5""","6'8.5""",5
Keon JohnsonBKN | SG,"6'3.5""","6'7.25""",3.75
Kessler EdwardsDAL | SF,"6'7""","6'11.25""",4.25
Kevin DurantPHX | PF,"6'9""","7'4.75""",7.75
Kevin HuerterCHI | SG,"6'6.25""","6'7.5""",1.25
Kevin LoveMIA | PF,"6'7.75""","6'11.25""",3.5
Kevin McCullar Jr.NYK | SF,"6'5.25""","6'9""",3.75
Kevon LooneyGSW | C,"6'8""","7'3.5""",7.5
Keyontae Johnson | SF,"6'4""","7'0""",8
Keyonte GeorgeUTA | SG,"6'4""","6'6""",2
Khris MiddletonWAS | SF,"6'6.75""","6'10.75""",4
Killian Hayes | PG,"6'4.75""","6'8""",3.25
Kira Lewis Jr. | PG,"6'0.75""","6'5""",4.25
Klay ThompsonDAL | SG,"6'5.75""","6'9""",3.25
Kobe BufkinATL | SG,"6'4.25""","6'7.75""",3.5
Kris DunnLAC | PG,"6'3""","6'9""",6
Kris MurrayPOR | PF,"6'7.75""","6'11.75""",4
Kristaps PorziņģisBOS | C,"7'2.5""","7'6""",3.5
Kyle AndersonMIA | PF,"6'7.5""","7'2.75""",7.25
Kyle FilipowskiUTA | PF,"6'10.75""","6'10.5""",-0.25
Kyle KuzmaMIL | PF,"6'8""","6'7""",-1
Kyle LowryPHI | PG,"5'11.75""","6'2""",2.25
Kyrie IrvingDAL | PG,"6'1.75""","6'4""",2.25
Kyshawn GeorgeWAS | SF,"6'7""","6'10.25""",3.25
LaMelo BallCHA | PG,"6'6""","6'8""",2
Lamar StevensMEM | SF,"6'5.75""","6'9""",3.25
Landry ShametNYK | SG,"6'4""","6'6.75""",2.75
Larry Nance Jr.ATL | C,"6'7.5""","7'1.5""",6
Lauri MarkkanenUTA | PF,"6'11""","6'11""",0
LeBron JamesLAL | PF,"6'8.5""","7'0.25""",3.75
Leonard MillerMIN | PF,"6'9.25""","7'2""",4.75
Lonnie Walker IVPHI | SG,"6'3.75""","6'10.5""",6.75
