Player,Team,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS
Lindsey Baron,Monmouth,0.289,0.369,0.465,0.834,34,130,114,31,33,8,0,4,20,4,11,10,5,0
Lindsey Carroll,Murray State,0.191,0.273,0.243,0.515,51,161,136,15,26,4,0,1,15,3,13,34,7,0
Lindsey Culver,South Dakota State,0.294,0.392,0.627,1.019,47,148,126,32,37,4,4,10,28,3,18,22,4,0
Lindsey Garcia,Auburn,0.236,0.303,0.349,0.652,45,121,106,16,25,3,0,3,15,3,8,18,5,0
Lindsey Osmer,Stony Brook,0.265,0.292,0.296,0.588,33,107,98,8,26,3,0,0,15,1,4,19,2,1
Lindsey Rizzo,Southeastern Louisiana,0.346,0.422,0.377,0.8,51,190,159,32,55,5,0,0,10,0,21,24,30,2
Lindsey Stewart,Houston,0.325,0.381,0.488,0.868,50,180,160,28,52,7,2,5,25,1,14,33,7,3
Lindsey Walljasper,Charlotte,0.24,0.333,0.38,0.713,47,150,129,15,31,7,1,3,18,6,13,11,1,1
Lindsi Dennis,Canisius,0.278,0.417,0.433,0.85,34,122,97,11,27,12,0,1,18,9,14,12,0,1
Linnah Rebolledo,Utah Valley,0.342,0.405,0.602,1.008,52,186,161,46,55,8,5,8,43,0,20,15,1,1
Linnie Malkin,Arkansas,0.265,0.352,0.612,0.964,54,193,170,30,45,5,0,18,45,5,18,38,0,0
Lizzie Shubert,Stetson,0.32,0.427,0.621,1.049,34,124,103,16,33,8,1,7,25,11,9,21,0,0
Logan Bjorson,UNC Wilmington,0.214,0.26,0.276,0.535,35,105,98,9,21,3,0,1,12,1,5,10,0,0
Logan Braundmeier,Murray State,0.277,0.344,0.428,0.772,51,183,166,32,46,5,1,6,22,2,15,18,19,0
Logan Calhoun,Troy,0.282,0.331,0.331,0.662,54,157,142,36,40,5,1,0,14,0,11,24,10,2
Logan Jackson,North Florida,0.227,0.277,0.319,0.596,44,131,119,8,27,5,0,2,13,2,7,9,2,1
Logan Morris,NC State,0.338,0.434,0.608,1.042,48,159,130,29,44,5,0,10,45,3,22,13,4,0
Logan Newton,James Madison,0.356,0.453,0.629,1.082,45,159,132,29,47,7,1,9,36,0,25,13,1,0
Logan Schaben,Iowa State,0.183,0.261,0.299,0.56,57,188,164,16,30,4,0,5,18,6,12,43,6,1
Logyn Estes,East Carolina,0.252,0.346,0.43,0.776,49,158,135,17,34,7,1,5,18,1,19,33,4,1
LoLo Sanchez,Pittsburgh,0.225,0.255,0.294,0.549,45,109,102,11,23,3,2,0,7,0,4,18,3,1
Lou Allan,Michigan,0.39,0.447,0.688,1.134,45,160,141,21,55,9,0,11,45,3,13,14,0,0
Lou Gilbert,Baylor,0.325,0.414,0.536,0.95,50,178,151,35,49,13,2,5,20,2,21,18,18,2
Lucy Mead,Bradley,0.294,0.333,0.376,0.709,41,117,109,26,32,1,1,2,9,2,5,32,13,0
Lynnsie Elam,Oklahoma,0.346,0.399,0.677,1.076,55,144,127,39,44,4,1,12,45,5,8,11,2,0
Lynsey Meeks,James Madison,0.283,0.473,0.462,0.935,45,150,106,24,30,2,1,5,28,0,40,19,3,0
Lynsey Tucker,Omaha,0.293,0.358,0.309,0.667,48,138,123,23,36,2,0,0,7,0,13,17,9,3
Macey Moore,Toledo,0.268,0.298,0.375,0.673,40,125,112,18,30,3,0,3,25,0,6,16,3,1
Maci Fines,UC Santa Barbara,0.312,0.339,0.358,0.697,36,118,109,13,34,3,1,0,16,1,5,11,3,1
Mack Leonard,Illinois State,0.425,0.532,0.756,1.288,41,156,127,36,54,8,2,10,38,3,26,15,3,0
Mackense Greico,Furman,0.362,0.436,0.662,1.098,47,149,130,14,47,12,0,9,36,0,18,32,0,1
Mackenzie Bennett,Stephen F. Austin,0.358,0.444,0.532,0.977,43,128,109,8,39,10,0,3,25,9,8,12,0,1
Mackenzie Beyer,Coastal Carolina,0.32,0.44,0.689,1.129,41,127,103,21,33,5,0,11,29,5,17,23,1,0
Mackenzie Boesel,South Carolina,0.416,0.531,0.636,1.168,52,194,154,47,64,16,0,6,37,3,35,15,8,0
Mackenzie Brasher,South Alabama,0.357,0.392,0.379,0.77,51,154,140,27,50,3,0,0,4,2,6,20,8,2
Mackenzie Donihoo,Oklahoma,0.438,0.527,0.762,1.289,52,129,105,43,46,7,0,9,45,2,20,23,7,0
Mackenzie Griman,Butler,0.235,0.29,0.322,0.612,39,124,115,9,27,4,0,2,11,4,5,30,4,0
Mackenzie Lawter,Virginia Tech,0.195,0.391,0.356,0.748,43,116,87,23,17,5,0,3,11,4,24,18,1,0
Mackenzie Meyer,Princeton,0.222,0.222,0.333,0.556,3,10,9,1,2,1,0,0,1,0,0,0,0,0
Mackenzie Moore,Miami (OH),0.339,0.415,0.558,0.972,56,189,165,35,56,15,3,5,44,3,19,18,7,0
MacKenzie Peterson,Tarleton State,0.202,0.331,0.367,0.698,47,133,109,14,22,3,0,5,19,5,16,25,0,0
Mackenzie Swinehart,Western Michigan,0.393,0.466,0.607,1.073,52,199,168,44,66,9,0,9,20,9,15,17,1,3
Macy Johnson,Drake,0.444,0.497,0.582,1.079,46,171,153,42,68,10,4,1,16,1,15,12,29,6
Macy McCall,Winthrop,0.362,0.486,0.47,0.956,50,185,149,43,54,5,1,3,17,4,32,24,46,4
Macy Omli,Kansas,0.265,0.346,0.327,0.674,47,136,113,13,30,5,1,0,11,2,12,20,2,0
Maddi Hackbarth,Arizona State,0.387,0.472,0.92,1.392,48,164,137,34,53,13,0,20,58,1,23,24,1,0
Maddi Long,UT Martin,0.294,0.318,0.451,0.769,40,110,102,10,30,7,0,3,17,0,4,12,0,0
Maddi Lusk,Youngstown State,0.274,0.344,0.39,0.735,51,188,164,37,45,4,0,5,23,5,13,11,5,0
Maddie Amos,Cal Poly,0.325,0.349,0.533,0.883,35,127,120,24,39,8,1,5,23,0,5,18,0,0
Maddie Boldt,Incarnate Word,0.265,0.343,0.504,0.848,40,134,117,21,31,7,0,7,18,1,14,34,1,1
Maddie Bowlds,Western Kentucky,0.287,0.324,0.353,0.677,45,150,136,16,39,9,0,0,10,1,7,15,4,1
Maddie Daigneau,UMBC,0.353,0.355,0.462,0.818,35,122,119,32,42,5,4,0,6,0,1,5,18,3
Maddie Moore,Butler,0.193,0.25,0.217,0.467,30,95,83,9,16,2,0,0,11,5,2,8,5,0
Maddie Morgan,Alabama,0.254,0.329,0.321,0.65,56,156,134,6,34,6,0,1,23,3,13,13,1,0
Maddie Schmidt,UNLV,0.346,0.41,0.392,0.802,40,145,130,36,45,2,2,0,6,0,14,19,16,1
Maddie Spinks,Illinois-Chicago,0.209,0.316,0.243,0.559,49,134,115,13,24,2,1,0,15,7,11,25,1,1
Maddy Little,LaSalle,0.23,0.28,0.241,0.521,30,93,87,6,20,1,0,0,2,0,6,22,2,0
Maddy Newman,Louisville,0.232,0.28,0.254,0.534,48,150,138,22,32,3,0,0,9,1,9,24,2,0
Maddy Vermejan,Southern Illinois,0.304,0.539,0.489,1.028,53,207,135,53,41,5,1,6,28,30,40,37,27,5
Madeline Domingo,Pacific,0.308,0.333,0.338,0.672,24,70,65,4,20,2,0,0,5,0,3,5,0,0
Madeline Swart,Fort Wayne,0.344,0.391,0.533,0.924,38,135,122,28,42,9,1,4,20,1,9,20,3,0
Madeline Vejvoda,Creighton,0.242,0.346,0.394,0.74,27,82,66,13,16,4,0,2,9,0,11,10,0,0
Madi Gilmore,Army,0.224,0.28,0.25,0.53,27,82,76,5,17,2,0,0,5,1,5,10,0,2
Madi McCoy,Bowling Green,0.38,0.423,0.696,1.119,50,175,158,30,60,15,1,11,43,0,14,17,2,1
Madi Moore,North Dakota,0.26,0.319,0.382,0.701,43,136,123,14,32,9,0,2,5,0,11,44,9,1
Madi Mulder,Northern Kentucky,0.287,0.325,0.389,0.713,38,122,108,11,31,5,3,0,13,2,4,27,1,0
Madie Aughinbaugh,Fordham,0.313,0.4,0.492,0.892,40,151,128,31,40,7,2,4,26,2,18,10,14,0
Madisen Blackford,Southeastern Louisiana,0.259,0.392,0.31,0.702,43,146,116,21,30,3,0,1,21,6,20,22,7,3
Madison Blair,Longwood,0.243,0.37,0.306,0.677,46,137,111,6,27,4,0,1,11,6,17,27,0,1
Madison Canady,Radford,0.281,0.358,0.451,0.809,49,174,153,25,43,11,0,5,36,1,18,19,5,0
Madison Cathcart,Seattle,0.261,0.428,0.449,0.877,50,180,138,19,36,8,0,6,26,8,33,21,0,0
Madison Ebeling,Loyola Chicago,0.302,0.426,0.422,0.848,42,145,116,27,35,3,1,3,13,4,21,22,19,5
Madison Emerson,Fairleigh Dickinson,0.388,0.447,0.66,1.108,32,115,103,23,40,10,0,6,26,1,10,5,2,1
Madison Fife,Saint Joseph's,0.27,0.378,0.48,0.858,40,119,100,12,27,4,1,5,20,2,16,17,0,0
Madison Hamilton,Princeton,0.125,0.125,0.25,0.375,3,10,8,1,1,1,0,0,1,0,0,0,0,0
Madison Hirsch,Kansas,0.232,0.342,0.376,0.718,44,147,125,23,29,3,0,5,17,4,17,26,5,0
Madison Hunsaker,Missouri State,0.263,0.363,0.412,0.775,42,139,114,17,30,6,1,3,21,3,16,25,1,0
Madison Jones,Oakland,0.417,0.481,0.736,1.218,43,162,144,54,60,13,6,7,24,7,11,9,15,1
Madison Kahwaty,Pacific,0.31,0.406,0.379,0.785,29,102,87,20,27,1,1,1,11,10,4,6,12,1
Madison Koger,Charleston Southern,0.259,0.359,0.353,0.712,31,104,85,8,22,2,0,2,9,0,15,11,1,0
Madison Lanoux,USC Upstate,0.257,0.323,0.343,0.665,46,161,140,24,36,7,1,1,19,1,13,15,7,0
Madison Miller,UT Arlington,0.228,0.304,0.356,0.66,42,116,101,12,23,1,0,4,19,4,7,27,0,0
Madison Naujokas,James Madison,0.308,0.395,0.492,0.887,45,156,130,33,40,8,2,4,28,5,15,13,26,1
Madison Parks,Northern Iowa,0.29,0.458,0.44,0.898,43,131,100,33,29,9,0,2,15,1,30,23,1,0
Madison Pederson,North Dakota,0.243,0.288,0.338,0.626,46,147,136,5,33,7,0,2,17,1,8,32,0,0
Madison Perrigan,Wichita State,0.297,0.386,0.75,1.136,55,202,172,46,51,9,3,21,57,2,25,28,1,0
Madison Petrella,Albany,0.32,0.396,0.578,0.974,41,144,128,27,41,9,0,8,39,2,14,21,1,0
Madison Riggle,Robert Morris,0.238,0.331,0.475,0.806,40,139,122,17,29,6,1,7,21,4,13,29,0,0
Madison Robicheau,Fairfield,0.286,0.369,0.306,0.675,35,118,98,20,28,2,0,0,9,3,10,12,6,0
Madison Stewart,St. Bonaventure,0.161,0.246,0.258,0.504,24,71,62,4,10,3,0,1,2,0,7,23,0,0
Madison Via,Liberty,0.257,0.359,0.382,0.741,57,173,144,30,37,8,2,2,21,4,19,24,6,2
Madison Washington,UTSA,0.24,0.363,0.479,0.842,42,146,121,15,29,2,0,9,27,1,23,41,0,0
Madison Webber,Tennessee,0.273,0.369,0.345,0.715,51,131,110,14,30,8,0,0,18,1,17,8,4,0
Madison Whitaker,Marshall,0.176,0.263,0.314,0.577,26,57,51,6,9,4,0,1,6,2,4,6,0,0
Madisyn Kennedy,Mississippi State,0.206,0.297,0.382,0.679,52,152,131,15,27,5,0,6,24,7,10,27,0,0
Mady Young,Northern Colorado,0.367,0.417,0.675,1.092,39,136,120,32,44,13,3,6,28,2,9,5,6,2
Madyson Camacho,North Dakota State,0.333,0.372,0.38,0.752,40,140,129,20,43,1,1,1,7,0,8,12,8,2
Madyson Watson,Winthrop,0.266,0.354,0.446,0.8,49,161,139,17,37,4,0,7,21,10,10,20,0,0
Maegan Garrison,North Carolina Central,0.157,0.202,0.253,0.455,35,92,83,6,13,3,1,1,6,1,4,28,1,1
Maeve Nelson,Northwestern,0.262,0.325,0.482,0.807,46,160,141,21,37,10,3,5,27,2,12,35,2,0
Maggie Finnegan,Penn State,0.18,0.223,0.202,0.426,35,97,89,7,16,2,0,0,5,2,3,18,5,0
Maggie Kane,Mount St. Mary's,0.212,0.305,0.26,0.565,39,122,104,13,22,3,1,0,10,8,6,20,1,1
Maggie Vesneske,Niagara,0.35,0.417,0.43,0.847,30,118,100,25,35,3,1,1,20,0,13,8,9,0
Maica Ingles,Illinois-Chicago,0.242,0.359,0.288,0.647,52,161,132,31,32,2,2,0,18,4,20,15,7,3
Maicey Bedrick,IUPUI,0.188,0.207,0.339,0.546,37,119,112,20,21,8,0,3,14,1,2,27,5,1
Maighread Scafariello,Sacred Heart,0.225,0.33,0.275,0.605,34,95,80,5,18,1,0,1,8,2,11,25,1,1
Mailee Newman,Idaho State,0.333,0.407,0.41,0.817,30,91,78,10,26,3,0,1,9,7,4,7,0,0
Makall Whetten,Southern Utah,0.262,0.425,0.546,0.972,50,182,141,36,37,10,0,10,27,20,20,50,5,0
Makayla Alvarez,Binghamton,0.35,0.403,0.6,1.003,21,67,60,14,21,6,0,3,11,1,5,13,4,1
Makayla Hurst,Louisville,0.292,0.331,0.546,0.877,43,139,130,10,38,6,0,9,25,0,8,23,0,0
Makayla Jordan,California Baptist,0.25,0.357,0.361,0.718,52,172,144,24,36,10,0,2,23,3,21,47,0,0
Makena Smith,California,0.327,0.409,0.573,0.982,37,129,110,22,36,3,0,8,23,1,15,11,1,1
Makenna Dowell,Auburn,0.292,0.381,0.354,0.735,51,170,144,10,42,3,0,2,19,2,20,12,7,1
MaKenna Harper,Arizona State,0.342,0.444,0.625,1.069,48,145,120,31,41,4,0,10,34,3,20,24,0,0
Makenna Matthijs,UNC Greensboro,0.353,0.418,0.659,1.077,51,196,173,44,61,12,1,13,43,0,21,16,1,0
MaKenna Partain,Minnesota,0.322,0.443,0.566,1.01,44,176,143,35,46,5,3,8,21,7,25,16,0,0
Makenzie Buss,Jacksonville,0.24,0.342,0.38,0.722,47,152,129,23,31,9,0,3,13,10,10,38,5,2
Makenzie Macfarlane,Utah State,0.214,0.298,0.291,0.588,40,132,117,5,25,3,0,2,11,1,13,10,0,0
Malea Dickerson,Alcorn State,0.243,0.361,0.3,0.661,27,91,70,6,17,4,0,0,0,2,11,12,0,0
Malea Rodriguez,Texas Southern,0.25,0.327,0.323,0.65,37,116,96,6,24,3,2,0,0,0,12,10,1,1
Malia Martinez,Arizona,0.307,0.361,0.582,0.943,55,170,153,28,47,6,0,12,39,2,12,32,0,0
Mallory Peyton,Kentucky,0.302,0.376,0.644,1.02,50,174,149,27,45,15,0,12,50,9,11,28,3,0
Mara Sczecienski,Hartford,0.204,0.241,0.286,0.526,18,55,49,8,10,1,0,1,6,1,2,15,0,1
Maranda Gutierrez,DePaul,0.255,0.373,0.387,0.76,36,129,106,20,27,3,1,3,15,8,12,22,3,2
Maranda Jimenez,Albany,0.32,0.369,0.505,0.874,34,111,103,13,33,4,0,5,20,2,6,12,1,0
Maria Moccio,UMass Lowell,0.202,0.272,0.277,0.548,31,103,94,6,19,1,0,2,10,0,9,16,0,0
Mariah Godde,Mount St. Mary's,0.255,0.318,0.327,0.644,38,115,98,15,25,2,1,1,9,2,7,19,5,0
Mariah Mazon,Oregon State,0.288,0.358,0.452,0.81,46,163,146,26,42,7,1,5,23,3,13,27,0,0
Mariah Pearson,Maine,0.179,0.236,0.328,0.564,27,72,67,6,12,4,0,2,8,1,4,19,0,0
Mariah Rodriguez,Ohio State,0.358,0.377,0.5,0.877,43,145,134,22,48,6,2,3,11,0,4,8,6,1
Marika Deemer,Manhattan,0.283,0.323,0.337,0.66,32,99,92,4,26,2,0,1,15,1,5,13,0,0
Marina Sylvestri,Boston University,0.317,0.463,0.397,0.86,38,86,63,6,20,5,0,0,15,6,12,4,2,0
Maris Boelens,Southern Illinois,0.301,0.357,0.333,0.69,51,179,156,25,47,3,1,0,12,4,10,20,5,0
Marisa Arriaga,Stephen F. Austin,0.282,0.315,0.33,0.645,38,111,103,11,29,5,0,0,15,1,4,16,2,1
Marisa Mauroshadt,Tennessee State,0.171,0.194,0.219,0.413,38,110,105,6,18,3,1,0,6,1,2,26,1,0
Marisa Soterakis,USC Upstate,0.292,0.46,0.349,0.809,46,142,106,20,31,6,0,0,15,18,15,17,14,1
Marissa Braito,Binghamton,0.291,0.365,0.364,0.729,20,65,55,7,16,0,2,0,3,0,7,8,5,1
Marissa Bruno,Portland State,0.396,0.432,0.537,0.969,41,162,149,24,59,4,4,3,24,1,10,10,19,2
Marissa Burk,UC Riverside,0.271,0.333,0.406,0.74,33,111,96,12,26,4,0,3,10,3,6,13,1,1
Marissa Guimbarda,Clemson,0.309,0.411,0.669,1.08,48,163,136,21,42,10,0,13,42,5,20,28,0,0
Marissa Jauregui,UC Davis,0.254,0.327,0.336,0.662,43,151,134,17,34,7,2,0,11,1,14,10,4,1
Marissa Rizzi,St. John's,0.402,0.5,0.707,1.207,30,102,82,29,33,12,2,3,14,8,10,9,13,1
Maritza Diaz,Siena,0.363,0.414,0.418,0.832,32,99,91,10,33,2,0,1,14,0,8,6,1,0
Mariyah Sandoval,Southern,0.337,0.461,0.442,0.903,37,116,86,12,29,6,0,1,22,7,17,13,1,2
Martha Epenesa,BYU,0.316,0.443,0.553,0.995,47,143,114,19,36,6,0,7,29,6,20,16,3,0
Mary Iakopo,Texas,0.322,0.403,0.685,1.088,56,178,149,34,48,6,0,16,45,6,17,22,2,0
Mary Kate Brown,Central Arkansas,0.386,0.444,0.554,0.998,56,191,166,36,64,15,2,3,34,0,19,32,14,1
Mary Pierce Barnes,Appalachian State,0.263,0.322,0.338,0.66,46,148,133,20,35,7,0,1,15,0,12,11,2,0
Mason Basdikis,Longwood,0.227,0.313,0.262,0.575,53,166,141,25,32,5,0,0,20,3,16,34,29,0
Matalasi Faapito,New Mexico State,0.399,0.477,0.786,1.263,55,199,168,31,67,14,0,17,37,1,27,21,2,1
Maya Brady,UCLA,0.333,0.435,0.696,1.131,49,161,135,32,45,7,0,14,38,6,19,33,6,1
Maya Martinez,New Mexico State,0.266,0.358,0.59,0.948,48,159,139,26,37,12,0,11,34,5,15,42,0,0
Maya Nakamura,Hawaii,0.299,0.386,0.448,0.834,31,101,87,15,26,7,0,2,16,2,11,14,4,2
Maycin Brown,UNC Greensboro,0.352,0.435,0.722,1.158,40,126,108,32,38,10,0,10,31,2,14,21,0,0
Maygen McGrath,Montana,0.41,0.47,0.727,1.197,49,185,161,42,66,12,0,13,44,6,15,10,0,1
Mazie Macfarlane,Utah State,0.23,0.347,0.287,0.634,43,144,122,15,28,7,0,0,4,5,17,19,0,2
McKenna Batterton,FGCU,0.324,0.416,0.407,0.823,37,125,108,16,35,3,3,0,11,7,10,9,2,0
McKenna Tjaden,Montana,0.268,0.318,0.407,0.725,42,132,123,8,33,5,0,4,22,0,9,22,0,1
McKenzie Parker,Texas,0.367,0.486,0.642,1.128,50,149,120,42,44,9,0,8,25,1,27,25,8,0
Meg Dugas,Central Connecticut,0.227,0.284,0.392,0.676,35,110,97,13,22,4,0,4,16,1,8,29,0,0
Meg Gorman,Central Connecticut,0.165,0.274,0.253,0.526,36,108,91,10,15,5,0,1,9,4,10,34,2,1
Meggie Otte,Ohio State,0.25,0.289,0.379,0.667,43,150,140,19,35,6,0,4,28,1,7,26,5,3
Megan Burton,Eastern Illinois,0.32,0.369,0.745,1.114,46,169,153,45,49,8,0,19,47,2,11,16,17,3
Megan Dedrick,Loyola Marymount,0.252,0.376,0.369,0.745,41,133,111,14,28,5,1,2,15,3,19,19,5,1
Megan Delgadillo,Cal State Fullerton,0.34,0.409,0.4,0.809,47,171,150,41,51,5,2,0,14,4,15,21,31,6
Megan Donahue,Wisconsin,0.287,0.352,0.496,0.847,40,133,115,13,33,4,1,6,25,3,9,27,1,1
Megan Forbes,Fairfield,0.348,0.385,0.496,0.881,35,123,115,24,40,10,2,1,16,1,6,25,5,2
Megan Fortner,Jacksonville State,0.225,0.293,0.397,0.691,49,168,151,21,34,5,0,7,16,3,12,14,1,0
Megan Grant,Elon,0.323,0.468,0.396,0.864,39,124,96,26,31,2,1,1,16,6,21,15,0,0
Megan McDonald,Sam Houston State,0.278,0.331,0.304,0.635,50,175,158,21,44,2,1,0,14,1,13,12,5,1
Megan Pierro,USF,0.25,0.41,0.326,0.736,44,126,92,15,23,2,1,1,15,3,24,16,18,1
Megan Trivelpiece,Drexel,0.291,0.416,0.379,0.795,40,125,103,10,30,6,0,1,22,0,22,7,1,0
Megan Turner,Kent State,0.336,0.404,0.565,0.969,42,146,131,17,44,6,0,8,41,2,13,30,0,1
Meghan Dempsey,UMBC,0.25,0.358,0.294,0.652,33,81,68,9,17,1,1,0,5,0,12,17,1,0
Meghan Giordano,Hofstra,0.267,0.402,0.456,0.857,32,113,90,14,24,5,0,4,24,2,19,9,3,1
Meghan Gormley,Brown,0,0.333,0,0.333,2,6,4,0,0,0,0,0,0,1,1,0,0,0
Meghan Graham,George Mason,0.267,0.36,0.333,0.694,31,90,75,10,20,3,1,0,7,1,10,26,4,1
Meikel Turner,Morgan State,0.261,0.289,0.326,0.615,36,101,92,14,24,4,1,0,12,0,4,11,5,0
Mekhi Mayfield,Samford,0.216,0.255,0.351,0.605,41,102,97,12,21,1,0,4,12,0,5,23,1,0
Mekhia Freeman,Georgia Southern,0.301,0.349,0.382,0.732,43,151,136,24,41,4,2,1,20,2,8,16,3,0
Melise Gossen,Nicholls,0.233,0.274,0.353,0.628,40,125,116,8,27,5,0,3,16,2,5,9,1,0
Melissa Fedorka,Lehigh,0.167,0.247,0.167,0.413,29,78,66,4,11,0,0,0,7,1,6,9,0,0
Melissa Mayeux,UL Lafayette,0.234,0.325,0.43,0.755,45,129,107,22,25,3,3,4,26,3,13,10,7,4
Melissa Rahrich,Stony Brook,0.389,0.506,0.635,1.141,43,158,126,25,49,10,0,7,32,13,18,4,1,0
Melkayla Irvis,Florida A&M,0.256,0.337,0.385,0.722,27,89,78,16,20,6,2,0,7,3,7,15,9,2
Meredith Ferguson,Gardner-Webb,0.167,0.277,0.25,0.527,29,83,72,2,12,0,0,2,6,1,10,13,0,0
Meredith Keel,South Alabama,0.365,0.386,0.432,0.818,52,160,148,21,54,8,1,0,13,1,4,13,5,1
Merritt Cahoon,Samford,0.247,0.351,0.296,0.647,34,96,81,5,20,4,0,0,10,0,13,7,0,0
Mia Davidson,Mississippi State,0.311,0.426,0.672,1.098,60,216,177,42,55,11,1,17,42,7,30,30,1,0
Mia Davis,Eastern Illinois,0.312,0.395,0.5,0.895,46,157,138,22,43,8,0,6,21,5,14,15,1,1
Mia Guevarra,Colgate,0.301,0.323,0.43,0.753,32,97,93,4,28,9,0,1,13,1,2,6,0,0
Mia Recenello,LaSalle,0.172,0.197,0.266,0.463,28,66,64,2,11,6,0,0,3,0,2,12,0,1
Mia Trejo,UNLV,0.3,0.408,0.54,0.948,37,125,100,15,30,3,0,7,28,5,16,13,0,0
Micah Arps,SIUE,0.279,0.313,0.279,0.591,39,113,104,21,29,0,0,0,7,2,4,24,18,1
Micayla Rood,Mercer,0.333,0.397,0.356,0.753,45,156,135,29,45,3,0,0,12,1,14,13,15,1
Michaela Carter,Fordham,0.352,0.404,0.432,0.836,46,136,125,32,44,4,3,0,18,2,9,14,8,0
Michaela Richbourg,Oklahoma State,0.248,0.324,0.421,0.745,49,137,121,18,30,9,0,4,14,4,10,20,0,0
Michelle Sullivan,James Madison,0.235,0.382,0.388,0.77,45,126,98,27,23,2,2,3,17,6,18,26,3,1
Mikaela Pechar,Creighton,0.218,0.377,0.382,0.759,24,73,55,3,12,3,0,2,5,5,9,13,0,0
Mikayla Allee,Ole Miss,0.191,0.43,0.226,0.656,56,165,115,21,22,4,0,0,15,24,25,19,1,0
Mikayla Coelho,California,0.337,0.421,0.446,0.866,32,107,92,13,31,7,0,1,7,1,13,17,1,0
Mikayla Ramos,Iowa State,0.365,0.455,0.674,1.129,57,211,178,39,65,14,1,13,57,2,29,23,2,2
Mikayla Rubin,Fairfield,0.25,0.319,0.404,0.723,36,123,104,11,26,4,0,4,20,2,9,12,0,1
Mikelle Magalogo,Southern Utah,0.181,0.339,0.34,0.679,40,120,94,18,17,4,1,3,16,8,15,37,0,0
Mikenzie Vaughn,Ohio,0.309,0.371,0.626,0.997,46,160,139,26,43,11,0,11,39,2,14,13,2,0
Miranda Gonzalez,South Carolina State,0.133,0.163,0.147,0.309,30,83,75,3,10,1,0,0,6,1,2,16,1,0
Miranda Lopez,Eastern Kentucky,0.205,0.228,0.254,0.482,49,129,122,13,25,6,0,0,11,0,4,18,0,0
Miranda Rohleder,Fresno State,0.313,0.373,0.485,0.858,49,152,134,29,42,6,4,3,28,1,13,24,12,0
Miranda Stoddard,Kentucky,0.207,0.321,0.415,0.736,55,164,135,25,28,4,0,8,26,2,21,28,2,0
Missy Nunes,Oregon State,0.281,0.382,0.531,0.913,46,153,128,25,36,5,0,9,24,11,11,21,2,0
Molly Grumbo,Loyola Marymount,0.256,0.327,0.331,0.657,43,152,133,19,34,7,0,1,11,2,12,15,12,1
Molly Kapala,Saint Joseph's,0.343,0.413,0.597,1.01,42,155,134,38,46,8,4,6,45,5,13,10,3,1
Molly McGarry,Providence,0.119,0.302,0.238,0.54,21,54,42,4,5,2,0,1,5,0,11,6,0,0
Monica Serrano,Jackson State,0.27,0.343,0.315,0.658,30,103,89,16,24,2,1,0,16,6,5,12,3,0
Montana Davidson,Mississippi State,0.252,0.308,0.358,0.667,58,174,159,23,40,6,1,3,21,0,13,30,4,0
Montana Dixon,Stanford,0.192,0.281,0.283,0.565,54,140,120,8,23,5,0,2,11,7,8,21,0,0
Morgan Adams,Grambling,0.275,0.422,0.51,0.932,25,64,51,6,14,1,1,3,6,6,7,10,4,0
Morgan Altman,Canisius,0.306,0.403,0.509,0.912,36,129,108,24,33,11,1,3,24,0,19,15,13,2
Morgan Batesole,Pittsburgh,0.25,0.338,0.439,0.777,46,153,132,20,33,7,3,4,15,5,13,38,8,1
Morgan Bihun,Green Bay,0.315,0.437,0.593,1.03,42,137,108,22,34,3,0,9,25,9,16,24,0,0
Morgan Cummins,LSU,0.186,0.277,0.351,0.627,43,114,97,9,18,1,0,5,15,7,6,18,0,0
Morgan Farrah,Colgate,0.337,0.384,0.615,0.999,32,113,104,14,35,8,0,7,26,3,5,9,0,0
Morgan Gaither,Alabama State,0.198,0.248,0.297,0.545,40,109,101,19,20,7,0,1,13,2,5,20,2,1
Morgan Gardner,Central Michigan,0.331,0.36,0.46,0.82,46,157,139,27,46,6,0,4,19,0,8,15,1,1
Morgan Hess,Idaho State,0.296,0.367,0.388,0.755,32,109,98,14,29,6,0,1,7,1,10,18,1,0
Morgan Lewis,Eastern Illinois,0.36,0.385,0.4,0.785,37,131,125,21,45,5,0,0,11,0,5,14,23,3
Morgan Lott,Miami (OH),0.275,0.347,0.303,0.65,44,121,109,25,30,3,0,0,16,3,9,12,4,0
Morgan Mateja,Dayton,0.195,0.222,0.221,0.443,36,81,77,10,15,0,1,0,7,0,3,7,4,0
Morgan Maziarz,Monmouth,0.273,0.364,0.338,0.701,31,90,77,17,21,2,0,1,8,3,8,17,4,1
Morgan Newport,Northwestern,0.299,0.378,0.597,0.975,46,165,144,24,43,7,3,10,39,5,14,33,0,0
Morgan Olynyk,Lafayette,0.291,0.333,0.345,0.679,22,60,55,6,16,3,0,0,3,2,2,9,1,0
Morgan Petty,Albany,0.295,0.357,0.604,0.961,42,154,139,30,41,5,7,8,30,5,9,19,10,1
Morgan Rios,Campbell,0.193,0.309,0.325,0.635,41,99,83,6,16,3,1,2,8,3,11,26,0,0
Morgan Smith,Texas A&M,0.267,0.398,0.41,0.808,47,133,105,20,28,7,1,2,22,6,19,24,0,1
Morganne Denny,Fort Wayne,0.254,0.306,0.518,0.824,40,126,114,26,29,6,0,8,26,0,9,18,1,0
