Player,Team,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS
Emily Gant,Boston University,0.387,0.43,0.591,1.021,34,101,93,31,36,7,3,2,23,1,6,13,6,0
Emily Hansen,Minnesota,0.244,0.341,0.395,0.736,42,144,119,6,29,10,1,2,25,2,16,26,1,0
Emily Harkleroad,Austin Peay,0.304,0.357,0.431,0.789,35,114,102,16,31,6,2,1,12,3,6,8,8,0
Emily Hott,Baylor,0.312,0.428,0.48,0.908,47,153,125,35,39,9,0,4,18,6,20,24,3,2
Emily Johansen,Portland State,0.317,0.37,0.463,0.834,41,136,123,16,39,6,0,4,19,2,9,27,0,1
Emily Klosterman,Omaha,0.286,0.365,0.411,0.776,47,130,112,12,32,7,2,1,19,5,9,19,10,1
Emily Lewandowski,St. Bonaventure,0.279,0.347,0.353,0.7,23,76,68,9,19,2,0,1,6,0,7,17,1,0
Emily Parrott,Appalachian State,0.255,0.276,0.382,0.658,41,120,110,16,28,6,1,2,18,0,4,18,2,0
Emily Phillips,James Madison,0.264,0.308,0.417,0.724,36,80,72,12,19,2,0,3,21,0,5,11,3,0
Emily Piergustavo,Connecticut,0.173,0.239,0.198,0.436,33,88,81,2,14,2,0,0,3,1,6,15,0,1
Emily Salazar,Long Beach State,0.301,0.374,0.43,0.804,33,109,93,18,28,7,1,1,17,5,7,7,2,2
Emily Schultz,Stanford,0.295,0.349,0.424,0.773,53,150,132,15,39,5,3,2,26,1,12,21,1,0
Emily Sweat,Liberty,0.257,0.344,0.485,0.829,59,199,171,23,44,16,1,7,36,3,20,35,3,0
