"","edition","start_date","winner_name","winner_team","distance","time_overall","avg_speed","time_margin","seconds_margin","stage_wins","stages_led","height","weight","age","born","died","full_name","nickname","birth_town","birth_country","nationality"
"42",42,1955-07-07,"Louison Bobet","France",4495,130.490555555556,34.4469374113919,0.0677777777777778,244,2,6,1.79,75,30,1925-03-12,1983-03-13,NA,"Louison, Zonzon","Saint-Méen-le-Grand","France"," France"
"43",43,1956-07-05,"Roger Walkowiak","France",4498,124.021111111111,36.2680188856736,0.0169444444444444,60.9999999999998,0,8,NA,NA,29,1927-03-02,2017-02-06,NA,"Walko","Montluçon","France"," France"
"44",44,1957-06-27,"Jacques Anquetil","France",4669,135.745,34.3953736785885,0.237222222222222,853.999999999999,4,15,1.76,70,23,1934-01-08,1987-11-18,NA,"Monsieur Chrono, Maître Jacques","Mont-Saint-Aignan","France"," France"
"45",45,1958-06-26,"Charly Gaul","Luxembourg",4319,116.984722222222,36.9193508174145,0.0508333333333333,183,4,2,1.73,64,25,1932-12-08,2005-12-06,NA,"Angel of the Mountains","Pfaffenthal","Luxembourg"," Luxembourg"
"46",46,1959-06-25,"Federico Bahamontes","Spain",4358,123.779166666667,35.207863466523,0.0677777777777778,244,1,6,NA,NA,30,1928-07-09,NA,"Alejandro Martín Bahamontes","The Eagle of Toledo","Santo Domingo-Caudilla","Spain"," Spain"
"47",47,1960-06-26,"Gastone Nencini","Italy",4173,112.145,37.2107539346382,0.0847222222222222,305,0,14,NA,NA,30,1930-03-01,1980-02-01,NA,"Il Leone del Mugello, Faccia di fatica (Fatigue-face)","Barberino di Mugello","Italy"," Italy"
"48",48,1961-06-25,"Jacques Anquetil","France",4397,122.025833333333,36.03335359316,0.203333333333333,731.999999999999,2,21,1.76,70,27,1934-01-08,1987-11-18,NA,"Monsieur Chrono, Maître Jacques","Mont-Saint-Aignan","France"," France"
"49",49,1962-06-24,"Jacques Anquetil","Saint-Raphaël–Helyett–Hutchinson",4274,114.531666666667,37.3171902967155,0.0677777777777778,244,2,3,1.76,70,28,1934-01-08,1987-11-18,NA,"Monsieur Chrono, Maître Jacques","Mont-Saint-Aignan","France"," France"
"50",50,1963-06-23,"Jacques Anquetil","Saint-Raphaël–Gitane–R. Geminiani",4138,113.501388888889,36.4577036502245,0.0508333333333333,183,4,5,1.76,70,29,1934-01-08,1987-11-18,NA,"Monsieur Chrono, Maître Jacques","Mont-Saint-Aignan","France"," France"
"51",51,1964-06-22,"Jacques Anquetil","Saint-Raphaël–Gitane–Dunlop",4504,127.162222222222,35.4193243975325,0.0152777777777778,55.0000000000001,4,6,1.76,70,30,1934-01-08,1987-11-18,NA,"Monsieur Chrono, Maître Jacques","Mont-Saint-Aignan","France"," France"
"52",52,1965-06-22,"Felice Gimondi","Salvarani",4188,116.701666666667,35.8863769440595,0.0338888888888889,122,3,18,1.81,71,22,1942-09-29,2019-08-16,NA,"The Phoenix","Sedrina","Italy"," Italy"
"53",53,1966-06-21,"Lucien Aimar","Ford France–Hutchinson",4329,117.5725,36.8198345701588,0.0169444444444444,60.9999999999998,0,6,NA,NA,25,1941-04-28,NA,NA,NA,"Hyères","France"," France"
"54",54,1967-06-29,"Roger Pingeon","Peugeot–BP–Michelin",4779,136.897222222222,34.9094008075808,0.0508333333333333,183,1,17,1.82,72,26,1940-08-28,2017-03-19,NA,"Le grand échassier, Le plombier-zingueur","Hauteville-Lompnes","France"," France"
"55",55,1968-06-27,"Jan Janssen","Pelforth–Sauvage–Lejeune",4492,133.828333333333,33.5653884952116,0.0105555555555556,38.0000000000002,2,1,NA,NA,28,1940-05-19,NA,"Johannes Adrianus Janssen",NA,"Nootdorp","Netherlands"," Netherlands"
"56",56,1969-06-28,"Eddy Merckx","Faema",4117,116.267222222222,35.4098078659793,0.288055555555556,1037,6,18,1.82,74,24,1945-06-17,NA,"Édouard Louis Joseph Merckx","The Cannibal","Meensel-Kiezegem","Belgium"," Belgium"
"57",57,1970-06-27,"Eddy Merckx","Faemino–Faema",4254,119.530277777778,35.5893090778951,0.203333333333333,731.999999999999,8,20,1.82,74,25,1945-06-17,NA,"Édouard Louis Joseph Merckx","The Cannibal","Meensel-Kiezegem","Belgium"," Belgium"
"58",58,1971-06-26,"Eddy Merckx","Molteni",3608,96.7538888888889,37.2904907640807,0.1525,549,4,17,1.82,74,26,1945-06-17,NA,"Édouard Louis Joseph Merckx","The Cannibal","Meensel-Kiezegem","Belgium"," Belgium"
"59",59,1972-07-01,"Eddy Merckx","Molteni",3846,108.288333333333,35.5162913825744,0.169444444444444,609.999999999998,6,15,1.82,74,27,1945-06-17,NA,"Édouard Louis Joseph Merckx","The Cannibal","Meensel-Kiezegem","Belgium"," Belgium"
"60",60,1973-06-30,"Luis Ocaña","Bic",4090,122.426111111111,33.4079059024264,0.254166666666667,915.000000000001,6,14,1.65,52,28,1945-06-09,1994-06-19,"Jesús Luis Ocaña Pernía",NA,"Priego","Spain"," Spain"
"61",61,1974-06-27,"Eddy Merckx","Molteni",4098,116.282777777778,35.2416761821039,0.135555555555556,488.000000000002,8,18,1.82,74,29,1945-06-17,NA,"Édouard Louis Joseph Merckx","The Cannibal","Meensel-Kiezegem","Belgium"," Belgium"
"62",62,1975-06-26,"Bernard Thévenet","Peugeot–BP–Michelin",4000,114.591944444444,34.9064676351597,0.0338888888888889,122,2,8,NA,NA,27,1948-01-10,NA,NA,"Nanard","Saint-Julien-de-Civry","France"," France"
"63",63,1976-06-24,"Lucien Van Impe","Gitane–Campagnolo",4017,116.373055555556,34.5182996254859,0.0677777777777778,244,1,12,NA,58,29,1946-10-20,NA,NA,"de kleine van Mere","Mere","Belgium"," Belgium"
"64",64,1977-06-30,"Bernard Thévenet","Peugeot–Esso–Michelin",4096,115.641666666667,35.4197593139727,0.0133333333333333,47.9999999999999,1,8,NA,NA,29,1948-01-10,NA,NA,"Nanard","Saint-Julien-de-Civry","France"," France"
"65",65,1978-06-29,"Bernard Hinault","Renault–Gitane–Campagnolo",3908,108.3,36.0849492151431,0.0508333333333333,183,3,3,1.74,62,23,1954-11-14,NA,NA,"Le Blaireau (The Badger), Le Patron (The Boss)","Yffiniac","France"," France"
"66",66,1979-06-27,"Bernard Hinault","Renault–Gitane",3765,103.113888888889,36.5130249723876,0.220277777777778,793.000000000001,7,17,1.74,62,24,1954-11-14,NA,NA,"Le Blaireau (The Badger), Le Patron (The Boss)","Yffiniac","France"," France"
"67",67,1980-06-26,"Joop Zoetemelk","TI–Raleigh–Creda",3842,109.320555555556,35.1443512199087,0.101666666666667,366.000000000001,2,10,1.73,68,33,1946-12-03,NA,"Hendrik Gerardus Joseph Zoetemelk","Joop","The Hague","Netherlands"," Netherlands"
"68",68,1981-06-25,"Bernard Hinault","Renault–Elf–Gitane",3753,96.3272222222222,38.9609490798148,0.237222222222222,853.999999999999,5,18,1.74,62,26,1954-11-14,NA,NA,"Le Blaireau (The Badger), Le Patron (The Boss)","Yffiniac","France"," France"
"69",69,1982-07-02,"Bernard Hinault","Renault–Elf–Gitane",3507,92.1461111111111,38.0591210818567,0.101666666666667,366.000000000001,4,12,1.74,62,27,1954-11-14,NA,NA,"Le Blaireau (The Badger), Le Patron (The Boss)","Yffiniac","France"," France"
"70",70,1983-07-01,"Laurent Fignon","Renault–Elf",3809,105.131111111111,36.2309497135852,0.0677777777777778,244,1,6,1.74,67,22,1960-08-12,2010-08-31,"Laurent Patrick Fignon","Le Professeur (The Professor)","Paris","France"," France"
"71",71,1984-06-29,"Laurent Fignon","Renault–Elf",4021,112.061111111111,35.8822071290467,0.169444444444444,609.999999999998,5,7,1.74,67,23,1960-08-12,2010-08-31,"Laurent Patrick Fignon","Le Professeur (The Professor)","Paris","France"," France"
"72",72,1985-06-28,"Bernard Hinault","La Vie Claire",4109,113.406388888889,36.2325265821296,0.0169444444444444,60.9999999999998,2,16,1.74,62,30,1954-11-14,NA,NA,"Le Blaireau (The Badger), Le Patron (The Boss)","Yffiniac","France"," France"
"73",73,1986-07-04,"Greg LeMond","La Vie Claire",4094,110.588611111111,37.0200869589244,0.0508333333333333,183,1,7,1.78,67,25,1961-06-26,NA,"Gregory James LeMond","L’Americain, LeMonster","Lakewood","USA"," United States"
"74",74,1987-07-01,"Stephen Roche","Carrera Jeans–Vagabond",4231,115.461666666667,36.6441964865683,0.0111111111111111,40,1,3,1.75,74,27,1959-11-28,NA,NA,NA,"Dundrum","Ireland"," Ireland"
"75",75,1988-07-02,"Pedro Delgado","Reynolds",3286,84.4647222222222,38.9038158600073,0.118611111111111,427,1,11,1.71,64,28,1960-04-15,NA,"Pedro Delgado Robledo","Perico","Segovia","Spain"," Spain"
