"Season","Series","City","Country","Year","Month","Day","Distance","Round","Group","Num_Skater","Name","Nationality","Rank_In_Group","Start_Position","Time","Qualification","rank_lap1","time_lap1","rank_lap2","time_lap2","rank_lap3","time_lap3","rank_lap4","time_lap4","rank_lap5","time_lap5","Time_Event"
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","FinalA",1,43,"Freek van der WART","NED",4,2,41.507,"",5,7.1,5,8.99,5,8.4,4,8.56,4,8.46,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","FinalA",1,49,"Bartosz KONOPKO","POL",5,4,42.874,"",2,6.92,2,8.84,4,8.62,5,9.15,5,9.35,2013.04657534247
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",1,160,"KNEGT Sjinkie","NED",1,2,42.009,"Q",2,7.04,2,9.07,2,8.48,1,8.62,1,8.8,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",1,123,"Paul STANLEY","GBR",2,1,42.159,"Q",1,6.92,1,9.08,1,8.53,2,8.69,2,8.94,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",1,103,"Mathias VOSTE","BEL",3,4,42.805,"",4,7.17,3,9.08,3,8.5,3,8.76,3,9.3,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",1,156,"Jekabs SAULITIS","LAT",4,3,44.837,"",3,7.11,4,9.45,4,9.08,4,9.39,4,9.81,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",2,153,"NOH Jinkyu","KOR",1,2,41.942,"Q",2,7.06,2,9.01,2,8.53,2,8.64,1,8.71,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",2,174,"BLACKBURN Mackenzie","TPE",2,1,42.284,"Q",1,6.84,1,9.04,1,8.64,1,8.7,2,9.07,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",2,102,"BODA Pierre","AUS",3,4,42.891,"",3,7.22,3,9.1,3,8.64,3,8.82,3,9.12,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",2,104,"Nihad BASIC","BIH",4,3,70.385,"",4,7.23,4,9.39,4,9.12,4,25.95,4,18.7,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",3,170,"Vladimir GRIGOREV","RUS",1,3,41.613,"Q",1,6.83,1,8.9,1,8.51,1,8.6,1,8.78,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",3,142,"Yuzo TAKAMIDO","JPN",2,4,42.738,"Q",3,7.21,2,9.28,2,8.65,2,8.73,2,8.87,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",3,120,"Alvaro PENA","ESP",3,2,45.882,"",4,7.42,4,9.53,4,9.34,3,9.7,3,9.9,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",3,118,"Boren ZUNAC","CRO",4,1,46.096,"",2,7.12,3,9.7,3,9.47,4,9.95,4,9.86,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",4,144,"Ryosuke SAKAZUME","JPN",1,2,42.524,"Q",1,7.06,1,9.07,1,8.68,1,8.72,1,9,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",4,138,"BYKANOV Vladislav","ISR",2,3,43.978,"Q",3,7.43,2,9.44,2,8.95,2,8.94,2,9.22,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",4,127,"Paul HERRMANN","GER",3,4,44.047,"",4,7.86,4,9.28,4,8.93,3,8.83,3,9.15,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",4,130,"LUI Pan To Barton","HKG",4,1,44.817,"",2,7.39,3,9.51,3,9.08,4,9.48,4,9.36,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",5,180,"J R CELSKI","USA",1,2,41.987,"Q",1,6.92,1,8.96,1,8.52,1,8.69,1,8.9,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",5,140,"DOTTI Tommaso","ITA",2,3,43.797,"Q",3,7.36,4,9.66,4,8.8,3,8.93,2,9.05,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",5,176,"Ievgen GUTENOV","UKR",3,4,44.109,"",4,7.39,2,9.39,2,8.88,2,9.01,3,9.44,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",5,154,"KIM Yun-Jae","KOR",4,1,44.523,"",2,7.3,3,9.67,3,8.79,4,9.08,4,9.69,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",6,111,"HAMELIN Charles","CAN",1,4,41.423,"Q",2,6.89,1,8.77,1,8.41,1,8.55,1,8.81,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",6,135,"KNOCH Viktor","HUN",2,2,41.716,"Q",1,6.76,2,9.05,2,8.35,2,8.62,2,8.94,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",6,164,"Blake SKJELLERUP","NZL",3,3,43.924,"",4,7.19,4,9.25,3,8.94,3,9.17,3,9.38,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",6,177,"Valentyn DANILOVSKYI","UKR",4,1,44.433,"",3,6.99,3,9.31,4,9.12,4,9.31,4,9.71,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",7,114,"LIANG Wenhao","CHN",1,3,41.337,"Q",2,6.93,2,8.86,1,8.35,1,8.52,1,8.68,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",7,121,"Jon ELEY","GBR",2,1,41.574,"Q",1,6.77,1,8.93,2,8.56,2,8.56,2,8.76,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",7,155,"SIN da Woon","KOR",3,2,41.652,"",3,7.14,3,8.95,3,8.44,3,8.47,3,8.66,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",7,101,"Jose Ignacio FAZIO","ARG",4,4,46.574,"",4,7.29,4,9.59,4,9.4,4,9.8,4,10.5,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",8,110,"Michael GILDAY","CAN",1,4,41.978,"Q",3,7.05,3,9,2,8.53,2,8.59,1,8.81,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",8,126,"Robert SEIFERT","GER",2,2,42.083,"Q",1,6.78,1,9.05,1,8.58,1,8.69,2,8.99,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",8,165,"Bartosz KONOPKO","POL",3,3,42.119,"",2,6.92,2,9.1,3,8.73,3,8.6,3,8.77,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",8,119,"Vojtech LOUDIN","CZE",4,1,44.084,"",4,7.26,4,9.39,4,8.98,4,9.13,4,9.33,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",9,162,"Freek van der WART","NED",1,2,41.827,"Q",3,7.24,2,8.88,2,8.5,2,8.59,1,8.62,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",9,117,"WU Dajing","CHN",2,4,41.906,"Q",1,7.03,1,8.95,1,8.56,1,8.52,2,8.85,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",9,106,"Kiril PANDOV","BUL",3,1,44.18,"",2,7.12,3,9.25,3,8.89,3,9.05,3,9.87,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",9,105,"Maksim SIARHEYU","BLR",,3,,"PEN",4,7.49,4,9.3,4,8.79,4,8.87,,,2013.18584474886
"2012/2013","World Championships","Debrecen","HUN",2013,3,8,"500m","Preliminaries",10,181,"Chris CREVELING","USA",1,2,42.583,"Q",2,7.08,2,9.23,1,8.72,1,8.72,1,8.84,2013.18584474886
