player,pos,age,tm,g,gs,mp,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,ortg,drtg
Justin Holiday,SF,32,IND,49,40,1416,6.6,15.8,0.415,4.4,11.6,0.378,2.2,4.2,0.516,1.2,1.4,0.829,0.6,4,4.7,3.1,1.2,0.6,1.7,3.6,18.7,111,119
Justin Holiday,SG,32,SAC,25,25,641,5.3,15.3,0.348,3.8,11,0.342,1.6,4.4,0.362,1.2,1.6,0.762,0.8,3.3,4.1,2.9,1.6,1.1,1.6,3.7,15.6,99,117
Richaun Holmes,C,28,SAC,45,37,1074,8.9,13.4,0.66,0.1,0.2,0.4,8.8,13.2,0.664,3.1,4,0.778,4.2,10,14.2,2.2,0.8,1.8,2.5,5.7,21,127,114
Rodney Hood,PF-SF,29,TOT,52,0,709,3.9,10.7,0.369,2,6.2,0.33,1.9,4.5,0.424,1.2,1.3,0.895,1,4.2,5.2,2.6,1,0.4,0.7,2.1,11.1,108,115
Rodney Hood,PF,29,MIL,39,0,581,3.8,10.8,0.351,2,6.6,0.3,1.8,4.2,0.431,1.1,1.2,0.929,1.1,4.5,5.5,2.5,1,0.3,0.6,2.2,10.7,107,115
Rodney Hood,SF,29,LAC,13,0,128,4.6,10,0.462,2.3,4.2,0.545,2.3,5.7,0.4,1.5,1.9,0.8,0.8,3.1,3.8,3.1,1.1,0.8,1.5,1.5,13,115,114
Scotty Hopson,SG,32,OKC,1,0,18,5.4,10.8,0.5,0,2.7,0,5.4,8.1,0.667,0,0,NA,0,2.7,2.7,2.7,0,0,5.4,2.7,10.8,69,120
Al Horford,C,35,BOS,69,69,2005,6.6,14.1,0.467,2.2,6.6,0.336,4.4,7.5,0.582,2,2.4,0.842,2.7,10.5,13.1,5.7,1.2,2.3,1.6,3.2,17.4,124,104
Talen Horton-Tucker,SG,21,LAL,60,19,1511,7.1,17.1,0.416,1.6,5.8,0.269,5.6,11.3,0.492,3.2,4,0.8,1.2,4.9,6.1,5,1.9,0.9,2.6,4.7,18.9,102,114
Danuel House Jr.,SF,28,TOT,42,7,727,5.4,13.3,0.404,3,7.9,0.376,2.4,5.4,0.444,3,3.9,0.759,1.2,6.2,7.5,3,1.4,1.1,2.2,3.4,16.7,108,113
Danuel House Jr.,SF,28,HOU,16,1,233,5.1,15.1,0.338,2,6.9,0.294,3.1,8.2,0.375,3.5,3.9,0.895,0.8,8,8.8,3.9,1,1,3.7,3.3,15.7,89,117
Danuel House Jr.,SF,28,NYK,1,0,3,0,16.7,0,0,16.7,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,120
Danuel House Jr.,SF,28,UTA,25,6,491,5.5,12.4,0.447,3.4,8.3,0.415,2.1,4.1,0.512,2.7,3.9,0.692,1.4,5.4,6.8,2.5,1.6,1.2,1.5,3.5,17.2,122,111
Dwight Howard,C,36,LAL,60,27,971,6.6,10.8,0.612,0.4,0.7,0.533,6.2,10.1,0.618,4.7,7.2,0.658,5.8,11.7,17.6,1.7,1.7,1.8,2.3,5.7,18.4,128,109
Markus Howard,SG,22,DEN,31,0,176,10.9,28.2,0.386,7.8,19.5,0.4,3.1,8.6,0.355,5.6,6.4,0.87,0.6,2.8,3.3,2,2.5,0,2,4.7,35.1,108,113
Kevin Huerter,SF,23,ATL,74,60,2188,7.7,17.1,0.454,3.6,9.2,0.389,4.2,7.8,0.53,0.9,1.2,0.808,0.7,5,5.7,4.6,1.2,0.6,2,4.2,20,112,117
Jay Huff,C,23,LAL,4,0,20,0,7.2,0,0,4.8,0,0,2.4,0,0,0,NA,2.4,7.2,9.6,2.4,2.4,2.4,2.4,2.4,0,34,110
Elijah Hughes,SG-SF,23,TOT,36,4,434,5.3,16.3,0.326,2.8,10.7,0.263,2.5,5.5,0.449,0.8,1,0.778,0.7,5.9,6.5,2.5,1.6,0.9,1.9,4.4,14.2,87,116
Elijah Hughes,SF,23,UTA,14,1,112,6.6,15.9,0.417,4.4,12.4,0.357,2.2,3.5,0.625,1.3,1.3,1,0.9,6.6,7.5,2.6,1.8,0.4,3.1,3.1,19,105,111
Elijah Hughes,SG,23,POR,22,3,322,4.9,16.4,0.296,2.3,10.2,0.224,2.6,6.2,0.415,0.6,0.9,0.667,0.6,5.6,6.2,2.4,1.5,1.1,1.5,4.9,12.6,80,118
Feron Hunt,SF,22,NYK,2,0,8,0,12.5,0,0,0,NA,0,12.5,0,0,0,NA,6.3,0,6.3,6.3,6.3,0,6.3,6.3,0,41,105
De'Andre Hunter,SF,24,ATL,53,52,1577,7.9,17.9,0.442,2.3,6.1,0.379,5.6,11.8,0.474,4,5.2,0.765,0.8,4.7,5.5,2.1,1.1,0.7,2.2,4.8,22.1,106,117
Chandler Hutchison,SF,25,PHO,6,0,22,2.2,4.4,0.5,0,0,NA,2.2,4.4,0.5,4.4,4.4,1,0,10.9,10.9,4.4,0,0,8.7,2.2,8.7,68,110
Bones Hyland,SG,21,DEN,69,4,1310,8.6,21.4,0.403,4.9,13.4,0.366,3.7,8,0.465,4,4.7,0.856,0.5,6.5,7,7.2,1.5,0.7,3.2,5.7,26.1,109,112
Serge Ibaka,C,32,TOT,54,12,877,8.2,16.4,0.5,2.1,5.5,0.374,6.2,10.9,0.563,1.8,2.4,0.727,3.4,10.4,13.9,2.7,0.6,1.8,2.4,5.7,20.2,112,110
Serge Ibaka,C,32,LAC,35,10,538,8.6,17.5,0.49,2.2,5.6,0.387,6.4,11.8,0.538,1.8,2.6,0.69,3.6,10,13.7,3.3,0.6,2.4,3,5.1,21.1,108,109
Serge Ibaka,C,32,MIL,19,2,339,7.7,14.7,0.519,1.8,5.2,0.351,5.8,9.5,0.612,1.7,2.1,0.8,3.1,11.1,14.2,1.8,0.6,1,1.4,6.5,18.8,121,112
Andre Iguodala,SF,38,GSW,31,0,603,3.7,9.8,0.38,1.4,6,0.23,2.3,3.8,0.617,1.2,1.6,0.75,1.7,6.4,8.1,9.2,2.2,1.8,2.3,2.7,10,114,106
Joe Ingles,SF,34,UTA,45,15,1122,5.1,12.6,0.404,3.4,9.9,0.347,1.6,2.6,0.617,0.7,1,0.773,0.5,5.2,5.8,7,1,0.2,2,3.6,14.3,117,114
Brandon Ingram,SF,24,NOP,55,55,1869,12,26,0.461,2,6,0.327,10,20,0.501,7,8.5,0.826,0.9,7.5,8.5,8.1,0.9,0.7,4,3.1,32.9,111,115
Kyrie Irving,PG,29,BRK,29,29,1091,12.8,27.4,0.469,4.4,10.6,0.418,8.4,16.8,0.501,5.2,5.7,0.915,0.7,4.9,5.6,7.4,1.8,0.8,3.2,3.6,35.4,117,114
Wes Iwundu,SF,27,ATL,3,1,82,4.8,10.8,0.444,1.8,3,0.6,3,7.8,0.385,1.8,2.4,0.75,1.8,6,7.8,0,0.6,0,0.6,4.8,13.2,115,119
Frank Jackson,PG,23,DET,53,7,1164,8.1,20.2,0.402,3.6,11.7,0.308,4.5,8.6,0.529,3.6,4.4,0.827,0.8,2.9,3.6,2.3,1.1,0.4,1.6,3.7,23.5,106,118
Isaiah Jackson,C,20,IND,36,15,541,10.5,18.6,0.563,0.5,1.4,0.313,10,17.2,0.584,5.4,8,0.682,5.4,8.1,13.5,0.9,2.3,4.7,3.6,8.3,26.9,113,109
Jaren Jackson Jr.,PF,22,MEM,78,78,2126,9.7,23.3,0.415,2.9,9,0.319,6.8,14.3,0.476,6.4,7.8,0.823,2.7,7.5,10.2,1.9,1.6,4,2.9,6.1,28.6,109,106
Josh Jackson,SF,24,TOT,51,3,830,7,17.6,0.4,1.9,7.6,0.254,5.1,10,0.512,3.2,4.5,0.714,1.2,7,8.3,3.2,1.5,1.3,2.8,5.2,19.2,95,114
Josh Jackson,SF,24,DET,39,3,707,7.1,17.3,0.41,2.1,7.8,0.265,5,9.5,0.529,2.8,3.9,0.714,1.2,7.3,8.5,3.4,1.4,1.2,2.6,4.9,19,97,113
Josh Jackson,SF,24,SAC,12,0,123,6.7,19.2,0.347,1.2,6.7,0.176,5.5,12.5,0.438,5.9,8.2,0.714,1.6,5.5,7,2,2,1.6,3.5,6.7,20.3,86,114
Justin Jackson,SF,26,TOT,7,0,37,6.5,19.5,0.333,3.9,11.7,0.333,2.6,7.8,0.333,2.6,2.6,1,1.3,7.8,9.1,2.6,0,0,1.3,3.9,19.5,99,112
Justin Jackson,SF,26,BOS,1,0,2,0,24.8,0,0,0,NA,0,24.8,0,49.7,49.7,1,0,0,0,0,0,0,0,0,49.7,125,117
Justin Jackson,SF,26,PHO,6,0,35,6.9,19.2,0.357,4.1,12.4,0.333,2.7,6.9,0.4,0,0,NA,1.4,8.2,9.6,2.7,0,0,1.4,4.1,17.9,96,112
Reggie Jackson,SG,31,LAC,75,75,2337,10,25.6,0.392,3.5,10.7,0.326,6.5,14.9,0.439,2.9,3.4,0.847,0.8,4.9,5.7,7.5,1.2,0.3,3.6,3.3,26.5,99,113
LeBron James,C,37,LAL,56,56,2084,14.7,28.1,0.524,3.7,10.3,0.359,11,17.8,0.62,5.8,7.7,0.756,1.4,9.1,10.6,8,1.7,1.4,4.5,2.8,39,117,111
DeJon Jarreau,SG,24,IND,1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,125
DaQuan Jeffries,SG,24,MEM,3,0,9,5.3,10.6,0.5,0,5.3,0,5.3,5.3,1,0,0,NA,0,10.6,10.6,5.3,0,0,0,5.3,10.6,125,113
Ty Jerome,SG,24,OKC,48,4,801,7.5,19.9,0.378,3.3,11.3,0.29,4.3,8.6,0.493,2.3,2.9,0.809,1.2,3.6,4.7,6.6,1.8,0.3,2.2,4.4,20.7,103,115
Isaiah Joe,SG,22,PHI,55,1,609,5.1,14.5,0.35,3.7,11.1,0.333,1.4,3.4,0.405,2.4,2.5,0.935,0.5,4.1,4.6,2.9,1.1,0.2,1.6,3.8,16.2,103,115
Alize Johnson,PF,25,TOT,23,0,167,5,11.4,0.436,0,1.2,0,5,10.3,0.486,2.1,3.5,0.583,8.2,9.7,17.9,2.6,1.5,0,3.5,5.3,12,103,113
Alize Johnson,PF,25,CHI,16,0,121,4.8,9.3,0.522,0,0.8,0,4.8,8.5,0.571,1.6,2.8,0.571,6.5,8.1,14.5,3.2,1.2,0,3.2,6.1,11.3,110,115
Alize Johnson,PF,25,WAS,3,0,18,5.5,16.5,0.333,0,5.5,0,5.5,11,0.5,0,2.7,0,13.7,19.2,33,0,0,0,8.2,0,11,72,112
Alize Johnson,PF,25,NOP,4,0,28,5.3,17.6,0.3,0,0,NA,5.3,17.6,0.3,5.3,7.1,0.75,12.3,10.6,22.9,1.8,3.5,0,1.8,5.3,15.9,106,108
B.J. Johnson,SF,26,ORL,4,0,65,8.2,18.6,0.44,3,7.4,0.4,5.2,11.2,0.467,0,0,NA,4.5,6.7,11.2,0,0,0.7,0,3,19.3,112,116
Cameron Johnson,PF,25,PHO,66,16,1730,7.8,16.9,0.46,4.6,10.9,0.425,3.1,6,0.523,2.7,3.2,0.86,1.2,6.4,7.6,2.8,1.6,0.4,1.3,3.1,22.9,123,109
David Johnson,SG,20,TOR,2,0,2,0,25,0,0,25,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,120
Jalen Johnson,PF,20,ATL,22,0,120,9,16.8,0.537,1.2,5.3,0.231,7.8,11.5,0.679,2,2.9,0.714,0.8,9.8,10.6,1.2,1.2,0.8,3.7,3.7,21.3,98,114
James Johnson,PF,34,BRK,62,10,1191,5.9,12.5,0.469,0.9,3.5,0.271,4.9,9,0.545,1.2,2.2,0.527,2.1,6.7,8.8,5.3,1.2,1.4,2,6.6,13.8,109,113
Joe Johnson,SG,40,BOS,1,0,2,24.8,24.8,1,0,0,NA,24.8,24.8,1,0,0,NA,0,0,0,0,0,0,0,0,49.7,200,117
Keldon Johnson,SF,22,SAS,75,74,2392,9.4,20.3,0.466,3.2,8,0.398,6.3,12.3,0.51,3.6,4.7,0.756,1.6,7.6,9.2,3.2,1.2,0.3,1.8,3,25.6,114,114
Keon Johnson,SG,19,TOT,37,12,697,6.7,19.1,0.353,2.4,7,0.34,4.3,12.1,0.36,2.9,3.6,0.804,1.7,4,5.7,5.3,2,0.8,3.2,4.8,18.7,94,116
Keon Johnson,SG,19,LAC,15,0,135,6.2,18.5,0.333,1.1,4,0.273,5.1,14.5,0.35,5.8,7.6,0.762,2.2,5.4,7.6,4.7,2.5,0.7,2.5,7.6,19.2,95,109
Keon Johnson,SG,19,POR,22,12,562,6.9,19.2,0.357,2.7,7.7,0.348,4.2,11.5,0.364,2.2,2.6,0.833,1.6,3.7,5.2,5.5,1.8,0.9,3.4,4.2,18.6,93,118
Stanley Johnson,PF,25,LAL,48,27,1094,5.1,11,0.466,1.4,4.6,0.314,3.7,6.4,0.575,2.3,3.2,0.716,1.5,5.3,6.8,3.5,1.9,0.6,1.5,4.8,14,114,114
Tyler Johnson,PG,29,TOT,6,0,91,3.2,10.7,0.3,2.7,7,0.385,0.5,3.8,0.143,0,0,NA,1.6,4.8,6.4,3.8,1.6,1.6,1.1,3.8,9.1,98,112
Tyler Johnson,PG,29,PHI,3,0,38,5.3,13.1,0.4,3.9,9.2,0.429,1.3,3.9,0.333,0,0,NA,1.3,6.6,7.9,2.6,1.3,1.3,1.3,5.3,14.4,109,112
Tyler Johnson,PG,29,SAS,3,0,53,1.8,9.1,0.2,1.8,5.4,0.333,0,3.6,0,0,0,NA,1.8,3.6,5.4,4.5,1.8,1.8,0.9,2.7,5.4,88,113
Nikola Jokić,C,26,DEN,74,74,2476,15.1,26,0.583,1.9,5.7,0.337,13.2,20.3,0.652,7.5,9.3,0.81,4.1,16.1,20.2,11.6,2.2,1.2,5.6,3.8,39.7,126,105
Carlik Jones,PG,24,TOT,5,0,23,2.2,19.6,0.111,0,2.2,0,2.2,17.4,0.125,4.4,4.4,1,2.2,4.4,6.5,10.9,2.2,0,6.5,0,8.7,57,111
Carlik Jones,PG,24,DAL,3,0,19,0,18.5,0,0,2.6,0,0,15.9,0,5.3,5.3,1,2.6,5.3,7.9,13.2,2.6,0,7.9,0,5.3,52,109
Carlik Jones,PG,24,DEN,2,0,4,12.3,24.5,0.5,0,0,NA,12.3,24.5,0.5,0,0,NA,0,0,0,0,0,0,0,0,24.5,97,121
Damian Jones,C,26,SAC,56,15,1017,8.3,12.6,0.658,0.5,1.4,0.345,7.8,11.2,0.696,4.4,6.2,0.718,3.5,8.1,11.6,3.3,1.2,2.2,2.8,6.2,21.5,128,113
Derrick Jones Jr.,PF,24,CHI,51,8,899,5.7,10.6,0.538,1.1,3.3,0.328,4.6,7.3,0.634,3,3.8,0.8,3.3,5.9,9.2,1.6,1.4,1.8,1.6,5.7,15.5,124,113
Herbert Jones,PF,23,NOP,78,69,2335,5.8,12.2,0.476,1.2,3.6,0.337,4.6,8.6,0.533,2.9,3.4,0.84,2.1,4.2,6.3,3.5,2.7,1.3,2.1,5,15.7,114,112
Jemerrio Jones,SF,26,LAL,2,0,15,6.4,9.6,0.667,0,0,NA,6.4,9.6,0.667,0,0,NA,6.4,3.2,9.6,0,3.2,0,0,6.4,12.8,152,113
Kai Jones,C,21,CHO,21,0,63,6.9,10.7,0.643,0.8,1.5,0.5,6.1,9.1,0.667,2.3,6.1,0.375,2.3,6.1,8.4,3,0.8,1.5,4.6,6.1,16.8,98,116
Mason Jones,SG,23,LAL,4,0,51,6.6,14.1,0.467,0.9,3.8,0.25,5.6,10.3,0.545,11.3,14.1,0.8,0.9,8.5,9.4,3.8,1.9,0,0.9,7.5,25.4,133,113
Tre Jones,PG,22,SAS,69,11,1148,6.9,14.2,0.49,0.4,2.1,0.196,6.5,12,0.542,3,3.8,0.78,1.2,5.3,6.5,9.7,1.8,0.3,1.9,3.3,17.3,120,114
Tyus Jones,PG,25,MEM,73,23,1549,7.7,17,0.451,2.5,6.3,0.39,5.2,10.7,0.487,1.7,2,0.818,0.5,4.9,5.4,10,2,0.1,1.4,1,19.5,125,112
DeAndre Jordan,C,33,TOT,48,20,622,7.2,11.2,0.643,0,0,NA,7.2,11.2,0.643,1.7,3.1,0.55,6.5,14.1,20.6,1.6,0.9,2.7,2.9,5.5,16.1,120,107
DeAndre Jordan,C,33,LAL,32,19,408,7,10.5,0.674,0,0,NA,7,10.5,0.674,1.4,3.1,0.462,6,14.2,20.2,1.5,1.2,3.1,2.5,5.9,15.5,123,107
DeAndre Jordan,C,33,PHI,16,1,214,7.5,12.6,0.593,0,0,NA,7.5,12.6,0.593,2.3,3.3,0.714,7.5,14,21.4,1.9,0.5,2.1,3.7,4.9,17.2,115,108
Cory Joseph,PG,30,DET,65,39,1600,5.4,12.2,0.445,2,4.8,0.414,3.4,7.4,0.465,3,3.4,0.885,0.9,4.4,5.3,7.2,1.3,0.5,2.6,4.5,15.9,115,116
Georgios Kalaitzakis,SF,23,TOT,13,4,214,7,15.2,0.463,2.3,5.9,0.385,4.8,9.3,0.512,3.2,6.8,0.467,1.4,3.4,4.8,2.7,2.5,0.5,4.5,4.3,19.5,91,113
Georgios Kalaitzakis,SF,23,MIL,9,0,48,5,11,0.455,2,4,0.5,3,7,0.429,4,9,0.444,4,4,8,0,1,1,4,8,16,93,114
Georgios Kalaitzakis,SF,23,OKC,4,4,166,7.6,16.4,0.464,2.3,6.5,0.364,5.3,10,0.529,2.9,6.2,0.476,0.6,3.2,3.8,3.5,2.9,0.3,4.7,3.2,20.5,90,113
Frank Kaminsky,C,28,PHO,9,0,181,9.6,17.5,0.545,1.3,4,0.333,8.2,13.6,0.608,4.8,5.3,0.9,2.9,8,10.9,3.5,2.1,1.9,1.3,3.7,25.3,130,105
Luke Kennard,SG,25,LAC,70,13,1919,7.3,16.3,0.449,4.9,10.8,0.449,2.5,5.5,0.449,1.8,2,0.896,0.5,5.3,5.8,3.7,1.1,0.2,1.5,2.6,21.3,119,113
Braxton Key,SF,24,TOT,11,0,197,8.2,17.8,0.458,1.5,5.2,0.286,6.7,12.6,0.529,1.7,3.2,0.538,3.2,9.2,12.4,2.7,2.5,2.7,2.7,6.4,19.6,99,108
Braxton Key,SF,24,PHI,2,0,6,8.3,16.6,0.5,0,8.3,0,8.3,8.3,1,0,0,NA,8.3,8.3,16.6,8.3,8.3,0,16.6,8.3,16.6,72,96
Braxton Key,SF,24,DET,9,0,191,8.2,17.9,0.457,1.5,5.1,0.3,6.6,12.8,0.52,1.8,3.3,0.538,3.1,9.2,12.3,2.6,2.3,2.8,2.3,6.4,19.7,101,108
George King,SF,28,DAL,4,0,19,0,13.2,0,0,10.6,0,0,2.6,0,2.6,5.3,0.5,0,13.2,13.2,0,0,0,2.6,10.6,2.6,17,110
Louis King,SF,22,SAC,10,0,104,6.9,21.7,0.319,3.7,12.5,0.296,3.2,9.3,0.35,3.2,4.6,0.7,0,5.6,5.6,4.2,0.9,0.5,0,6.5,20.8,100,118
Corey Kispert,SF,22,WAS,77,36,1801,6.4,14.1,0.455,3.1,8.8,0.35,3.4,5.3,0.629,1.5,1.7,0.871,1.5,4.3,5.7,2.3,1,0.6,1.4,2.6,17.4,114,118
Maxi Kleber,PF,30,DAL,59,21,1450,4.9,12.3,0.398,2.9,8.9,0.325,2,3.4,0.586,1.6,2.3,0.708,2.4,9.7,12.1,2.4,1,2,1.6,4.8,14.3,109,107
Brandon Knight,PG,30,DAL,5,0,65,7.7,19.4,0.4,3.1,13.2,0.235,4.6,6.2,0.75,6.2,6.2,1,0,6.2,6.2,6.2,0.8,0,3.1,3.9,24.8,110,113
Nathan Knight,PF,24,MIN,37,2,267,8,15.7,0.511,0.7,2.3,0.308,7.3,13.4,0.547,7.8,10.7,0.733,5.7,9.4,15.1,3.9,1.2,1.4,3.2,7.5,24.6,122,111
Kevin Knox,SF,22,TOT,30,0,222,6.9,19,0.365,3.4,12.1,0.278,3.6,6.9,0.516,3.6,4.9,0.727,3.1,6.7,9.8,2.2,0.9,0.4,1.6,4.2,20.8,106,115
Kevin Knox,SF,22,NYK,13,0,111,6.8,18,0.375,4.5,12.6,0.357,2.3,5.4,0.417,3.2,4.5,0.7,3.6,6.3,9.9,1.4,0.9,0.5,2.3,2.3,21.2,107,113
Kevin Knox,SF,22,ATL,17,0,111,7.1,19.9,0.356,2.2,11.5,0.192,4.9,8.4,0.579,4,5.3,0.75,2.7,7.1,9.7,3.1,0.9,0.4,0.9,6.2,20.4,104,117
John Konchar,SG,25,MEM,72,7,1292,5,9.7,0.515,1.9,4.7,0.413,3.1,5,0.61,1,1.8,0.551,3.2,9,12.2,4,1.7,0.8,1.1,3.3,12.9,133,109
Furkan Korkmaz,SG,24,PHI,67,19,1414,6.4,16.6,0.387,2.7,9.4,0.289,3.7,7.2,0.515,2.4,3,0.81,0.8,5.4,6.2,4.5,1.2,0.3,1.7,2,18,104,114
Luke Kornet,C,26,TOT,15,0,103,6.3,13,0.481,0,2.4,0,6.3,10.6,0.591,1.9,2.9,0.667,6.3,7.7,14,4.3,1.4,1.4,0,4.3,14.5,133,107
Luke Kornet,C,26,CLE,2,0,15,3.3,16.6,0.2,0,3.3,0,3.3,13.3,0.25,6.7,10,0.667,6.7,3.3,10,3.3,0,3.3,0,3.3,13.3,96,112
Luke Kornet,C,26,MIL,1,0,3,0,16,0,0,0,NA,0,16,0,0,0,NA,16,0,16,0,0,0,0,16,0,70,120
Luke Kornet,C,26,BOS,12,0,85,7,12.3,0.571,0,2.3,0,7,9.9,0.706,1.2,1.8,0.667,5.8,8.8,14.6,4.7,1.8,1.2,0,4.1,15.2,145,106
Vit Krejci,SG,21,OKC,30,8,690,4.8,11.8,0.407,2.3,6.9,0.327,2.5,4.9,0.522,1.3,1.6,0.864,1.3,5.9,7.1,4,1.3,0.6,2,4.6,13.2,105,115
Arnoldas Kulboka,SF,24,CHO,2,0,5,0,9.6,0,0,9.6,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,9.6,0,0,123
Jonathan Kuminga,SF,19,GSW,70,12,1185,9.7,18.9,0.513,2.1,6.1,0.336,7.7,12.8,0.598,5.3,7.8,0.684,2.2,7.4,9.6,2.6,1.3,0.9,3,6,26.8,112,108
Kyle Kuzma,PF,26,WAS,66,66,2204,9.5,21,0.452,2.9,8.4,0.341,6.6,12.6,0.526,3.5,4.9,0.712,1.6,11,12.6,5.2,0.9,1.3,3.8,2.9,25.4,103,113
Anthony Lamb,SF,24,SAS,2,0,8,0,12,0,0,12,0,0,0,NA,0,0,NA,0,6,6,12,0,0,0,0,0,56,118
Jeremy Lamb,SF-SG,29,TOT,56,0,935,6.9,18.1,0.383,2.9,8.9,0.324,4.1,9.2,0.441,4.6,5.5,0.84,1.4,6.7,8,4.2,1.6,1.1,1.9,3.1,21.3,109,116
Jeremy Lamb,SF,29,IND,39,0,613,6.8,18.2,0.373,3.1,9.3,0.333,3.7,8.9,0.414,5.4,6.4,0.838,1.2,6.3,7.5,4.1,1.8,1.1,1.9,3.5,22.1,110,116
Jeremy Lamb,SG,29,SAC,17,0,322,7.2,17.8,0.403,2.4,7.9,0.302,4.8,9.9,0.485,3.3,3.9,0.846,1.6,7.3,9,4.5,1.2,1.2,1.9,2.2,20,107,115
Jock Landale,C,26,SAS,54,1,589,8.2,16.6,0.495,2.4,7.2,0.326,5.9,9.4,0.626,2.8,3.3,0.829,5.1,6.1,11.2,3.7,0.8,1.1,2.5,4.3,21.6,119,114
Romeo Langford,SG,22,TOT,48,5,771,5.3,12.3,0.435,1.9,5.5,0.341,3.5,6.8,0.509,1.5,2.7,0.548,1.9,5,6.9,1.4,1.4,1,1,3,14,108,109
Romeo Langford,SG,22,BOS,44,5,728,5.4,12.6,0.429,2,5.7,0.349,3.4,6.9,0.495,1.4,2.3,0.588,2,5.1,7.1,1.3,1.4,1.1,1.1,3.1,14.1,108,109
Romeo Langford,SG,22,SAS,4,0,43,4.5,7.8,0.571,0,2.2,0,4.5,5.6,0.8,3.3,8.9,0.375,0,4.5,4.5,2.2,1.1,0,0,1.1,12.3,113,116
Zach LaVine,SG,26,CHI,67,67,2328,11.8,24.9,0.476,3.9,10,0.389,8,14.9,0.534,6.7,7.9,0.853,0.5,6,6.5,6.4,0.9,0.5,3.6,2.5,34.3,115,116
Jake Layman,SF,27,MIN,34,1,231,6.2,15,0.411,1.6,7.2,0.229,4.5,7.8,0.579,2.7,3.7,0.722,1.2,6.2,7.4,1.9,1.4,1,2.1,2.5,16.7,99,113
Damion Lee,SG,29,GSW,63,5,1256,6.6,14.9,0.441,2.4,7.3,0.337,4.1,7.6,0.541,2.6,2.9,0.88,1,6.8,7.9,2.4,1.5,0.2,1.5,3.7,18.1,111,109
Saben Lee,PG,22,DET,37,0,604,5.6,14.3,0.39,1.1,4.8,0.233,4.4,9.5,0.47,4.5,5.7,0.789,1.5,5.6,7,8.6,2.9,1,2.9,3.6,16.8,107,112
Alex Len,C,28,SAC,39,10,620,7.3,13.7,0.534,0.5,1.6,0.286,6.8,12,0.568,3.2,4.9,0.651,4,8.5,12.5,3.5,1,1.9,3.3,7.8,18.2,109,114
Caris LeVert,SG,27,TOT,58,49,1781,10.5,23.6,0.444,2.3,7.1,0.32,8.2,16.5,0.497,4,5.3,0.756,1.2,4.7,5.9,6.9,1.4,0.6,3,3.6,27.3,108,116
Caris LeVert,SG,27,IND,39,39,1214,11.2,25.1,0.447,2.5,7.6,0.323,8.8,17.5,0.501,4.5,5.9,0.76,1.2,4.8,6.1,7,1.4,0.7,3,3.7,29.4,109,118
Caris LeVert,SG,27,CLE,19,10,567,8.9,20.4,0.435,1.8,5.9,0.313,7,14.5,0.485,3.1,4.1,0.745,1.1,4.5,5.6,6.6,1.4,0.4,2.9,3.5,22.7,104,112
Kira Lewis Jr.,PG,20,NOP,24,0,341,8.5,21.1,0.404,1.9,8.4,0.224,6.7,12.7,0.523,1.4,1.7,0.833,1.3,4.3,5.6,7.1,1.6,0.1,3.8,2.5,20.4,96,116
Scottie Lewis,SG,21,CHO,2,0,7,0,0,NA,0,0,NA,0,0,NA,6.9,13.7,0.5,0,0,0,6.9,6.9,0,0,0,6.9,150,108
Damian Lillard,PG,31,POR,29,29,1056,10.3,25.5,0.402,4.3,13.1,0.324,6,12.4,0.485,7.4,8.4,0.878,0.6,5,5.6,9.8,0.8,0.5,3.8,1.7,32.2,112,120
Nassir Little,SF,21,POR,42,23,1088,6.5,14.1,0.46,2.3,6.9,0.331,4.2,7.2,0.584,3.1,4.2,0.734,2.6,8,10.6,2.4,1.1,1.6,1.8,3.7,18.4,115,116
Isaiah Livers,SF,23,DET,19,5,383,5.2,11.5,0.456,3.4,8.2,0.422,1.8,3.3,0.538,1.5,1.8,0.857,1.9,5.4,7.3,2.7,1.7,0.9,1.9,4.7,15.4,118,115
Kevon Looney,C,25,GSW,82,80,1732,5.9,10.2,0.571,0,0,0,5.9,10.2,0.573,2.1,3.5,0.6,5.9,10.9,16.8,4.6,1.4,1.5,1.9,6.1,13.8,128,105
Brook Lopez,C,33,MIL,13,11,298,9.8,21.1,0.466,3.1,8.5,0.358,6.8,12.6,0.538,3.2,3.7,0.87,3.1,5.5,8.5,1,1.3,2.4,1.9,5.5,25.9,112,111
Robin Lopez,C,33,ORL,36,9,612,8.7,15.7,0.553,0.2,0.5,0.333,8.5,15.3,0.56,2.5,4.3,0.593,5.4,4.6,10,4.3,0.2,1.4,3.5,5.3,20.1,110,116
Didi Louzada,SG-SF,22,TOT,9,1,129,4.5,12.5,0.364,3.4,8.7,0.391,1.1,3.8,0.3,0.8,0.8,1,1.9,4.5,6.4,1.9,0.8,0.8,1.9,4.9,13.3,100,120
Didi Louzada,SF,22,NOP,2,0,7,0,21.2,0,0,21.2,0,0,0,NA,0,0,NA,14.1,0,14.1,7.1,0,0,0,0,0,63,122
