player,pos,age,tm,g,gs,mp,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,ortg,drtg
Reggie Bullock,SF,30,DAL,68,37,1902,5.3,13.3,0.401,3.7,10.4,0.36,1.6,2.9,0.55,1.1,1.3,0.833,0.9,5.5,6.4,2.2,1.1,0.4,1.1,2.9,15.4,111,112
Trey Burke,PG,29,DAL,42,0,441,9.6,24.5,0.391,3,9.4,0.317,6.6,15.2,0.436,2.3,2.6,0.87,0.5,3.3,3.8,6.5,1.4,0,3,4.5,24.4,97,113
Alec Burks,SG,30,NYK,81,44,2318,6.2,15.7,0.391,3.4,8.4,0.404,2.8,7.3,0.378,4.7,5.7,0.822,1,7.6,8.6,5.2,1.8,0.6,2,4.6,20.4,117,110
Jared Butler,SG,21,UTA,42,1,360,8.4,20.7,0.404,3.8,12.1,0.318,4.5,8.6,0.524,1.5,2.2,0.688,0.7,5.5,6.2,8.6,2.3,1.1,4.5,6.5,22.1,102,109
Jimmy Butler,SF,32,MIA,57,57,1931,10.3,21.5,0.48,0.7,3,0.233,9.6,18.5,0.52,10.3,11.8,0.87,2.6,6.1,8.7,8.1,2.4,0.7,3.1,2.3,31.6,124,108
Devontae Cacok,PF,25,SAS,15,0,121,8.3,12.3,0.677,0,0,NA,8.3,12.3,0.677,1.6,2.8,0.571,3.2,13.5,16.7,2.4,3.2,2.8,1.2,6.3,18.2,132,102
Kentavious Caldwell-Pope,SG,28,WAS,77,77,2329,7.7,17.6,0.435,3.4,8.7,0.39,4.3,8.9,0.48,2.9,3.3,0.89,0.9,4.7,5.5,3.1,1.8,0.6,2.1,3,21.6,109,116
Facundo Campazzo,PG,30,DEN,65,4,1184,4.4,12.3,0.361,2.4,8,0.301,2,4.3,0.476,2.5,3.2,0.769,1,3.9,4.8,9.1,2.6,1,2.8,5.1,13.8,109,111
Vlatko Čančar,PF,24,DEN,15,1,176,6.4,11.4,0.561,2,3.3,0.583,4.5,8.1,0.552,2.5,3.9,0.643,2.2,6.4,8.6,4.7,0.6,0.8,2.5,5,17.3,122,115
Devin Cannady,PG,25,ORL,5,0,145,5,14.7,0.341,5,12.3,0.405,0,2.3,0,1.7,2.3,0.714,0.3,1.7,2,3.3,1.7,1,1.7,3,16.7,103,115
Clint Capela,C,27,ATL,74,73,2042,8.9,14.5,0.613,0,0,0,8.9,14.5,0.614,1.9,4.1,0.473,6.7,14.4,21.1,2.2,1.3,2.2,1.1,4,19.7,132,109
Vernon Carey Jr.,C,20,TOT,7,1,44,7.8,14.4,0.538,0,0,NA,7.8,14.4,0.538,6.7,14.4,0.462,8.9,4.4,13.3,0,2.2,1.1,3.3,4.4,22.2,108,114
Vernon Carey Jr.,C,20,CHO,4,1,17,8.5,16.9,0.5,0,0,NA,8.5,16.9,0.5,5.6,8.5,0.667,8.5,5.6,14.1,0,2.8,0,2.8,2.8,22.6,113,113
Vernon Carey Jr.,C,20,WAS,3,0,27,7.3,12.8,0.571,0,0,NA,7.3,12.8,0.571,7.3,18.3,0.4,9.2,3.7,12.8,0,1.8,1.8,3.7,5.5,22,105,114
Jevon Carter,PG,26,TOT,66,3,905,5.2,13.5,0.387,3.5,9.1,0.388,1.7,4.4,0.386,0.8,1,0.833,0.7,5.1,5.9,5.1,1.3,0.7,1.8,3.6,14.8,110,114
Jevon Carter,PG,26,BRK,46,1,552,5.1,15.3,0.333,3.7,11.2,0.331,1.4,4.1,0.34,0.6,0.9,0.7,0.8,5.1,5.9,4,1.2,0.9,2.3,4,14.5,94,115
Jevon Carter,PG,26,MIL,20,2,353,5.4,10.7,0.506,3.3,5.9,0.558,2.2,4.9,0.444,1.1,1.1,1,0.7,5.2,5.9,6.8,1.4,0.5,1.1,3,15.2,142,114
Wendell Carter Jr.,PF,22,ORL,62,61,1852,9.4,17.9,0.525,1.8,5.6,0.327,7.5,12.3,0.615,3.7,5.4,0.691,3.6,13.3,16.9,4.5,0.9,1.1,3.1,4.4,24.3,115,110
Alex Caruso,SG,27,CHI,41,18,1147,4.3,10.9,0.398,1.8,5.4,0.333,2.6,5.5,0.462,2.5,3.1,0.795,1.4,4.9,6.3,7,3,0.6,2.4,4.5,12.9,110,112
Willie Cauley-Stein,C,28,TOT,20,2,183,4.4,9.6,0.457,0.3,0.5,0.5,4.1,9.1,0.455,0.3,0.5,0.5,3.6,7.4,11,2.7,1.6,0.8,1.9,5.2,9.3,103,109
Willie Cauley-Stein,C,28,DAL,18,2,177,4.5,10,0.457,0.3,0.6,0.5,4.3,9.4,0.455,0.3,0.6,0.5,3.7,7.1,10.8,2.6,1.7,0.9,2,4.8,9.7,102,109
Willie Cauley-Stein,C,28,PHI,2,0,6,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,16.6,16.6,8.3,0,0,0,16.6,0,229,110
Ahmad Caver,SG,25,IND,1,0,1,49,49,1,0,0,NA,49,49,1,0,0,NA,0,0,0,0,0,0,0,0,98,200,125
Justin Champagnie,SF,20,TOR,36,0,281,5.5,11.9,0.463,1.8,5,0.357,3.7,6.9,0.538,1.6,1.6,1,6.6,6.2,12.8,2,1.4,0.7,1.4,5.7,14.4,128,112
