sex,height,weight,IOCT_Time
M,68,181,174
M,74,200,162
F,65,140,208
M,67,147,152
M,71,180,184
M,62,150,153
M,70,178,177
M,70,178,172
M,70,184,198
F,64,120,249
M,71,178,169
M,73,216,161
M,74,200,192
M,69,180,243
M,67,128,223
F,66,152,262
M,71,173,166
F,64,146,299
M,72,214,176
F,63,125,222
M,72,200,172
M,67,161,232
M,71,171,168
F,66,130,198
F,65,114,234
M,74,175,154
F,64,147,201
F,64,144,208
M,69,201,214
M,73,192,171
F,67,158,445
M,66,172,154
M,72,159,211
M,70,197,186
M,67,183,174
F,67,144,229
M,72,216,164
F,60,112,225
M,70,180,196
M,75,219,185
M,75,196,184
M,65,153,176
M,67,175,192
M,68,171,183
M,71,188,213
M,69,171,181
M,69,191,172
M,69,167,161
M,70,162,168
M,70,181,181
F,65,138,295
M,74,193,181
M,70,173,152
M,67,174,167
M,71,173,169
F,66,140,194
M,69,182,169
M,72,177,191
F,65,159,261
M,67,172,203
M,71,171,218
M,72,178,152
M,74,219,187
M,70,178,179
M,67,134,178
M,66,172,261
M,74,201,171
M,72,198,181
M,72,196,194
M,71,192,167
M,74,181,177
F,63,150,337
M,70,182,165
M,75,217,174
F,71,179,233
F,63,143,261
M,71,151,187
F,71,175,242
F,63,131,249
M,76,172,204
F,62,135,266
M,74,175,181
M,66,209,215
M,79,193,159
M,73,233,335
F,63,136,221
F,65,154,262
F,70,161,252
M,73,216,196
M,71,170,174
M,71,168,183
M,70,182,179
M,74,199,183
M,71,185,176
M,70,178,152
M,65,164,163
M,67,137,186
M,68,150,155
M,69,143,215
F,71,138,292
M,72,158,160
F,64,123,354
M,71,160,193
M,70,177,199
F,64,162,321
M,68,185,203
M,70,198,150
F,62,123,191
M,69,155,152
M,68,167,173
F,69,150,261
M,75,161,168
M,74,192,166
M,69,174,174
M,75,194,184
F,65,148,290
F,63,120,188
M,68,181,204
M,69,148,162
M,76,229,210
M,71,181,179
M,71,195,182
M,70,192,198
M,70,157,180
M,73,182,218
M,76,225,245
M,76,213,195
F,64,128,232
M,70,176,170
F,65,140,312
M,72,159,160
M,69,193,173
F,68,159,207
M,72,170,168
M,72,190,187
M,74,176,156
M,70,176,185
F,65,165,228
M,72,203,182
M,71,189,196
F,67,154,184
F,71,145,226
M,71,207,180
M,70,177,181
M,70,150,184
M,69,161,177
F,65,175,345
M,68,193,177
M,73,167,146
