player,level,gender,division,team_name,Turns,Ds,Assists,Points,plus_minus,team_games,turns_per_game,ds_per_game,ast_per_game,pts_per_game,pls_mns_per_game
Jacques Nissen,Division 1,Men,Division 1 Men,Brown Brownian Motion,12,8,38,13,47,8,1.5,1,4.75,1.625,5.875
Cal Nightingale,Division 1,Men,Division 1 Men,Brown Brownian Motion,3,0,12,27,36,8,0.375,0,1.5,3.375,4.5
Faye Burdick,Division 1,Women,Division 1 Women,Colorado Quandary,6,12,16,13,35,7,0.857142857,1.714285714,2.285714286,1.857142857,5
Matthew Gregor,Division 3,Men,Division 3 Men,Franciscan Fatal,2,6,3,26,33,6,0.333333333,1,0.5,4.333333333,5.5
Frankie Saraniti,Division 3,Women,Division 3 Women,Carleton Eclipse,11,15,12,17,33,6,1.833333333,2.5,2,2.833333333,5.5
Jacob Felton,Division 3,Men,Division 3 Men,Davenport Panthers,36,7,43,18,32,6,6,1.166666667,7.166666667,3,5.333333333
Rowan Dong,Division 3,Women,Division 3 Women,Carleton Eclipse,23,20,18,16,31,6,3.833333333,3.333333333,3,2.666666667,5.166666667
Leo Gordon,Division 1,Men,Division 1 Men,Brown Brownian Motion,27,6,34,18,31,8,3.375,0.75,4.25,2.25,3.875
Charles Tantum,Division 3,Men,Division 3 Men,Williams WUFO,8,11,10,18,31,6,1.333333333,1.833333333,1.666666667,3,5.166666667
Will Brandt,Division 3,Men,Division 3 Men,St Olaf Berzerkers,8,4,26,8,30,6,1.333333333,0.666666667,4.333333333,1.333333333,5
Max Zwerin,Division 3,Men,Division 3 Men,Lewis & Clark Bacchus,8,10,6,22,30,6,1.333333333,1.666666667,1,3.666666667,5
Dawn Culton,Division 1,Women,Division 1 Women,North Carolina Pleiades,19,12,16,21,30,7,2.714285714,1.714285714,2.285714286,3,4.285714286
Emily Kemp,Division 1,Women,Division 1 Women,Tufts EWO,5,7,5,22,29,5,1,1.4,1,4.4,5.8
Devin Quinn,Division 1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,6,5,13,17,29,5,1.2,1,2.6,3.4,5.8
Sage McGinley-Smith,Division 1,Women,Division 1 Women,Stanford Superfly,3,9,5,17,28,7,0.428571429,1.285714286,0.714285714,2.428571429,4
Anton Orme,Division 1,Men,Division 1 Men,Cal Poly-SLO Slocore,9,5,20,12,28,7,1.285714286,0.714285714,2.857142857,1.714285714,4
Mika Kurahashi,Division 1,Women,Division 1 Women,British Columbia Thunderbirds,2,5,12,12,27,6,0.333333333,0.833333333,2,2,4.5
Leo Farley,Division 3,Men,Division 3 Men,Lewis & Clark Bacchus,9,8,18,10,27,6,1.5,1.333333333,3,1.666666667,4.5
Tori Gray,Division 1,Women,Division 1 Women,Carleton Syzygy,13,17,13,9,26,6,2.166666667,2.833333333,2.166666667,1.5,4.333333333
Matthew Kompelien,Division 3,Men,Division 3 Men,St Olaf Berzerkers,4,8,16,6,26,6,0.666666667,1.333333333,2.666666667,1,4.333333333
Alex Nelson,Division 1,Men,Division 1 Men,Cal Poly-SLO Slocore,3,5,6,18,26,7,0.428571429,0.714285714,0.857142857,2.571428571,3.714285714
Stacy Gaskill,Division 1,Women,Division 1 Women,Colorado Quandary,2,3,12,12,25,7,0.285714286,0.428571429,1.714285714,1.714285714,3.571428571
Scott Heyman,Division 1,Men,Division 1 Men,Pittsburgh En Sabah Nur,8,9,16,7,24,5,1.6,1.8,3.2,1.4,4.8
Rowan Jamieson,Division 3,Men,Division 3 Men,Davenport Panthers,8,5,5,22,24,6,1.333333333,0.833333333,0.833333333,3.666666667,4
Daniel Snider,Division 3,Men,Division 3 Men,Bates Orange Whip,28,6,38,8,24,6,4.666666667,1,6.333333333,1.333333333,4
Calvin Brown,Division 1,Men,Division 1 Men,Cal Poly-SLO Slocore,23,6,30,11,24,7,3.285714286,0.857142857,4.285714286,1.571428571,3.428571429
Mica Glass,Division 1,Men,Division 1 Men,Oregon EGO,10,5,24,4,23,6,1.666666667,0.833333333,4,0.666666667,3.833333333
Anna Goddu,Division 1,Women,Division 1 Women,British Columbia Thunderbirds,8,7,4,20,23,6,1.333333333,1.166666667,0.666666667,3.333333333,3.833333333
Tobias Brooks,Division 1,Men,Division 1 Men,Colorado Mambird,6,1,21,6,22,7,0.857142857,0.142857143,3,0.857142857,3.142857143
Miles Miller,Division 3,Men,Division 3 Men,Bates Orange Whip,18,9,21,10,22,6,3,1.5,3.5,1.666666667,3.666666667
Michael Johnson,Division 3,Men,Division 3 Men,Berry Bucks,2,3,5,16,22,6,0.333333333,0.5,0.833333333,2.666666667,3.666666667
Jordan Bacharach,Division 1,Men,Division 1 Men,Michigan Magnum,0,2,4,16,22,5,0,0.4,0.8,3.2,4.4
Jeffy Joshy,Division 3,Men,Division 3 Men,Richmond Spidermonkeys,4,5,4,17,22,6,0.666666667,0.833333333,0.666666667,2.833333333,3.666666667
Henry Ing,Division 1,Men,Division 1 Men,Pittsburgh En Sabah Nur,7,3,13,13,22,5,1.4,0.6,2.6,2.6,4.4
Ezra Weybright,Division 1,Women,Division 1 Women,Oregon Fugue,6,4,14,10,22,6,1,0.666666667,2.333333333,1.666666667,3.666666667
Elliott Rosenberg,Division 1,Men,Division 1 Men,Brown Brownian Motion,8,2,17,11,22,8,1,0.25,2.125,1.375,2.75
Avery Lee-Pii,Division 1,Women,Division 1 Women,British Columbia Thunderbirds,2,7,7,10,22,6,0.333333333,1.166666667,1.166666667,1.666666667,3.666666667
Zeke Thoreson,Division 1,Men,Division 1 Men,Colorado Mambird,1,6,6,10,21,7,0.142857143,0.857142857,0.857142857,1.428571429,3
Sami Chambers,Division 1,Women,Division 1 Women,Georgia Athena,7,8,8,12,21,5,1.4,1.6,1.6,2.4,4.2
Mallori Boddy,Division 3,Women,Division 3 Women,Portland UPRoar,5,8,1,17,21,6,0.833333333,1.333333333,0.166666667,2.833333333,3.5
Julianna Galian,Division 3,Women,Division 3 Women,Portland UPRoar,53,13,43,18,21,6,8.833333333,2.166666667,7.166666667,3,3.5
Eli Fried,Division 1,Men,Division 1 Men,North Carolina Darkside,6,5,3,19,21,6,1,0.833333333,0.5,3.166666667,3.5
Dexter Clyburn,Division 1,Men,Division 1 Men,Cal Ursa Major,13,11,15,8,21,5,2.6,2.2,3,1.6,4.2
Danny Klein,Division 3,Men,Division 3 Men,Williams WUFO,29,7,40,3,21,6,4.833333333,1.166666667,6.666666667,0.5,3.5
Aidan Downey,Division 1,Men,Division 1 Men,Georgia Jojah,7,6,14,8,21,5,1.4,1.2,2.8,1.6,4.2
Paul Krenik,Division 1,Men,Division 1 Men,Minnesota Grey Duck,8,3,14,11,20,5,1.6,0.6,2.8,2.2,4
Nathan Buchholz,Division 1,Men,Division 1 Men,Colorado Mambird,2,3,9,10,20,7,0.285714286,0.428571429,1.285714286,1.428571429,2.857142857
Martin Gallant,Division 1,Men,Division 1 Men,Ottawa Gee-Gees,8,4,10,14,20,5,1.6,0.8,2,2.8,4
Gordon Larson,Division 3,Men,Division 3 Men,St Olaf Berzerkers,11,4,8,19,20,6,1.833333333,0.666666667,1.333333333,3.166666667,3.333333333
Gabriel Jagt,Division 1,Men,Division 1 Men,Minnesota Grey Duck,0,5,2,13,20,5,0,1,0.4,2.6,4
Darren Dyer,Division 3,Men,Division 3 Men,Davenport Panthers,6,9,7,10,20,6,1,1.5,1.166666667,1.666666667,3.333333333
Clil Phillips,Division 1,Women,Division 1 Women,Colorado Quandary,12,12,15,5,20,7,1.714285714,1.714285714,2.142857143,0.714285714,2.857142857
Ben Thoennes,Division 1,Men,Division 1 Men,Oregon State Beavers,11,1,23,7,20,5,2.2,0.2,4.6,1.4,4
Anna Forbes,Division 3,Women,Division 3 Women,Union Jillz,0,9,1,10,20,6,0,1.5,0.166666667,1.666666667,3.333333333
Adam Miller,Division 1,Men,Division 1 Men,Georgia Jojah,10,2,16,12,20,5,2,0.4,3.2,2.4,4
Zoe Costanza,Division 3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,38,15,19,23,19,6,6.333333333,2.5,3.166666667,3.833333333,3.166666667
Suhas Madiraju,Division 1,Men,Division 1 Men,NC State Alpha,7,2,8,16,19,6,1.166666667,0.333333333,1.333333333,2.666666667,3.166666667
Reed Kendall,Division 3,Men,Division 3 Men,Williams WUFO,2,4,5,12,19,6,0.333333333,0.666666667,0.833333333,2,3.166666667
Nathan Hunt,Division 3,Men,Division 3 Men,Oklahoma Christian Eagles,2,6,5,10,19,5,0.4,1.2,1,2,3.8
Josh Singleton,Division 1,Men,Division 1 Men,North Carolina Darkside,4,0,14,9,19,6,0.666666667,0,2.333333333,1.5,3.166666667
Henry Wayte,Division 1,Men,Division 1 Men,Oregon State Beavers,1,1,3,16,19,5,0.2,0.2,0.6,3.2,3.8
Dylan Hawkins,Division 1,Men,Division 1 Men,North Carolina Darkside,2,2,6,13,19,6,0.333333333,0.333333333,1,2.166666667,3.166666667
Aaron Bartlett,Division 1,Men,Division 1 Men,Michigan Magnum,8,4,13,10,19,5,1.6,0.8,2.6,2,3.8
Michael Poe,Division 1,Men,Division 1 Men,Alabama-Huntsville Nightmares,5,7,10,6,18,5,1,1.4,2,1.2,3.6
Macy Vollbrecht,Division 1,Women,Division 1 Women,Stanford Superfly,22,19,13,8,18,7,3.142857143,2.714285714,1.857142857,1.142857143,2.571428571
Felix Moren,Division 1,Men,Division 1 Men,Oregon State Beavers,7,0,15,10,18,5,1.4,0,3,2,3.6
Audrey Stineman,Division 3,Women,Division 3 Women,Portland UPRoar,11,8,15,6,18,6,1.833333333,1.333333333,2.5,1,3
Amelia Hawkins,Division 1,Women,Division 1 Women,Stanford Superfly,1,3,0,16,18,7,0.142857143,0.428571429,0,2.285714286,2.571428571
Amaya Krutsinger,Division 1,Women,Division 1 Women,Western Washington Chaos,13,5,11,15,18,5,2.6,1,2.2,3,3.6
Abbie Gillach,Division 1,Women,Division 1 Women,Colorado Quandary,17,11,13,11,18,7,2.428571429,1.571428571,1.857142857,1.571428571,2.571428571
Sofia Canoutas-Nadel,Division 3,Women,Division 3 Women,Wesleyan Vicious Circles,2,6,1,12,17,6,0.333333333,1,0.166666667,2,2.833333333
Logan Piercy,Division 1,Men,Division 1 Men,Penn State Spank,7,11,2,11,17,5,1.4,2.2,0.4,2.2,3.4
Julia Berard,Division 1,Women,Division 1 Women,Oregon Fugue,2,3,5,11,17,6,0.333333333,0.5,0.833333333,1.833333333,2.833333333
Erica Collin,Division 3,Women,Division 3 Women,St Olaf Vortex,7,6,5,13,17,5,1.4,1.2,1,2.6,3.4
Elan Siegler,Division 3,Men,Division 3 Men,Whitman Sweets,5,0,13,9,17,6,0.833333333,0,2.166666667,1.5,2.833333333
Ben Dameron,Division 1,Men,Division 1 Men,North Carolina Darkside,14,3,22,6,17,6,2.333333333,0.5,3.666666667,1,2.833333333
Abigail Shilts,Division 1,Women,Division 1 Women,California - San Diego D-Co,18,9,7,19,17,5,3.6,1.8,1.4,3.8,3.4
Aaron Kaplan,Division 1,Men,Division 1 Men,Oregon EGO,7,4,8,12,17,6,1.166666667,0.666666667,1.333333333,2,2.833333333
Zach Van Dusen,Division 3,Men,Division 3 Men,Bates Orange Whip,4,5,3,12,16,6,0.666666667,0.833333333,0.5,2,2.666666667
Zac Kuelz,Division 1,Men,Division 1 Men,NC State Alpha,9,0,13,12,16,6,1.5,0,2.166666667,2,2.666666667
Xavier Fuzat,Division 1,Men,Division 1 Men,Texas TUFF,2,1,12,5,16,5,0.4,0.2,2.4,1,3.2
Willow Purvis,Division 1,Women,Division 1 Women,Colorado State Helle's Belles,5,6,6,9,16,5,1,1.2,1.2,1.8,3.2
Wade Buchheit,Division 3,Men,Division 3 Men,Williams WUFO,5,9,7,5,16,6,0.833333333,1.5,1.166666667,0.833333333,2.666666667
Tyler Shanahan,Division 3,Men,Division 3 Men,Davenport Panthers,10,3,19,4,16,6,1.666666667,0.5,3.166666667,0.666666667,2.666666667
Laura Blume,Division 1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,15,8,18,5,16,5,3,1.6,3.6,1,3.2
Jonah Barer,Division 3,Men,Division 3 Men,Carleton CHOP,4,2,4,14,16,6,0.666666667,0.333333333,0.666666667,2.333333333,2.666666667
Ellie McDonald,Division 3,Women,Division 3 Women,St Olaf Vortex,7,3,10,10,16,5,1.4,0.6,2,2,3.2
Dorthea Trelstad Pi-Sunyer,Division 3,Women,Division 3 Women,Macalester Purse Snatchers,5,5,3,13,16,6,0.833333333,0.833333333,0.5,2.166666667,2.666666667
Adam Kohn,Division 3,Men,Division 3 Men,Williams WUFO,4,2,7,11,16,6,0.666666667,0.333333333,1.166666667,1.833333333,2.666666667
Theo Shapinsky,Division 1,Men,Division 1 Men,Michigan Magnum,6,4,9,8,15,5,1.2,0.8,1.8,1.6,3
Seth Wells,Division 1,Men,Division 1 Men,Colorado Mambird,8,2,13,8,15,7,1.142857143,0.285714286,1.857142857,1.142857143,2.142857143
Sebastian Williamson,Division 3,Men,Division 3 Men,Lewis & Clark Bacchus,11,2,18,6,15,6,1.833333333,0.333333333,3,1,2.5
Scott Whitley,Division 1,Men,Division 1 Men,Georgia Jojah,5,2,6,12,15,5,1,0.4,1.2,2.4,3
Robert McCabe,Division 1,Men,Division 1 Men,Cal Ursa Major,1,2,6,8,15,5,0.2,0.4,1.2,1.6,3
Nanda Min-Fink,Division 1,Men,Division 1 Men,Colorado Mambird,5,0,5,15,15,7,0.714285714,0,0.714285714,2.142857143,2.142857143
Maxwell Caputo,Division 3,Men,Division 3 Men,Richmond Spidermonkeys,12,2,18,7,15,6,2,0.333333333,3,1.166666667,2.5
Max Gade,Division 1,Men,Division 1 Men,Cal Poly-SLO Slocore,1,6,3,7,15,7,0.142857143,0.857142857,0.428571429,1,2.142857143
Maryanne Maxwell,Division 3,Women,Division 3 Women,Portland UPRoar,2,4,4,9,15,6,0.333333333,0.666666667,0.666666667,1.5,2.5
Keziah Wilde,Division 3,Women,Division 3 Women,Middlebury Pranksters,20,7,19,9,15,5,4,1.4,3.8,1.8,3
Ethan Lieman,Division 1,Men,Division 1 Men,Massachusetts Zoodisc,2,1,9,7,15,5,0.4,0.2,1.8,1.4,3
Declan Miller,Division 1,Men,Division 1 Men,Carleton CUT,4,1,12,6,15,5,0.8,0.2,2.4,1.2,3
Daniel Chen,Division 1,Men,Division 1 Men,Carleton CUT,4,2,5,12,15,5,0.8,0.4,1,2.4,3
Tristan Yarter,Division 1,Men,Division 1 Men,Pittsburgh En Sabah Nur,6,2,10,8,14,5,1.2,0.4,2,1.6,2.8
Timothy Loftus,Division 3,Men,Division 3 Men,Rochester Piggies,2,2,7,7,14,6,0.333333333,0.333333333,1.166666667,1.166666667,2.333333333
Reid Duncan,Division 1,Men,Division 1 Men,Pittsburgh En Sabah Nur,0,3,3,8,14,5,0,0.6,0.6,1.6,2.8
Peter Ngo,Division 1,Men,Division 1 Men,Texas TUFF,0,0,0,14,14,5,0,0,0,2.8,2.8
Michiko Magnant,Division 1,Women,Division 1 Women,Oregon Fugue,5,2,8,9,14,6,0.833333333,0.333333333,1.333333333,1.5,2.333333333
Matthew Timoney,Division 3,Men,Division 3 Men,Richmond Spidermonkeys,4,0,8,10,14,6,0.666666667,0,1.333333333,1.666666667,2.333333333
Matthew Peterson,Division 3,Men,Division 3 Men,Berry Bucks,6,4,0,16,14,6,1,0.666666667,0,2.666666667,2.333333333
Margot Nissen,Division 1,Women,Division 1 Women,California - San Diego D-Co,7,5,14,2,14,5,1.4,1,2.8,0.4,2.8
Joshua Gill,Division 3,Men,Division 3 Men,Oklahoma Christian Eagles,1,0,0,15,14,5,0.2,0,0,3,2.8
Jessica Wu,Division 1,Women,Division 1 Women,North Carolina Pleiades,4,3,7,8,14,7,0.571428571,0.428571429,1,1.142857143,2
Grant Klebig,Division 3,Men,Division 3 Men,St Olaf Berzerkers,3,9,1,7,14,6,0.5,1.5,0.166666667,1.166666667,2.333333333
Emmanuel Kameri,Division 3,Men,Division 3 Men,Oklahoma Christian Eagles,8,2,7,13,14,5,1.6,0.4,1.4,2.6,2.8
Emma Smith,Division 1,Women,Division 1 Women,California - San Diego D-Co,4,2,2,14,14,5,0.8,0.4,0.4,2.8,2.8
Collin Hill,Division 3,Men,Division 3 Men,Berry Bucks,21,3,31,1,14,6,3.5,0.5,5.166666667,0.166666667,2.333333333
Char Bokhof,Division 1,Women,Division 1 Women,Colorado State Helle's Belles,6,6,4,10,14,5,1.2,1.2,0.8,2,2.8
Ben Horrisberger,Division 1,Men,Division 1 Men,Oregon EGO,2,5,5,6,14,6,0.333333333,0.833333333,0.833333333,1,2.333333333
Annabel White,Division 1,Women,Division 1 Women,Tufts EWO,1,1,2,12,14,5,0.2,0.2,0.4,2.4,2.8
Savanna Tucker,Division 1,Women,Division 1 Women,Washington Element,7,2,6,12,13,5,1.4,0.4,1.2,2.4,2.6
Rose Bransford,Division 1,Women,Division 1 Women,Colorado Quandary,3,4,3,9,13,7,0.428571429,0.571428571,0.428571429,1.285714286,1.857142857
Raekwon Adkins,Division 1,Men,Division 1 Men,Oregon EGO,5,2,4,12,13,6,0.833333333,0.333333333,0.666666667,2,2.166666667
Peter Mans,Division 3,Men,Division 3 Men,Middlebury Pranksters,3,4,3,9,13,5,0.6,0.8,0.6,1.8,2.6
Owen Smith,Division 1,Men,Division 1 Men,Texas TUFF,2,0,5,10,13,5,0.4,0,1,2,2.6
Max Dehlin,Division 1,Men,Division 1 Men,Minnesota Grey Duck,0,2,8,3,13,5,0,0.4,1.6,0.6,2.6
Luca Duclos-Orsello,Division 1,Men,Division 1 Men,Brown Brownian Motion,3,4,1,11,13,8,0.375,0.5,0.125,1.375,1.625
Logan Keillor,Division 1,Men,Division 1 Men,Ottawa Gee-Gees,9,1,13,8,13,5,1.8,0.2,2.6,1.6,2.6
Kennedy McCarthy,Division 1,Women,Division 1 Women,Vermont Ruckus,22,9,14,12,13,6,3.666666667,1.5,2.333333333,2,2.166666667
Joe Claramunt,Division 3,Men,Division 3 Men,Davenport Panthers,5,6,0,12,13,6,0.833333333,1,0,2,2.166666667
Jack Krugler,Division 1,Men,Division 1 Men,Georgia Jojah,5,2,7,9,13,5,1,0.4,1.4,1.8,2.6
Isamu Masayoshi Sims,Division 3,Men,Division 3 Men,Claremont Braineaters,9,6,8,8,13,6,1.5,1,1.333333333,1.333333333,2.166666667
Ian VanOrder,Division 3,Men,Division 3 Men,Berry Bucks,19,8,18,6,13,6,3.166666667,1.333333333,3,1,2.166666667
Gavin Rice,Division 3,Men,Division 3 Men,Middlebury Pranksters,7,3,11,6,13,5,1.4,0.6,2.2,1.2,2.6
Gavin Abrahamsson,Division 1,Men,Division 1 Men,Massachusetts Zoodisc,0,3,4,6,13,5,0,0.6,0.8,1.2,2.6
Ella Monaghan,Division 1,Women,Division 1 Women,Vermont Ruckus,3,1,6,9,13,6,0.5,0.166666667,1,1.5,2.166666667
Dora McCotter-Hulett,Division 1,Women,Division 1 Women,Stanford Superfly,3,4,9,3,13,7,0.428571429,0.571428571,1.285714286,0.428571429,1.857142857
David Leder,Division 3,Men,Division 3 Men,Rochester Piggies,30,9,22,12,13,6,5,1.5,3.666666667,2,2.166666667
Cole Chanler,Division 1,Men,Division 1 Men,Georgia Jojah,2,3,5,7,13,5,0.4,0.6,1,1.4,2.6
Ciona Antolin,Division 1,Women,Division 1 Women,Washington Element,4,9,4,4,13,5,0.8,1.8,0.8,0.8,2.6
Chaily Derecskey,Division 1,Women,Division 1 Women,Pennsylvania Venus,1,1,2,11,13,5,0.2,0.2,0.4,2.2,2.6
Casey Thornton,Division 1,Men,Division 1 Men,Vermont Chill,1,0,7,7,13,5,0.2,0,1.4,1.4,2.6
Casey Shaw-Merrigan,Division 3,Women,Division 3 Women,Colorado College Zenith,10,9,3,11,13,6,1.666666667,1.5,0.5,1.833333333,2.166666667
Caroline Stone,Division 1,Women,Division 1 Women,Vermont Ruckus,6,1,8,10,13,6,1,0.166666667,1.333333333,1.666666667,2.166666667
Calvin Ciorba,Division 3,Men,Division 3 Men,Richmond Spidermonkeys,22,7,24,4,13,6,3.666666667,1.166666667,4,0.666666667,2.166666667
Brynn Freeland,Division 1,Women,Division 1 Women,Victoria Vikes,6,8,5,6,13,5,1.2,1.6,1,1.2,2.6
Benjamin Bushley,Division 3,Men,Division 3 Men,Bates Orange Whip,4,2,1,14,13,6,0.666666667,0.333333333,0.166666667,2.333333333,2.166666667
Anthony Camastro,Division 3,Men,Division 3 Men,Franciscan Fatal,4,2,5,10,13,6,0.666666667,0.333333333,0.833333333,1.666666667,2.166666667
Amelia Platt,Division 3,Women,Division 3 Women,Wesleyan Vicious Circles,5,5,4,9,13,6,0.833333333,0.833333333,0.666666667,1.5,2.166666667
Wesley Fransen,Division 3,Men,Division 3 Men,Missouri S&T Miner Threat,10,4,7,11,12,6,1.666666667,0.666666667,1.166666667,1.833333333,2
Vincent Su,Division 1,Men,Division 1 Men,Cal Ursa Major,5,0,9,8,12,5,1,0,1.8,1.6,2.4
Syris Linkfield,Division 1,Women,Division 1 Women,Oregon Fugue,11,7,9,7,12,6,1.833333333,1.166666667,1.5,1.166666667,2
Simone Pierotti,Division 1,Women,Division 1 Women,Colorado Quandary,5,2,8,7,12,7,0.714285714,0.285714286,1.142857143,1,1.714285714
Ryan Loui-Ying,Division 3,Men,Division 3 Men,Oklahoma Christian Eagles,5,2,9,6,12,5,1,0.4,1.8,1.2,2.4
Nadia Scoppettone,Division 1,Women,Division 1 Women,Vermont Ruckus,3,5,3,7,12,6,0.5,0.833333333,0.5,1.166666667,2
Leo Renzema,Division 1,Men,Division 1 Men,Oregon State Beavers,3,2,3,10,12,5,0.6,0.4,0.6,2,2.4
Jonas Geere,Division 3,Men,Division 3 Men,St Olaf Berzerkers,5,3,8,6,12,6,0.833333333,0.5,1.333333333,1,2
Jason Tapper,Division 1,Men,Division 1 Men,Brown Brownian Motion,6,1,7,10,12,8,0.75,0.125,0.875,1.25,1.5
Jamie Miller,Division 3,Men,Division 3 Men,Claremont Braineaters,2,5,3,6,12,6,0.333333333,0.833333333,0.5,1,2
Jacob Trokel,Division 3,Men,Division 3 Men,Rochester Piggies,4,4,1,11,12,6,0.666666667,0.666666667,0.166666667,1.833333333,2
Henri Lessard,Division 1,Men,Division 1 Men,NC State Alpha,1,5,0,8,12,6,0.166666667,0.833333333,0,1.333333333,2
Harriet Dahlstrom,Division 3,Women,Division 3 Women,Middlebury Pranksters,8,3,5,12,12,5,1.6,0.6,1,2.4,2.4
Grace Maroon,Division 1,Women,Division 1 Women,Pennsylvania Venus,18,9,12,9,12,5,3.6,1.8,2.4,1.8,2.4
Genevieve Reyland-Slawson,Division 1,Women,Division 1 Women,Colorado State Helle's Belles,1,3,6,4,12,5,0.2,0.6,1.2,0.8,2.4
Edi Lam,Division 1,Women,Division 1 Women,Tufts EWO,3,1,10,4,12,5,0.6,0.2,2,0.8,2.4
Cice Kim,Division 1,Women,Division 1 Women,Colorado State Helle's Belles,7,3,3,13,12,5,1.4,0.6,0.6,2.6,2.4
Adam Wright,Division 3,Men,Division 3 Men,Oberlin Flying Horsecows,5,7,4,6,12,6,0.833333333,1.166666667,0.666666667,1,2
Zoe Posner,Division 3,Women,Division 3 Women,Colorado College Zenith,2,6,4,3,11,6,0.333333333,1,0.666666667,0.5,1.833333333
Thomas Preston,Division 3,Men,Division 3 Men,Oklahoma Christian Eagles,3,1,7,6,11,5,0.6,0.2,1.4,1.2,2.2
Seth Fried,Division 1,Men,Division 1 Men,North Carolina Darkside,0,0,2,9,11,6,0,0,0.333333333,1.5,1.833333333
Seamus Robinson,Division 1,Men,Division 1 Men,Cal Poly-SLO Slocore,10,3,6,12,11,7,1.428571429,0.428571429,0.857142857,1.714285714,1.571428571
Ryanne Barrett,Division 1,Women,Division 1 Women,Tufts EWO,5,0,11,5,11,5,1,0,2.2,1,2.2
Reece Overholt,Division 3,Men,Division 3 Men,Williams WUFO,1,1,2,9,11,6,0.166666667,0.166666667,0.333333333,1.5,1.833333333
Presten Berg,Division 3,Women,Division 3 Women,Lewis & Clark Artemis,6,6,5,6,11,5,1.2,1.2,1,1.2,2.2
Nicole lambert,Division 1,Women,Division 1 Women,Stanford Superfly,4,7,0,8,11,7,0.571428571,1,0,1.142857143,1.571428571
Max Fleming,Division 3,Men,Division 3 Men,Whitman Sweets,7,2,6,10,11,6,1.166666667,0.333333333,1,1.666666667,1.833333333
Macy Hudson,Division 1,Women,Division 1 Women,North Carolina Pleiades,8,3,9,7,11,7,1.142857143,0.428571429,1.285714286,1,1.571428571
Levi Tapper,Division 1,Men,Division 1 Men,Colorado Mambird,8,2,4,13,11,7,1.142857143,0.285714286,0.571428571,1.857142857,1.571428571
Leilani Lepe,Division 3,Women,Division 3 Women,Davenport Panthers,11,9,5,8,11,5,2.2,1.8,1,1.6,2.2
Katrina McGuire,Division 1,Women,Division 1 Women,Michigan Flywheel,22,3,16,14,11,5,4.4,0.6,3.2,2.8,2.2
Kailyn Lowder,Division 1,Women,Division 1 Women,North Carolina Pleiades,6,10,1,6,11,7,0.857142857,1.428571429,0.142857143,0.857142857,1.571428571
Joseph Duerr,Division 3,Men,Division 3 Men,Franciscan Fatal,1,5,2,5,11,6,0.166666667,0.833333333,0.333333333,0.833333333,1.833333333
Griffin Yas,Division 1,Men,Division 1 Men,Massachusetts Zoodisc,0,0,2,9,11,5,0,0,0.4,1.8,2.2
Eva Taberski,Division 3,Women,Division 3 Women,Mount Holyoke Daisy Chain,17,10,3,15,11,6,2.833333333,1.666666667,0.5,2.5,1.833333333
Cameron Freeman,Division 1,Men,Division 1 Men,Washington University Contra,14,4,12,9,11,5,2.8,0.8,2.4,1.8,2.2
Calvin Stoughton,Division 1,Men,Division 1 Men,Colorado Mambird,2,5,6,2,11,7,0.285714286,0.714285714,0.857142857,0.285714286,1.571428571
Cade Ashland,Division 3,Men,Division 3 Men,St Olaf Berzerkers,3,0,3,11,11,6,0.5,0,0.5,1.833333333,1.833333333
Austin Gin,Division 1,Men,Division 1 Men,Minnesota Grey Duck,6,0,6,11,11,5,1.2,0,1.2,2.2,2.2
Amelie Marshall,Division 1,Women,Division 1 Women,British Columbia Thunderbirds,8,6,11,2,11,6,1.333333333,1,1.833333333,0.333333333,1.833333333
Aaron Barcio,Division 1,Men,Division 1 Men,Texas TUFF,4,0,9,6,11,5,0.8,0,1.8,1.2,2.2
Wilson Tryon,Division 1,Men,Division 1 Men,Washington University Contra,3,2,4,7,10,5,0.6,0.4,0.8,1.4,2
Theresa Yu,Division 1,Women,Division 1 Women,North Carolina Pleiades,14,3,14,7,10,7,2,0.428571429,2,1,1.428571429
Taylor Dunn,Division 3,Women,Division 3 Women,Mount Holyoke Daisy Chain,1,3,2,6,10,6,0.166666667,0.5,0.333333333,1,1.666666667
Tatum Cubrilovic,Division 1,Women,Division 1 Women,Vermont Ruckus,4,1,8,5,10,6,0.666666667,0.166666667,1.333333333,0.833333333,1.666666667
Sierra Petrash,Division 1,Women,Division 1 Women,Colorado Quandary,4,2,7,5,10,7,0.571428571,0.285714286,1,0.714285714,1.428571429
Sebastian Brauer,Division 1,Men,Division 1 Men,Minnesota Grey Duck,6,1,14,1,10,5,1.2,0.2,2.8,0.2,2
Sean Brown,Division 1,Men,Division 1 Men,Penn State Spank,3,3,4,6,10,5,0.6,0.6,0.8,1.2,2
Samuel Tremblay-Larochelle,Division 1,Men,Division 1 Men,Ottawa Gee-Gees,6,4,7,5,10,5,1.2,0.8,1.4,1,2
Sam Papin,Division 3,Men,Division 3 Men,Missouri S&T Miner Threat,18,8,16,4,10,6,3,1.333333333,2.666666667,0.666666667,1.666666667
Ryan Shigley,Division 1,Men,Division 1 Men,Colorado Mambird,6,2,7,7,10,7,0.857142857,0.285714286,1,1,1.428571429
