player,level,gender,division,team_name,Turns,Ds,Assists,Points,plus_minus,team_games,turns_per_game,ds_per_game,ast_per_game,pts_per_game,pls_mns_per_game
Caroline Li,Division 1,Women,Division 1 Women,Pennsylvania Venus,1,0,0,0,-1,5,0.2,0,0,0,-0.2
Camden Mah,Division 1,Men,Division 1 Men,Cal Ursa Major,8,0,1,6,-1,5,1.6,0,0.2,1.2,-0.2
Caleb Griffiths,Division 1,Men,Division 1 Men,Minnesota Grey Duck,2,0,1,0,-1,5,0.4,0,0.2,0,-0.2
Calan Kirkpatrick,Division 1,Men,Division 1 Men,Massachusetts Zoodisc,1,0,0,0,-1,5,0.2,0,0,0,-0.2
Bridget McBride,Division 3,Women,Division 3 Women,Mount Holyoke Daisy Chain,7,4,0,2,-1,6,1.166666667,0.666666667,0,0.333333333,-0.166666667
Brian Bekken,Division 1,Men,Division 1 Men,Alabama-Huntsville Nightmares,2,0,0,1,-1,5,0.4,0,0,0.2,-0.2
Brandon Lemens,Division 1,Men,Division 1 Men,Texas TUFF,1,0,0,0,-1,5,0.2,0,0,0,-0.2
Benjamin Weinstein,Division 1,Men,Division 1 Men,Vermont Chill,1,0,0,0,-1,5,0.2,0,0,0,-0.2
Ben Thollander,Division 1,Men,Division 1 Men,Texas TUFF,1,0,0,0,-1,5,0.2,0,0,0,-0.2
Ben Eichel,Division 3,Men,Division 3 Men,Lewis & Clark Bacchus,3,1,0,1,-1,6,0.5,0.166666667,0,0.166666667,-0.166666667
Annie Art,Division 3,Women,Division 3 Women,Middlebury Pranksters,1,0,0,0,-1,5,0.2,0,0,0,-0.2
Anna Ryan,Division 3,Women,Division 3 Women,Lewis & Clark Artemis,3,1,0,1,-1,5,0.6,0.2,0,0.2,-0.2
Anna Bingham,Division 3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667
Angelo Hernandez,Division 3,Men,Division 3 Men,Berry Bucks,1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667
Andy Burris,Division 1,Men,Division 1 Men,Brown Brownian Motion,1,0,0,0,-1,8,0.125,0,0,0,-0.125
Amanda Szutu,Division 1,Women,Division 1 Women,SUNY - Binghamton Big Bear,1,0,0,0,-1,5,0.2,0,0,0,-0.2
Aliyah Latham,Division 1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,1,0,0,0,-1,5,0.2,0,0,0,-0.2
Alex Hecht,Division 1,Women,Division 1 Women,North Carolina Pleiades,2,0,1,0,-1,7,0.285714286,0,0.142857143,0,-0.142857143
Alanna Marte,Division 1,Women,Division 1 Women,Pennsylvania Venus,3,1,0,1,-1,5,0.6,0.2,0,0.2,-0.2
Adam Goldstein,Division 1,Men,Division 1 Men,Georgia Jojah,2,0,0,1,-1,5,0.4,0,0,0.2,-0.2
Adam Ali,Division 3,Men,Division 3 Men,Carleton CHOP,2,0,1,0,-1,6,0.333333333,0,0.166666667,0,-0.166666667
Aanand Yu,Division 1,Men,Division 1 Men,NC State Alpha,2,0,1,0,-1,6,0.333333333,0,0.166666667,0,-0.166666667
Zoe Williamson,Division 3,Women,Division 3 Women,Colorado College Zenith,7,2,0,3,-2,6,1.166666667,0.333333333,0,0.5,-0.333333333
Yana Wink,Division 1,Women,Division 1 Women,Western Washington Chaos,7,1,2,2,-2,5,1.4,0.2,0.4,0.4,-0.4
Wade Intrator,Division 3,Men,Division 3 Men,Bates Orange Whip,2,0,0,0,-2,6,0.333333333,0,0,0,-0.333333333
Vivian Ross,Division 3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,6,3,0,1,-2,6,1,0.5,0,0.166666667,-0.333333333
Tomomi Ogura,Division 1,Women,Division 1 Women,Western Washington Chaos,11,2,4,3,-2,5,2.2,0.4,0.8,0.6,-0.4
Taro Jelinek,Division 3,Men,Division 3 Men,St Olaf Berzerkers,7,3,0,2,-2,6,1.166666667,0.5,0,0.333333333,-0.333333333
Sydney Tellis,Division 3,Women,Division 3 Women,Richmond Red Hots,5,3,0,0,-2,6,0.833333333,0.5,0,0,-0.333333333
Sophie Hankin,Division 1,Women,Division 1 Women,Tufts EWO,10,1,6,1,-2,5,2,0.2,1.2,0.2,-0.4
Sayric Arias,Division 1,Men,Division 1 Men,Oregon State Beavers,3,0,0,1,-2,5,0.6,0,0,0.2,-0.4
Sam Fischer,Division 3,Men,Division 3 Men,Claremont Braineaters,3,1,0,0,-2,6,0.5,0.166666667,0,0,-0.333333333
Rylie Feltner,Division 3,Women,Division 3 Women,Union Jillz,3,0,0,1,-2,6,0.5,0,0,0.166666667,-0.333333333
Rohan Patel,Division 1,Men,Division 1 Men,Washington University Contra,3,1,0,0,-2,5,0.6,0.2,0,0,-0.4
Rebecca Marshall,Division 1,Women,Division 1 Women,Carleton Syzygy,4,1,1,0,-2,6,0.666666667,0.166666667,0.166666667,0,-0.333333333
Nicky Troilo,Division 1,Men,Division 1 Men,Pittsburgh En Sabah Nur,6,0,3,1,-2,5,1.2,0,0.6,0.2,-0.4
Monica Hoang,Division 1,Women,Division 1 Women,Washington Element,2,0,0,0,-2,5,0.4,0,0,0,-0.4
Molly Friedrichs,Division 3,Women,Division 3 Women,Macalester Purse Snatchers,3,0,0,1,-2,6,0.5,0,0,0.166666667,-0.333333333
Mechelle Chen,Division 1,Women,Division 1 Women,Georgia Athena,3,0,0,1,-2,5,0.6,0,0,0.2,-0.4
Matthew Evans,Division 3,Men,Division 3 Men,Franciscan Fatal,18,4,9,3,-2,6,3,0.666666667,1.5,0.5,-0.333333333
Mary Francis,Division 1,Women,Division 1 Women,Utah Spiral Jetty,6,0,2,2,-2,5,1.2,0,0.4,0.4,-0.4
Maple Bottinelli,Division 3,Women,Division 3 Women,Wellesley Whiptails,2,0,0,0,-2,6,0.333333333,0,0,0,-0.333333333
Manuel Estevez,Division 3,Men,Division 3 Men,Berry Bucks,2,0,0,0,-2,6,0.333333333,0,0,0,-0.333333333
Makenna Bachman,Division 3,Women,Division 3 Women,Middlebury Pranksters,5,2,0,1,-2,5,1,0.4,0,0.2,-0.4
Lyanne Wang,Division 3,Women,Division 3 Women,Wellesley Whiptails,3,0,0,1,-2,6,0.5,0,0,0.166666667,-0.333333333
Lucy Tanner,Division 1,Women,Division 1 Women,Washington Element,16,3,7,4,-2,5,3.2,0.6,1.4,0.8,-0.4
Lucy Suchomel,Division 3,Women,Division 3 Women,Grinnell Grinneleanor Roosevelts,2,0,0,0,-2,6,0.333333333,0,0,0,-0.333333333
Lindsey Norwood,Division 3,Women,Division 3 Women,Union Jillz,10,5,1,2,-2,6,1.666666667,0.833333333,0.166666667,0.333333333,-0.333333333
Lily Weissman,Division 3,Women,Division 3 Women,Middlebury Pranksters,3,0,1,0,-2,5,0.6,0,0.2,0,-0.4
Lily LeDonne,Division 1,Women,Division 1 Women,Washington Element,3,0,1,0,-2,5,0.6,0,0.2,0,-0.4
Lia Schwartz,Division 1,Women,Division 1 Women,Tufts EWO,23,3,17,1,-2,5,4.6,0.6,3.4,0.2,-0.4
Leza Rooks,Division 3,Women,Division 3 Women,Wesleyan Vicious Circles,7,2,1,2,-2,6,1.166666667,0.333333333,0.166666667,0.333333333,-0.333333333
Leo Furr,Division 3,Men,Division 3 Men,Claremont Braineaters,4,0,0,2,-2,6,0.666666667,0,0,0.333333333,-0.333333333
Leah Demsey,Division 1,Women,Division 1 Women,Victoria Vikes,6,1,0,3,-2,5,1.2,0.2,0,0.6,-0.4
Lauren Marshall,Division 1,Women,Division 1 Women,SUNY - Binghamton Big Bear,7,4,1,0,-2,5,1.4,0.8,0.2,0,-0.4
Kate Gearing,Division 1,Women,Division 1 Women,Tufts EWO,8,4,1,1,-2,5,1.6,0.8,0.2,0.2,-0.4
