"League","Away_team","Home_team","Away_shots","Home_shots","Away_goals","Home_goals","goals_per_game","goals_per_48"
"PLL","Whipsnakes","Redwoods",24,22,7,13,20,20
"PLL","Chaos","Atlas",19,33,10,16,26,26
"PLL","Waterdogs","Chrome",28,15,12,6,18,18
"PLL","Archers","Cannons",27,26,12,13,25,25
"PLL","Chrome","Atlas",22,32,10,19,29,29
"PLL","Redwoods","Archers",24,31,12,15,27,27
"PLL","Whipsnakes","Waterdogs",25,23,6,11,17,17
"PLL","Chrome","Chaos",30,26,12,14,26,26
"PLL","Cannons","Atlas",22,30,12,13,25,25
"PLL","Whipsnakes","Redwoods",28,20,14,12,26,26
"PLL","Chaos","Archers",28,21,11,9,20,20
"PLL","Waterdogs","Atlas",20,26,10,9,19,19
"PLL","Chrome","Cannons",26,26,10,13,23,23
"PLL","Redwoods","Chaos",21,26,10,9,19,19
"PLL","Whipsnakes","Archers",31,25,14,15,29,29
