"","player","birdie_avg","bogey_avg","PKD","C1R","C2R","FWY","SCR","OB/18","C1X","C2P","tot_SG:TG","tot_SG:P","events","rounds","wins","podiums","top_10s","top_20s","avg_place","top_10%","top_20%","total_earnings","total_strokes"
"59","Evan Scott",5.58,3.45,5.19,28.79,52.38,71.04,33.93,2.34,80.43,34.78,-9.97,13.94,10,31,0,0,0,1,54.3,0,10,3229,1983
"60","Kevin Kiefer III",5.57,3.3,7.05,29.27,52.35,72.09,36.36,2.27,83.47,23.24,-6.97,11.85,10,30,0,0,0,1,50.3,0,10,2788,1909
"61","Chris Clemons",5.57,2.8,5.01,29.85,51.77,74.91,43.4,1.84,83.52,27.41,-5.38,18.23,10,30,0,0,0,2,41.4,0,20,2865,1885
"62","Chandler Kramer",5.55,3.23,6.48,30.24,55.08,72.19,39.22,2.14,79.78,24,9.8,-3.37,10,31,0,0,0,0,52.4,0,0,2920,1973
"63","AJ Carey",5.53,3.53,7.83,29.98,51.68,72.64,37,2.7,85.6,27.86,-0.63,15.34,10,30,0,0,0,0,53.3,0,0,1881,1914
"64","Connor Rock",5.5,3.36,7.54,27.65,51.4,72.96,34.33,1.81,80.22,28.21,-15.91,5.52,7,22,0,0,0,1,56.57,0,14.29,1580,1387
"65","Drew Gibson",5.48,3.32,6.57,31.57,58.08,73.04,26.58,2.09,76.34,28.17,3.34,-6.42,8,25,0,0,0,0,55.5,0,0,851,1582
"66","Zachary Nash",5.47,3.33,5.39,28.84,53.73,69.92,38.74,2.43,83.16,30.81,-15.28,12.84,10,30,0,0,1,1,57.8,10,10,2856,1924
"67","Colten Montgomery",5.44,3.24,5.36,32.17,62.24,78.18,28.99,2.27,79.52,21.69,-8.26,-7.33,8,25,0,0,0,2,57.25,0,25,2398,1578
"68","Thomas Gilbert",5.43,5.24,7.24,27.88,47.19,61.33,35.04,2.94,87.12,22.48,-31.56,8.34,7,21,0,0,0,0,75.29,0,0,425,1382
"69","Väinö Mäkelä",5.43,2.46,8.01,34.2,59.09,76.44,44.87,1.4,78.07,22.54,17.17,-11.43,9,28,0,0,0,2,41.44,0,22.22,3653,1748
"70","G.T. Hancock",5.38,4.62,7.22,28.88,53.74,72.22,13.16,3.13,81.74,24.81,-36.97,4.96,7,21,0,0,0,0,76,0,0,476,1381
"71","Braeden Sides",5.32,3.46,9.09,30.47,52.33,68.46,40.22,2.21,78.97,26.05,8.76,-0.79,9,28,0,0,1,1,57.22,11.11,11.11,3413,1796
"72","Parker Welck",5.31,3.24,5.41,32.03,54.76,73.1,41.12,2.49,82.13,22.3,8.7,-2.94,9,29,0,0,0,0,50.44,0,0,2958,1851
"73","Randy Dueck",5.3,4.07,5.81,29.46,52.26,73.97,29.17,2.09,78.04,20.39,-29.12,-15.11,10,30,0,0,0,1,67.1,0,10,1274,1952
"74","Linus Carlsson",5.3,3.56,4.74,31.03,52.16,70.96,34.91,2.68,84.07,23.61,-14.33,10.63,9,27,0,0,0,0,57,0,0,597,1729
"75","Luke Samson",5.27,3.5,8.28,29.31,52.57,71.14,29.35,2.5,82.97,18.67,-6.68,-2.18,10,30,0,0,0,0,55.8,0,0,1009,1926
"76","Kevin Jones",5.27,3.3,6.42,29.19,51.76,69.98,41,2.12,85.51,23.49,-7.02,14,10,30,0,0,0,1,51.6,0,10,2130,1915
"77","Max Regitnig",5.25,4.17,4.83,28.13,48.58,70.47,26.67,2.45,78.77,15.84,-27.32,-14.71,8,24,0,0,0,0,73.88,0,0,374,1562
"78","Raven Newsom",5.24,3.45,7.05,27.59,48.55,69.57,31.37,2.32,84.56,26.72,-13.69,10.79,9,29,0,0,0,0,55.89,0,0,2104,1851
"79","Paul Krans",5.13,3.71,4.48,29.41,51.26,73.08,34.29,1.56,80.91,24.04,-24.66,3.34,8,24,0,0,0,0,59,0,0,400,1551
"80","Andrew Fish",5.12,3.2,5.9,26.92,48.21,69.27,39.36,1.94,82.09,27.52,-21.46,7.57,8,25,0,0,0,0,57.25,0,0,1314,1587
"81","Clay Edwards",5.1,3.19,4.58,25.5,51.86,72.09,38.46,1.96,84.58,24.79,-40.3,14.59,7,21,0,0,0,1,66.29,0,14.29,1021,1319
"82","Nate Hecker",5.07,4.13,6.03,28.02,47.84,68.75,37.29,1.94,76.55,30.88,-9.56,-2.88,5,15,0,0,0,0,45.2,0,0,1015,850
"83","Justin Rosak",5.05,3.63,6.27,29.7,55.45,72,43.24,2.73,78.65,21.43,-2.26,-10.8,6,19,0,0,0,0,71.17,0,0,532,1215
"84","Zach Arlinghaus",4.96,3.32,5.82,27.52,50.34,70.35,35.56,2.17,78.99,24.64,-14.17,2.63,9,28,0,0,0,0,55,0,0,933,1792
"85","Jacob Courtis",4.96,5.07,4.2,27.33,49.85,65.31,31,4.38,82.51,25,-23.23,-1.28,9,27,0,0,0,0,84.78,0,0,326,1825
"86","Connor O'Reilly",4.93,3.97,6.74,28.84,54.31,72.37,34.56,2.43,80.37,16.76,-26.05,-14.66,10,30,0,0,0,0,69.2,0,0,766,1960
"87","Carter Ahrens",4.83,4.42,5.87,28.17,51.64,67.88,35.09,2.11,77.31,15.11,-16.44,-23.74,8,24,0,0,0,0,72,0,0,48,1577
"88","Jake Wolff",4.82,4,7.72,26.85,55.86,75.64,37.84,3.28,75.74,21.26,-4.38,-14.33,8,22,0,0,0,0,64.5,0,0,308,1363
"89","Nikko Locastro",4.77,3.9,5.82,29.53,54.96,72.98,36.89,2.33,77.33,24.16,9.03,-9.32,10,31,0,0,0,1,51.1,0,10,2337,1786
"90","Trevon Crowe",4.75,3.38,4.39,26.1,51.95,71.04,39.58,2.24,86.47,19.26,-39.38,12.33,8,24,0,0,0,0,70,0,0,810,1535
"91","Sullivan Tipton",4.73,3.67,4.27,26.5,42.74,73.66,43.14,1.62,81.06,31.58,-9.55,4.92,6,15,0,0,1,1,45.67,16.67,16.67,3501,790
"92","Jake Monn",4.67,5.2,4.09,25.65,46.1,72.12,20.59,2.88,84.56,18.28,-25.21,3.49,5,15,0,0,0,0,64.2,0,0,407,1025
"93","Tuomas Hyytiäinen",4.56,3.96,7.22,29.14,51.87,69.76,33.96,2.26,75.43,17.89,-19.13,-24.57,9,27,0,0,0,0,71.78,0,0,543,1768
"94","Joey Temali",4.53,4.87,4.55,24.02,47,70.84,22.13,3.09,74.48,29.11,-52.78,-14.86,10,30,0,0,0,0,84.1,0,0,394,2014
"95","Joe Notch",4.47,5,4.26,22.98,45.11,66.29,37.33,2.3,83.92,28.77,-5.86,7.86,6,17,0,0,0,0,55.17,0,0,1159,1088
"96","Mason Marchbanks",4.43,3.43,6.6,31.35,53.8,73.89,29.51,2.38,77.44,21.65,-15.42,-5.3,7,21,0,0,1,1,70.43,14.29,14.29,1350,1364
"97","Aidan Scott",4.41,4.07,5.48,27.41,58.55,74.4,27.72,2.88,82.12,19.05,-24.13,-15.71,9,27,0,0,0,0,65.78,0,0,445,1587
