Player,Surface,ReturnPointsWonPercentage,DoubleFaultPercentage,WinPercentage
Arthur Rinderknech,Grass,0.33267,0.03162,0.33333
Arthur Rinderknech,Hard,0.3178,0.02692,0.4
Daniel Altmaier,Clay,0.38627,0.02769,0.45455
Daniel Altmaier,Hard,0.33668,0.03071,0.38095
Arthur Cazaux,Hard,0.34956,0.02093,0.5
Ilya Ivashka,Hard,0.37903,0.07722,0.4
Otto Virtanen,Hard,0.34783,0.05263,0.625
Joao Fonseca,Clay,0.39603,0.03071,0.5
Richard Gasquet,Clay,0.38269,0.03153,0.16667
Richard Gasquet,Grass,0.32941,0.04207,0.33333
Richard Gasquet,Hard,0.32019,0.035,0.21429
Pedro Martinez,Clay,0.41008,0.04348,0.6
Hugo Gaston,Clay,0.38879,0.02872,0.33333
Hugo Gaston,Hard,0.36364,0.03323,0.45455
Aleksandar Vukic,Clay,0.363,0.02307,0.4
Aleksandar Vukic,Grass,0.30921,0.01965,0.4
Aleksandar Vukic,Hard,0.3266,0.02404,0.38462
Luca Nardi,Hard,0.34291,0.03186,0.42857
Jiri Vesely,Hard,0.28791,0.07065,0.4
Albert Ramos,Clay,0.40605,0.02639,0.44444
Albert Ramos,Hard,0.31469,0.02178,0.16667
Soon Woo Kwon,Hard,0.32231,0.04301,0.125
Hugo Grenier,Hard,0.34615,0.05591,0.33333
Juan Manuel Cerundolo,Clay,0.34332,0.05204,0.16667
Juan Manuel Cerundolo,Hard,0.38121,0.06261,0.66667
Andrea Vavassori,Clay,0.37719,0.03896,0.42857
Maximilian Marterer,Clay,0.33947,0.03351,0.33333
Maximilian Marterer,Hard,0.30795,0.02428,0.3
Daniel Elahi Galan,Clay,0.36772,0.02105,0.29412
Daniel Elahi Galan,Grass,0.36437,0.01906,0.6
Daniel Elahi Galan,Hard,0.3588,0.02058,0.25
Marco Cecchinato,Clay,0.3129,0.02604,0.2
Benjamin Bonzi,Hard,0.35324,0.03375,0.25
Francesco Passaro,Clay,0.30415,0.04454,0.4
Zachary Svajda,Hard,0.34462,0.0255,0.33333
Elias Ymer,Hard,0.354,0.04684,0.375
Hugo Dellien,Clay,0.33774,0.01765,0.14286
Maxime Cressy,Grass,0.30847,0.1229,0.16667
Maxime Cressy,Hard,0.32323,0.08989,0.2
Constant Lestienne,Hard,0.37412,0.03707,0.26667
Juan Pablo Varillas,Clay,0.39845,0.01552,0.5
Juan Pablo Varillas,Hard,0.33655,0.02411,0.30769
Tomas Barrios Vera,Clay,0.3255,0.04747,0.4
Shintaro Mochizuki,Hard,0.34039,0.03634,0.3
Jurij Rodionov,Clay,0.35062,0.0279,0.33333
Jurij Rodionov,Hard,0.35141,0.0257,0.42857
Abedallah Shelbayh,Hard,0.35575,0.04781,0.28571
Bernabe Zapata Miralles,Clay,0.39107,0.02642,0.22222
Bernabe Zapata Miralles,Hard,0.34994,0.02817,0.16667
Pedro Cachin,Clay,0.38001,0.03187,0.42857
Pedro Cachin,Hard,0.30573,0.03774,0
Valentin Vacherot,Clay,0.39007,0.02985,0.33333
Sho Shimabukuro,Hard,0.3356,0.0344,0.375
Patrick Kypson,Hard,0.30353,0.02118,0.5
Gabriel Diallo,Hard,0.37398,0.03858,0.5
Thiago Agustin Tirante,Clay,0.36449,0.01926,0.5
Seong Chan Hong,Hard,0.31839,0.01688,0
