"","fighter_name","Height","Weight","Reach","Stance","Birthyear","SLpM","Str_Acc","SApM","Str_Def","TD_Avg","TD_Acc","TD_Def","Sub_Avg"
"1595","Randall Wallace",71,185,73,"Orthodox",1989,1.13,38,4.11,45,2.13,50,0,0
"1596","Richard Walsh",72,170,73,"Orthodox",1988,3.84,46,2.72,58,1.55,40,66,0.2
"1597","Curt Warburton",72,155,73,"Orthodox",NA,2.13,42,3.44,43,2.35,50,83,0.9
"1598","Brennan Ward",70,170,71,"",1988,7.2,60,2.76,52,0,0,100,3.6
"1599","Terrion Ware",68,135,71,"Orthodox",1986,4.02,32,6.07,50,0.5,22,44,0
"1600","Dominic Waters",73,170,79,"Orthodox",1989,0.48,23,2.53,39,4.07,52,28,0
"1601","Michelle Waterson",63,115,62,"Orthodox",1986,3.58,49,4,49,1.52,34,67,0.9
"1602","Walel Watson",71,135,75,"Orthodox",1984,2.1,29,3.79,43,0,0,61,1.4
"1603","Tom Watson",73,185,73,"Orthodox",1982,4.01,44,4.41,50,0.15,7,43,0
"1604","Brok Weaver",72,155,73,"Southpaw",1991,4.78,64,4.35,46,0.41,10,66,0.4
"1605","Royston Wee",67,135,67,"Orthodox",1986,1.1,60,2.45,49,3.38,81,0,0
"1606","Daniel Weichel",70,145,70,"",1984,5.71,42,4.05,61,0.84,50,83,0
"1607","Chris Weidman",74,185,78,"Orthodox",1984,3.03,43,3.15,52,3.93,47,65,0.9
"1608","Christian Wellisch",74,234,77,"Orthodox",1975,3.12,27,3.04,56,1.22,42,45,1.2
"1609","Fabricio Werdum",76,231,77,"Orthodox",1977,3.59,52,2.64,55,1.75,31,31,1.2
"1610","Sheldon Westcott",73,170,71,"Southpaw",1984,2.26,40,3.73,37,3.23,37,14,0
"1611","Coty Wheeler",66,135,67,"Orthodox",1978,1.88,22,3.16,59,0.87,37,33,2.6
"1612","Alex White",72,155,71,"Southpaw",1988,3.76,42,3.07,60,0.92,28,71,0.5
"1613","Robert Whiteford",69,145,69,"Southpaw",1983,2.33,46,1.99,62,1.9,30,45,0
"1614","Craig White",74,170,76,"Orthodox",1990,1.23,40,3.28,39,0,0,50,0.8
"1615","Garett Whiteley",72,155,72,"Orthodox",1980,3.72,48,4.04,46,0,0,27,0.9
"1616","Emily Whitmire",65,115,63,"Orthodox",1991,2.71,30,3.08,54,1.1,50,70,0.6
"1617","Robert Whittaker",72,185,73,"Orthodox",1990,4.52,40,3.44,60,0.43,27,84,0
"1618","Adam Wieczorek",77,250,81,"Orthodox",1992,1.68,38,1.87,48,0.41,33,58,0.4
"1619","Mike Wilkinson",67,145,66,"Orthodox",1987,2.35,38,3.7,35,0.92,14,55,0.9
"1620","Rob Wilkinson",75,185,80,"Orthodox",1992,2.74,50,5.66,39,4.47,25,0,0
"1621","James Wilks",73,170,75,"Orthodox",1978,1.82,45,2.03,50,1.27,22,66,3.8
"1622","Patrick Williams",68,135,73,"Orthodox",1981,4.12,51,4.12,52,2.71,41,100,0.5
"1623","Tim Williams",74,185,76,"Orthodox",1986,3.07,38,3.55,48,1.81,40,100,0
"1624","Jordan Williams",73,185,75,"Southpaw",1990,6.07,51,5.77,35,0.98,50,88,0
"1625","Cole Williams",72,170,73,"Orthodox",1983,0.31,27,5.34,23,0,0,25,0
"1626","Khaos Williams",72,170,77,"Orthodox",1994,4.39,45,2.95,44,0,0,0,0
"1627","Justin Willis",73,264,78,"Southpaw",1987,3.37,59,2.57,57,0.96,66,36,0
"1628","Chris Wilson",73,170,75,"Orthodox",1977,2.32,50,1.36,55,1.31,50,60,1.6
"1629","Jonathan Wilson",74,205,75,"Southpaw",1987,2.92,48,5.65,56,0.37,100,80,0
"1630","Matt Wiman",70,155,68,"Orthodox",1983,3.17,50,3.57,51,2.13,37,56,1.5
"1631","Eddie Wineland",67,135,69,"Orthodox",1984,3.4,29,3.66,69,0.34,33,86,0.1
"1632","Deron Winn",66,185,70,"Orthodox",1989,4.74,47,5.17,50,4.98,52,0,0
"1633","Andre Winner",71,155,73,"Orthodox",1981,2.52,33,4.57,51,0,0,74,0
"1634","Jason Witt",70,170,70,"Orthodox",1986,3.16,65,2.68,29,3.65,50,0,1.8
"1635","Nathaniel Wood",66,140,69,"Orthodox",1993,6.28,46,4.36,53,1.29,46,75,0.9
"1636","Tyron Woodley",69,170,74,"Orthodox",1982,2.33,48,2.72,55,1.08,40,87,0.4
"1637","Sean Woodson",74,145,78,"Orthodox",1992,6.4,45,4.43,58,0,0,77,0
"1638","Khama Worthy",71,155,74,"Orthodox",1986,4.12,47,3.69,45,0,0,57,0.8
"1639","Danyelle Wolf",71,145,70,"Orthodox",1983,3.4,28,5.67,44,0,0,100,1
"1640","Jordan Wright",74,205,77,"Orthodox",1991,4.68,50,8.02,40,0,0,100,0
"1641","Wu Yanan",68,125,66,"Orthodox",1996,4.51,45,4.82,51,0.61,22,66,0.3
"1642","Rani Yahya",66,135,67,"Orthodox",1984,1.57,37,1.7,50,2.89,33,24,2
"1643","Alexander Yakovlev",75,155,74,"Southpaw",1984,1.74,47,2.41,58,1.66,35,72,0.1
"1644","Norifumi Yamamoto",64,135,66,"Southpaw",1977,2.09,45,2.01,57,0.41,22,45,0
"1645","Yan Xiaonan",65,115,63,"Orthodox",1989,6.42,42,3.63,63,1,75,75,0
"1646","Petr Yan",67,135,67,"Switch",1993,5.99,52,3.55,62,2.14,66,90,0.1
"1647","Dongi Yang",70,185,73,"Southpaw",1984,3.55,51,3.21,63,1.7,41,61,0.5
"1648","Adam Yandiev",69,185,74,"Orthodox",1988,0.18,8,6.14,36,0,0,25,0
"1649","Hu Yaozong",75,205,72,"Orthodox",1995,4.43,52,5.23,38,0,0,0,0.7
"1650","Ashley Yoder",67,115,69,"Southpaw",1987,2.75,39,3.53,46,1.33,37,68,0.7
"1651","Sanghoon Yoo",72,155,74,"Orthodox",1990,5,66,7.27,27,1,100,75,1
"1652","Yoshiyuki Yoshida",71,170,70,"Southpaw",1974,0.85,36,3.67,36,1.41,28,25,2.8
"1653","Adrian Yanez",67,135,70,"Orthodox",1993,4.69,44,2.31,55,0,0,100,0
"1654","Shane Young",68,145,72,"Orthodox",1993,6.01,40,5.15,56,0.73,25,64,0
"1655","Shanna Young",67,135,65,"Orthodox",1991,3.05,57,5.28,45,0,0,54,0
"1656","Jason Young",69,145,73,"Orthodox",1986,2.97,37,3.2,50,1.98,66,55,0
"1657","Sodiq Yusuff",69,145,71,"Orthodox",1993,6.1,49,4.06,58,0,0,72,0.3
"1658","Gilbert Yvel",74,225,77,"Orthodox",1976,1.05,47,1.78,50,0,0,25,1
"1659","Luke Zachrich",74,185,74,"Orthodox",1981,4.56,32,4.46,62,0.74,33,80,0
