away_team,away_score,home_team,home_score,date
Trinity (Texas),0,Christopher Newport,1,2022-11-19
Emory,0,Messiah,1,2022-11-19
Loras,1,Case Western Reserve,3,2022-11-19
William Smith,2,Amherst,1,2022-11-19
Washington U.,2,Carnegie Mellon,1,2022-11-19
Virginia Wesleyan,2,UW-La Crosse,1,2022-11-19
Johns Hopkins,2,Misericordia,0,2022-11-20
Virginia Wesleyan,0,Christopher Newport,0,2022-11-20
Messiah,2,Washington U.,2,2022-11-20
William Smith,2,Case Western Reserve,4,2022-11-20
Johns Hopkins,4,Messiah,1,2022-12-02
Virginia Wesleyan,0,Case Western Reserve,3,2022-12-02
Case Western Reserve,1,Johns Hopkins,2,2022-12-04
