Team,Opponent,Host,Year,Toss,Selection,Run Scored,Fours,Sixes,Extras Scored,Highest Score,Result,Given Extras
UAE,Bangladesh,Mirpur,2016,1,1,82,7,4,3,30,0,5
India,Pakistan,Mirpur,2016,1,1,85,10,0,14,49,1,15
Pakistan,India,Mirpur,2016,0,0,83,8,0,15,25,0,14
Bangladesh,Sri Lanka,Mirpur,2016,1,0,147,15,4,4,80,1,3
Sri Lanka,Bangladesh,Mirpur,2016,0,1,124,7,4,3,37,0,4
Pakistan,UAE,Mirpur,2016,0,1,131,12,6,3,63,1,9
UAE,Pakistan,Mirpur,2016,1,0,129,13,6,9,46,0,3
India,Sri Lanka,Mirpur,2016,1,1,142,15,4,1,56,1,10
Sri Lanka,India,Mirpur,2016,0,0,138,14,2,10,30,0,1
Bangladesh,Pakistan,Mirpur,2016,0,1,131,10,3,8,48,1,0
Pakistan,Bangladesh,Mirpur,2016,1,0,129,12,4,0,58,0,8
India,UAE,Mirpur,2016,0,1,82,14,2,2,39,1,7
UAE,India,Mirpur,2016,1,0,81,6,1,7,43,0,2
Pakistan,Sri Lanka,Mirpur,2016,1,1,151,18,3,7,48,1,7
Sri Lanka,Pakistan,Mirpur,2016,0,0,150,17,2,7,75,0,7
Bangladesh,India,Mirpur,2016,0,0,120,12,2,3,33,0,0
India,Bangladesh,Mirpur,2016,1,1,122,15,3,0,60,1,3
Bangladesh,Sri Lanka,Dubai(DSC),2018,1,0,261,19,6,12,144,1,1
Sri Lanka,Bangladesh,Dubai(DSC),2018,0,1,124,8,4,1,29,0,12
Hong Kong,Pakistan,Dubai(DSC),2018,1,0,116,10,1,4,27,0,4
Pakistan,Hong Kong,Dubai(DSC),2018,0,1,120,9,3,4,50,1,4
Afghanistan,Sri Lanka,Abu Dhabi,2018,1,0,249,19,3,9,72,1,13
Sri Lanka,Afghanistan,Abu Dhabi,2018,0,1,158,10,1,13,36,0,9
Hong Kong,India,Dubai(DSC),2018,1,1,259,19,6,13,92,0,5
India,Hong Kong,Dubai(DSC),2018,0,0,285,25,5,5,127,1,13
India,Pakistan,Dubai(DSC),2018,0,1,164,17,5,4,52,1,7
Pakistan,India,Dubai(DSC),2018,1,0,162,10,2,7,47,0,4
Afghanistan,Bangladesh,Abu Dhabi,2018,1,0,255,24,1,7,58,1,5
Bangladesh,Afghanistan,Abu Dhabi,2018,0,1,119,5,0,5,32,0,7
Bangladesh,India,Dubai(DSC),2018,0,0,173,11,4,3,42,0,4
India,Bangladesh,Dubai(DSC),2018,1,1,174,13,4,4,83,1,3
Afghanistan,Pakistan,Abu Dhabi,2018,1,0,257,16,5,5,97,0,17
Pakistan,Afghanistan,Abu Dhabi,2018,0,1,258,13,6,17,80,1,5
India,Pakistan,Dubai(DSC),2018,0,1,238,24,6,1,114,1,8
Pakistan,India,Dubai(DSC),2018,1,0,237,11,5,8,78,0,1
Afghanistan,Bangladesh,Abu Dhabi,2018,0,1,246,20,3,8,71,0,7
Bangladesh,Afghanistan,Abu Dhabi,2018,1,0,249,15,3,7,74,1,8
Afghanistan,India,Dubai(DSC),2018,1,0,252,17,11,7,124,0,9
India,Afghanistan,Dubai(DSC),2018,0,1,252,17,5,9,60,0,7
Bangladesh,Pakistan,Abu Dhabi,2018,1,0,239,17,1,9,99,1,9
Pakistan,Bangladesh,Abu Dhabi,2018,0,1,202,10,2,9,83,0,9
Bangladesh,India,Dubai(DSC),2018,0,0,222,17,4,7,121,0,13
India,Bangladesh,Dubai(DSC),2018,1,1,223,13,6,13,48,1,7
Afghanistan,Sri Lanka,Dubai(DSC),2022,1,1,106,10,5,12,40,1,6
Sri Lanka,Afghanistan,Dubai(DSC),2022,0,0,105,11,2,6,38,0,12
India,Pakistan,Dubai(DSC),2022,1,1,148,10,5,14,35,1,5
Pakistan,India,Dubai(DSC),2022,0,0,147,13,4,5,43,0,14
Afghanistan,Bangladesh,Sharjah,2022,0,1,131,10,6,4,43,1,5
Bangladesh,Afghanistan,Sharjah,2022,1,0,127,10,1,5,48,0,4
Hong Kong,India,Dubai(DSC),2022,1,1,152,14,5,6,41,0,8
India,Hong Kong,Dubai(DSC),2022,0,0,192,9,12,8,68,1,6
Bangladesh,Sri Lanka,Dubai(DSC),2022,0,0,183,15,6,10,39,0,17
Sri Lanka,Bangladesh,Dubai(DSC),2022,1,1,184,14,6,17,60,1,10
Hong Kong,Pakistan,Sharjah,2022,1,1,38,2,0,10,8,0,18
Pakistan,Hong Kong,Sharjah,2022,0,0,193,10,8,18,78,1,10
Afghanistan,Sri Lanka,Sharjah,2022,0,0,175,9,9,12,84,0,5
Sri Lanka,Afghanistan,Sharjah,2022,1,1,179,16,7,5,36,1,12
India,Pakistan,Dubai(DSC),2022,0,0,181,16,5,14,60,0,8
Pakistan,India,Dubai(DSC),2022,1,1,182,19,5,8,71,1,14
India,Sri Lanka,Dubai(DSC),2022,0,0,173,10,7,8,72,0,6
Sri Lanka,India,Dubai(DSC),2022,1,1,174,12,8,6,57,1,8
Afghanistan,Pakistan,Sharjah,2022,0,0,129,10,5,3,35,0,5
Pakistan,Afghanistan,Sharjah,2022,1,1,131,6,8,5,36,1,3
Afghanistan,India,Dubai(DSC),2022,1,1,111,9,3,3,64,0,2
India,Afghanistan,Dubai(DSC),2022,0,0,212,21,9,2,122,1,3
Pakistan,Sri Lanka,Dubai(DSC),2022,0,0,121,4,3,17,30,0,5
Sri Lanka,Pakistan,Dubai(DSC),2022,1,1,124,9,5,5,55,1,17
Pakistan,Sri Lanka,Dubai(DSC),2022,1,1,147,9,4,14,55,0,10
Sri Lanka,Pakistan,Dubai(DSC),2022,0,0,170,16,5,10,71,1,14
