name,team,position,height_inches,wingspan_inches,wingspan_advantage,g,mp,pts,orb,drb,trb,ast,stl,blk,o_rtg,d_rtg,e_fg_percent,ft_percent,fg_percent,avg_dist_of_fg,2pt_rate,3pt_rate,2pt_percent,3pt_percent,dunk_rate
AJ Johnson,WAS,SG,76.25,80.5,4.25,29,639,16.4,0.6,3.8,4.4,5.7,0.9,0.2,98,123,0.441,0.865,0.385,12,0.577,0.423,0.472,0.267,0.099
Aaron Gordon,DEN,PF,79.5,83.75,4.25,51,1447,24.9,2.7,5.5,8.2,5.5,0.8,0.5,129,120,0.607,0.81,0.531,11.8,0.654,0.346,0.582,0.436,0.141
Aaron Holiday,HOU,PG,71.75,79.5,7.75,62,792,20.9,0.8,4,4.8,5.1,1.2,0.7,121,114,0.571,0.829,0.437,20.8,0.325,0.675,0.517,0.398,0
Aaron Nesmith,IND,SF,77,82,5,45,1123,23.2,1.6,6,7.6,2.3,1.5,0.7,124,116,0.617,0.913,0.507,15.7,0.485,0.515,0.587,0.431,0.042
Aaron Wiggins,OKC,SG,76.5,81.75,5.25,76,1744,25.2,2.2,5.9,8.1,3.7,1.7,0.5,119,110,0.577,0.831,0.488,14.2,0.534,0.466,0.578,0.383,0.027
Adem Bona,PHI,C,80.25,87.75,7.5,58,905,18.4,5,8.3,13.3,1.5,1.4,3.8,123,115,0.703,0.67,0.703,2.3,0.995,0.005,0.707,0,0.401
Ajay Mitchell,OKC,SG,75.25,78.25,3,36,597,18.8,1.4,4,5.5,5.1,2,0.3,117,111,0.557,0.829,0.495,12.2,0.674,0.326,0.548,0.383,0.005
Al Horford,BOS,C,80,84.75,4.75,60,1659,16.3,2.4,8.8,11.2,3.9,1.1,1.5,121,111,0.547,0.895,0.423,19,0.319,0.681,0.551,0.363,0.017
Alec Burks,MIA,SG,77,82,5,49,863,20.6,0.9,6.3,7.2,3.2,1.6,0.4,117,114,0.587,0.776,0.424,20.8,0.236,0.764,0.422,0.425,0
Alex Caruso,OKC,PG,76,78,2,54,1041,17.6,1.8,5.6,7.3,6.3,4,1.4,122,104,0.541,0.824,0.446,15.2,0.459,0.541,0.556,0.353,0.029
Alex Len,LAL,C,83.5,87.5,4,46,380,9.5,4.9,7.3,12.2,4.9,1.2,2.7,114,114,0.524,0.471,0.508,7.5,0.857,0.143,0.556,0.222,0.206
Alex Sarr,WAS,PF,83.75,88.25,4.5,67,1814,22.8,3.3,8.2,11.4,4.2,1.2,2.6,99,117,0.457,0.679,0.394,14.4,0.588,0.412,0.454,0.308,0.077
Alperen Şengün,HOU,C,82,84.5,2.5,76,2395,29.5,5.3,10.7,16,7.6,1.7,1.2,116,108,0.505,0.692,0.496,7.5,0.921,0.079,0.519,0.233,0.067
Amen Thompson,HOU,SF,77.75,84,6.25,69,2225,21.2,4.2,8.1,12.3,5.8,2.1,1.9,123,108,0.575,0.684,0.557,7.8,0.869,0.131,0.599,0.275,0.212
Amir Coffey,LAC,SF,78.75,79.25,0.5,72,1748,19.6,0.9,3.6,4.5,2.2,1.1,0.2,122,115,0.57,0.891,0.471,16.2,0.516,0.484,0.529,0.409,0.063
Andre Drummond,PHI,C,81.75,90.25,8.5,40,751,19.2,7.2,13.2,20.4,2.2,2.6,1.2,108,112,0.506,0.622,0.5,5.4,0.915,0.085,0.533,0.15,0.171
Andre Jackson Jr.,MIL,SF,77.5,81.75,4.25,67,980,11.3,3.2,5.8,9,4.1,1.7,0.7,107,114,0.553,0.5,0.477,12.2,0.614,0.386,0.529,0.395,0.147
Andrew Nembhard,IND,PG,75,77.75,2.75,65,1881,16.7,0.9,4.7,5.5,8.3,2,0.3,111,116,0.506,0.794,0.458,14.9,0.675,0.325,0.538,0.291,0.002
Andrew Wiggins,MIA,SF,79,84,5,60,1842,28.7,2.4,4.8,7.2,4.2,1.6,1.3,113,113,0.526,0.763,0.448,14.5,0.585,0.415,0.501,0.374,0.052
Anfernee Simons,POR,PG,74.25,81.25,7,70,2292,28.6,0.5,3.5,4,7.1,1.3,0.1,115,119,0.521,0.902,0.426,17.9,0.473,0.527,0.496,0.363,0.014
Anthony Black,ORL,PG,77.75,79.5,1.75,78,1887,19.5,1.4,4.7,6.1,6.4,2.3,1.3,103,110,0.473,0.761,0.423,12,0.685,0.315,0.471,0.318,0.06
Anthony Davis,DAL,C,81.25,89.5,8.25,51,1706,36.3,3.9,13.1,17,5.2,1.7,3.2,118,108,0.536,0.775,0.516,10.8,0.864,0.136,0.553,0.282,0.099
Anthony Edwards,MIN,SG,75,81,6,79,2871,37.4,1,6.7,7.7,6.2,1.6,0.9,115,112,0.547,0.837,0.447,16.9,0.497,0.503,0.501,0.395,0.039
Anthony Gill,WAS,PF,79.5,83,3.5,51,397,15.5,2.2,5.8,7.9,1.9,1.1,0.2,119,122,0.545,0.66,0.489,11.8,0.648,0.352,0.579,0.323,0.011
Anton Watson,NYK,PF,79,84,5,9,22,18,2.3,4.5,6.8,4.5,2.3,0,86,115,0.444,NA,0.444,6.4,0.889,0.111,0.5,0,0.111
Ausar Thompson,DET,SF,77.75,84,6.25,59,1328,21.5,4,7,11,4.9,3.5,1.4,115,108,0.547,0.641,0.535,6,0.893,0.107,0.572,0.224,0.272
Austin Reaves,LAL,SG,76.5,78.25,1.75,73,2550,28.5,1.2,5.2,6.3,8.1,1.6,0.4,122,117,0.556,0.877,0.46,17.1,0.488,0.512,0.547,0.377,0.007
Ayo Dosunmu,CHI,SG,75.5,82.25,6.75,46,1394,19,0.9,4.5,5.4,7,1.4,0.6,117,118,0.561,0.785,0.492,12.4,0.579,0.421,0.612,0.328,0.027
Bam Adebayo,MIA,C,80.75,86.75,6,78,2674,26.3,3.5,10.5,14,6.3,1.8,1,115,110,0.521,0.765,0.485,11.4,0.801,0.199,0.517,0.357,0.123
Baylor Scheierman,BOS,SG,78.25,80.25,2,31,384,14.8,2.5,6,8.5,4.3,2.2,0.3,111,111,0.473,0.75,0.355,21.3,0.255,0.745,0.464,0.317,0
Ben Sheppard,IND,SG,77.25,79.75,2.5,63,1228,13,1.7,5.2,6.9,3.3,1.5,0.5,119,116,0.537,0.889,0.418,18.3,0.307,0.693,0.591,0.342,0.007
Ben Simmons,LAC,PF,81,84.5,3.5,51,1120,11.3,2.1,8.6,10.7,12.6,1.7,1,110,113,0.52,0.727,0.52,4.9,1,0,0.52,NA,0.103
Bennedict Mathurin,IND,SF,76.5,81,4.5,72,2149,25.9,1.9,6.6,8.6,3,1.1,0.5,110,116,0.516,0.831,0.458,13.2,0.662,0.338,0.519,0.34,0.049
Bilal Coulibaly,WAS,SF,78,86.5,9,59,1948,17.8,2.2,5,7.2,4.9,1.9,1,103,120,0.472,0.746,0.421,13.3,0.641,0.359,0.5,0.281,0.128
Blake Wesley,SAS,PG,75,81.25,6.25,58,683,15.4,1.2,3.1,4.3,8.1,2.6,0.4,102,118,0.481,0.623,0.435,10.8,0.688,0.312,0.5,0.293,0.081
Bobby Portis,MIL,PF,81.5,86,4.5,49,1244,26.4,3.5,12.5,16,4,1.4,1,111,110,0.52,0.836,0.466,14.1,0.701,0.299,0.508,0.365,0.015
Bobi Klintman,DET,SF,80.75,83,2.25,8,42,17.2,1.1,6.9,8,8,2.3,1.1,145,111,0.7,0.5,0.6,17.4,0.5,0.5,0.8,0.4,0.1
Bogdan Bogdanović,LAC,SG,77.5,83,5.5,54,1348,20.8,0.9,4.8,5.7,5.2,1.5,0.4,110,116,0.534,0.879,0.427,18.7,0.413,0.587,0.517,0.363,0.002
Bol Bol,PHX,C,84.75,91,6.25,36,448,26.9,2.2,9.3,11.5,2.4,1,2.8,117,117,0.612,0.769,0.525,17.3,0.492,0.508,0.711,0.344,0.055
Bones Hyland,MIN,PG,74,81.5,7.5,24,239,30.7,1,4.1,5.2,6.6,3.7,0.8,107,108,0.534,0.885,0.398,22.4,0.305,0.695,0.417,0.39,0.017
Bradley Beal,PHX,SG,75.25,80,4.75,53,1702,26.2,1,4.2,5.1,5.7,1.7,0.8,114,121,0.571,0.803,0.497,15.2,0.62,0.38,0.565,0.386,0.024
Brandin Podziemski,GSW,SG,75.75,77.5,1.75,64,1716,21.2,1.8,7.4,9.2,6.2,2,0.4,116,112,0.537,0.758,0.445,17.2,0.509,0.491,0.516,0.372,0.002
Brandon Boston Jr.,NOP,SG,77.75,82.75,5,42,993,21.9,1.4,5.2,6.5,4.5,2.6,0.4,107,120,0.5,0.788,0.436,14.9,0.633,0.367,0.485,0.35,0.066
Brandon Clarke,MEM,PF,79.25,80.25,1,64,1207,20.6,4.9,7.7,12.6,2.5,2,1.4,131,112,0.622,0.701,0.621,5.7,0.955,0.045,0.647,0.059,0.079
Brandon Ingram,TOR,SF,79,87,8,18,595,32.6,1.4,6.8,8.1,7.6,1.3,0.9,104,121,0.53,0.855,0.465,16,0.655,0.345,0.514,0.374,0.027
Brandon Miller,CHA,SF,81,83.5,3,27,924,30.2,1.3,5.6,7,5.2,1.5,1.1,104,117,0.509,0.861,0.403,19,0.403,0.597,0.475,0.355,0.037
Brice Sensabaugh,UTA,SF,78,83,5,71,1432,25.9,1.4,5.6,7,3.7,1.5,0.3,111,122,0.59,0.89,0.459,18.7,0.379,0.621,0.52,0.422,0.008
Bronny James,LAL,PG,73.5,79.25,5.75,27,181,16.8,1.1,3.8,4.9,6,2.4,0.8,89,115,0.381,0.786,0.313,16.6,0.522,0.478,0.343,0.281,0.015
Brook Lopez,MIL,C,83.25,89.5,6.25,80,2546,19.8,2.1,5.5,7.6,2.7,0.9,2.8,122,114,0.599,0.826,0.509,16,0.518,0.482,0.636,0.373,0.071
Bruce Brown,NOP,SG,75.25,81,5.75,41,922,17.8,2.1,6.5,8.6,4.4,1.8,0.5,107,118,0.464,0.815,0.421,11.1,0.738,0.262,0.452,0.333,0.023
Bryce McGowens,POR,SG,77.25,80.75,3.5,13,32,19.7,3,1.5,4.6,3,1.5,0,79,120,0.286,0.833,0.286,11.3,0.714,0.286,0.4,0,0.143
Bub Carrington,WAS,SG,75.75,80,4.25,82,2458,15.6,0.6,6,6.6,7,1,0.4,104,121,0.493,0.812,0.401,19.1,0.456,0.544,0.475,0.339,0.027
Buddy Hield,GSW,SG,75.75,81.25,5.5,82,1863,23.8,1.3,5.6,6.9,3.5,1.8,0.6,108,113,0.546,0.828,0.417,20,0.302,0.698,0.527,0.37,0.011
CJ McCollum,NOP,SG,74.25,78.25,4,56,1832,31.3,1.1,4.5,5.6,6,1.2,0.6,110,123,0.53,0.717,0.444,16.1,0.541,0.459,0.505,0.373,0.003
Cade Cunningham,DET,SG,78,84.25,6.25,70,2452,35.9,1.1,7.2,8.3,12.5,1.4,1,112,113,0.521,0.846,0.469,12.6,0.713,0.287,0.515,0.356,0.033
Caleb Houstan,ORL,SG,79.5,83,3.5,58,788,15.1,1.2,3.5,4.8,2.2,1.4,0.4,123,114,0.589,0.882,0.421,22.4,0.158,0.842,0.533,0.4,0.005
Caleb Martin,DAL,SF,76,82.25,6.25,45,1218,14.3,2.1,5,7.1,3.8,1.9,0.9,105,119,0.485,0.622,0.424,13.2,0.661,0.339,0.458,0.359,0.03
Cam Christie,LAC,SG,76.5,80,3.5,13,59,15,2.5,7.5,10,5,4.2,0.8,86,105,0.333,0.5,0.292,15.9,0.458,0.542,0.455,0.154,0.083
Cam Reddish,LAL,SF,78.5,84.5,6,33,589,8.8,1.4,4.1,5.5,1.8,2.8,0.8,106,114,0.473,0.615,0.404,14.7,0.5,0.5,0.532,0.277,0.096
Cam Spencer,MEM,SG,75,77,2,25,252,19.6,2.2,3.3,5.5,6.3,1.7,0.2,134,117,0.53,1,0.415,19,0.354,0.646,0.517,0.358,0
Cam Thomas,BKN,SG,75,78.5,3.5,25,781,38.2,1,4.3,5.3,6,1,0.1,111,120,0.513,0.881,0.438,16.3,0.57,0.43,0.506,0.349,0
Cam Whitmore,HOU,SF,77.75,80.5,2.75,51,827,28.1,2.1,6.8,8.9,2.9,1.8,0.8,112,111,0.525,0.75,0.444,14.9,0.546,0.454,0.518,0.355,0.112
Cameron Johnson,BKN,PF,79,82,3,57,1800,29.6,1.5,5.3,6.8,5.4,1.5,0.7,122,117,0.582,0.893,0.475,17.2,0.454,0.546,0.578,0.39,0.035
Cameron Payne,NYK,PG,72.75,79.25,6.5,72,1090,22.8,0.6,4.1,4.7,9.2,1.8,0.7,115,116,0.506,0.907,0.401,17.8,0.426,0.574,0.453,0.363,0
Caris LeVert,ATL,SF,77.75,82,4.25,64,1596,23.1,1.2,4.8,6,6.4,1.7,1,119,115,0.556,0.71,0.467,14.3,0.526,0.474,0.552,0.373,0.053
Cason Wallace,OKC,PG,74.5,80.5,6,68,1876,14.5,1.8,4,5.9,4.4,3.1,0.9,118,108,0.55,0.811,0.474,13.2,0.575,0.425,0.562,0.356,0.065
Charles Bassey,SAS,C,81,87.5,7,36,376,20.2,7.2,12.3,19.5,2.2,1.8,3.9,118,110,0.581,0.636,0.581,3.5,1,0,0.581,NA,0.325
Chet Holmgren,OKC,C,84,90,6,32,877,26.2,2.6,11.4,14.1,3.4,1.3,3.9,116,103,0.554,0.754,0.49,12.4,0.66,0.34,0.547,0.379,0.117
Chris Boucher,TOR,C,80,88,8,50,862,28,3.9,8.6,12.5,1.8,1.3,1.4,123,114,0.586,0.782,0.492,14.9,0.478,0.522,0.633,0.363,0.111
Chris Paul,SAS,PG,73,76,3,82,2292,15.2,0.7,5.5,6.2,12.8,2.2,0.5,125,118,0.547,0.924,0.427,21.2,0.364,0.636,0.514,0.377,0
Christian Braun,DEN,SF,77.5,78.5,1,79,2675,21.9,1.8,5.6,7.4,3.7,1.5,0.7,133,118,0.634,0.827,0.58,9.9,0.727,0.273,0.648,0.397,0.124
Christian Koloko,LAL,C,82.75,89.25,6.5,37,342,12.9,5,8.2,13.2,2.3,1.2,2.3,128,113,0.606,0.714,0.606,4.6,0.939,0.061,0.645,0,0.455
Clint Capela,ATL,C,82,88.5,6.5,55,1176,19.4,6.9,11.7,18.7,2.5,1.4,2.1,120,113,0.559,0.536,0.559,3,0.997,0.003,0.56,0,0.262
Coby White,CHI,PG,75.5,77,1.5,74,2450,28.8,0.5,4.7,5.2,6.3,1.3,0.3,114,118,0.55,0.902,0.453,16.6,0.479,0.521,0.544,0.37,0.01
Cody Martin,PHX,SF,76.75,82.25,5.5,53,1173,15,2.2,7.2,9.4,4.4,2.4,1.3,106,115,0.485,0.705,0.418,15.3,0.535,0.465,0.534,0.285,0.052
Cody Williams,UTA,SF,78.5,85,6.5,50,1060,10.4,1.2,3.9,5.1,2.7,1,0.7,89,123,0.391,0.725,0.323,16.3,0.475,0.525,0.393,0.259,0.035
Colby Jones,WAS,SG,76.5,80,3.5,39,515,14.6,2,6.1,8.1,4.1,2.4,1.2,109,116,0.519,0.657,0.457,14.6,0.62,0.38,0.538,0.327,0.039
Cole Anthony,ORL,PG,74,76.5,2.5,67,1234,25.5,1.9,6.4,8.3,7.7,1.8,1.3,106,110,0.494,0.823,0.424,15.6,0.599,0.401,0.471,0.353,0.007
Cole Swider,TOR,PF,81,83,2,10,169,16.8,1.4,6.3,7.7,0.9,1.1,0.6,93,116,0.468,0,0.349,23.2,0.254,0.746,0.438,0.319,0
Collin Sexton,UTA,PG,72.5,79.25,6.75,63,1758,31.6,1.6,3,4.7,7.2,1.3,0.2,115,124,0.543,0.865,0.48,13.1,0.687,0.313,0.513,0.406,0.006
Corey Kispert,WAS,SF,78,79,1,61,1602,20.9,1.1,4.3,5.4,3.1,0.8,0.4,112,123,0.558,0.852,0.451,17.5,0.416,0.584,0.574,0.364,0.012
Cory Joseph,ORL,PG,74,77.5,3.5,50,612,14.4,1.4,4.7,6,5.9,2.1,0.3,118,111,0.529,0.778,0.403,20.4,0.305,0.695,0.489,0.364,0
Craig Porter Jr.,CLE,PG,73,76,3,51,513,17.6,1.8,4.5,6.3,6.7,1.6,1.4,116,113,0.589,0.719,0.514,12.3,0.657,0.343,0.554,0.438,0.05
D'Angelo Russell,BKN,PG,75.25,81.75,6.5,58,1480,24.5,0.7,4.7,5.4,9.9,1.9,0.8,109,116,0.479,0.834,0.39,18.4,0.436,0.564,0.489,0.314,0.002
Dalano Banton,POR,SG,81,82.25,1.25,67,1120,24.3,1.3,4.6,5.9,6.9,1.9,1.5,103,115,0.462,0.728,0.391,14.4,0.562,0.438,0.442,0.324,0.024
Dalen Terry,CHI,SG,78,84.75,6.75,73,987,15.4,1.8,4.1,5.9,4.6,2.1,0.7,108,116,0.517,0.71,0.448,11.7,0.612,0.388,0.506,0.356,0.049
Dalton Knecht,LAL,SF,77.25,81,3.75,78,1494,23.2,1.2,5.9,7.1,2.2,0.8,0.3,117,118,0.576,0.762,0.461,18.1,0.39,0.61,0.594,0.376,0.095
Damian Lillard,MIL,PG,73.75,79.75,6,58,2093,33.4,0.7,5.6,6.3,9.5,1.6,0.2,122,115,0.547,0.921,0.448,18.5,0.472,0.528,0.528,0.376,0.005
Daniel Gafford,DAL,C,81.25,86.5,5.25,57,1226,27.7,6.1,9.2,15.3,3.2,0.9,4,137,113,0.702,0.689,0.702,2.6,1,0,0.702,NA,0.325
Dante Exum,DAL,SG,77,81,4,20,372,22.6,0.5,3.8,4.3,7.3,1.6,0.4,116,119,0.563,0.742,0.478,13.3,0.604,0.396,0.506,0.434,0.03
Dario Šarić,DEN,PF,81.5,82,0.5,16,210,12.8,3.2,8.2,11.4,5.3,1.6,0.2,97,116,0.422,0.7,0.362,14.1,0.552,0.448,0.438,0.269,0
Dariq Whitehead,BKN,SG,77.75,82.25,4.5,20,246,23.1,0.8,5.1,5.9,2.4,1.2,0.2,102,118,0.578,0.6,0.406,21.3,0.229,0.771,0.273,0.446,0.01
Darius Garland,CLE,PG,73,77,4,75,2301,32.3,1,3.5,4.5,10.6,1.9,0.2,121,115,0.562,0.878,0.472,16.3,0.549,0.451,0.53,0.401,0.002
David Roddy,HOU,PF,76.5,83.5,7,33,410,17.6,1.5,8.2,9.6,4,1.6,1,109,115,0.532,0.769,0.456,16.3,0.512,0.488,0.594,0.311,0.016
Davion Mitchell,MIA,PG,72,76.25,4.25,74,2027,14.2,0.8,3.2,4,8.8,1.7,0.4,113,117,0.557,0.69,0.468,14.2,0.557,0.443,0.525,0.398,0
Day'Ron Sharpe,BKN,C,81,84,3,50,907,21.8,8.2,9.9,18.1,5,2.3,2.3,117,111,0.538,0.757,0.521,6.6,0.858,0.142,0.566,0.244,0.114
De'Aaron Fox,SAS,PG,74,78.5,4.5,62,2241,31.7,1.2,5.3,6.5,8.5,2,0.5,113,117,0.514,0.827,0.463,14.4,0.672,0.328,0.538,0.31,0.019
De'Andre Hunter,CLE,SF,79,86,7,64,1740,29.6,1.2,5.8,7,2.5,1.4,0.4,120,117,0.573,0.846,0.47,16.5,0.491,0.509,0.537,0.405,0.039
De'Anthony Melton,BKN,SG,74.25,80.5,6.25,6,121,24.9,2.4,5.6,8,6.8,2.8,0.8,106,110,0.528,0.625,0.407,18.2,0.352,0.648,0.474,0.371,0.037
DeAndre Jordan,DEN,C,81.75,90,8.25,56,691,14.5,5.8,13.9,19.8,3.7,1.1,1.9,121,112,0.65,0.422,0.65,2.3,1,0,0.65,NA,0.514
DeMar DeRozan,SAC,SF,77.5,81,3.5,77,2768,30.2,0.9,4.4,5.3,6,1.1,0.6,120,119,0.509,0.857,0.477,15.3,0.804,0.196,0.513,0.328,0.006
Dean Wade,CLE,PF,81,82,1,59,1252,12.3,2,7.6,9.6,2.9,1.6,0.8,123,112,0.561,0.533,0.413,21,0.181,0.819,0.653,0.36,0.033
Deandre Ayton,POR,C,83,90,7,40,1206,23.2,5,11.4,16.4,2.6,1.2,1.6,115,112,0.573,0.667,0.566,8.4,0.932,0.068,0.594,0.188,0.165
Dejounte Murray,NOP,PG,76,82,6,31,1012,25.9,0.8,8.8,9.6,10.9,3,0.6,101,116,0.445,0.823,0.393,14.8,0.648,0.352,0.444,0.299,0.012
Delon Wright,NYK,PG,76.25,79.5,3.25,40,635,9.6,2.1,3,5.1,5.9,2.7,0.9,105,114,0.42,0.6,0.344,15.6,0.443,0.557,0.431,0.274,0
Deni Avdija,POR,SF,80.75,80.5,-0.25,72,2161,27.4,2.5,9.3,11.7,6.3,1.6,0.8,116,113,0.55,0.78,0.476,12.9,0.595,0.405,0.552,0.365,0.027
Dennis Schröder,DET,PG,73,79.75,6.75,75,2105,22.7,0.6,4,4.6,9.4,1.5,0.3,111,117,0.483,0.838,0.406,16.7,0.551,0.449,0.458,0.342,0
Dereck Lively II,DAL,C,85,91,6,36,833,18.2,6,9.6,15.7,4.9,1.2,3.3,138,113,0.702,0.63,0.702,3.1,1,0,0.702,NA,0.393
Derrick Jones Jr.,LAC,PF,78,84,6,77,1873,20.5,2.4,4.5,6.9,1.6,2.1,0.9,118,112,0.593,0.703,0.526,11.4,0.628,0.372,0.627,0.356,0.209
Derrick White,BOS,SG,75.25,79.5,4.25,76,2574,24.3,1.3,5.3,6.6,7,1.4,1.6,123,112,0.58,0.839,0.442,20.7,0.279,0.721,0.593,0.384,0.009
Desmond Bane,MEM,SG,77,76.25,-0.75,69,2205,28,1.3,7.5,8.8,7.8,1.7,0.6,119,113,0.565,0.894,0.484,14.7,0.589,0.411,0.548,0.392,0.005
Devin Booker,PHX,SG,76.5,80.25,3.75,75,2795,34,1.3,4.1,5.4,9.4,1.2,0.3,119,123,0.525,0.894,0.461,16.2,0.612,0.388,0.542,0.332,0.013
Devin Carter,SAC,SG,74.25,80.75,6.5,36,396,17,2.3,7,9.4,5.1,2.6,0.5,104,114,0.441,0.591,0.37,15.6,0.52,0.48,0.439,0.295,0.063
Devin Vassell,SAS,SG,77,82,5,64,1983,25.4,0.8,5.4,6.2,4.5,2,0.8,109,118,0.532,0.792,0.443,17.2,0.517,0.483,0.513,0.368,0.046
Dillon Brooks,HOU,SF,77,78,1,75,2388,21.5,1.5,4.1,5.6,2.6,1.2,0.3,117,114,0.533,0.818,0.429,17.3,0.476,0.524,0.465,0.397,0.019
Dillon Jones,OKC,SF,76.5,83,6.5,54,551,11.8,2.6,7.9,10.5,5.1,1.4,0.3,103,109,0.444,0.607,0.383,14.4,0.526,0.474,0.5,0.254,0
Domantas Sabonis,SAC,C,82,83,1,70,2429,26.9,5.4,14.2,19.6,8.5,1,0.5,128,114,0.627,0.754,0.59,8.1,0.825,0.175,0.627,0.417,0.097
Dominick Barlow,ATL,PF,80.75,87,6.25,35,375,18.5,4.4,6.2,10.6,2.4,1.1,2,129,116,0.562,0.636,0.531,9.3,0.761,0.239,0.616,0.259,0.159
Donovan Clingan,POR,C,85.75,90.75,5,67,1324,16,8,11.4,19.3,2.8,1.2,4,120,109,0.56,0.596,0.539,5.8,0.853,0.147,0.582,0.286,0.207
Donovan Mitchell,CLE,SG,73.25,82,8.75,71,2232,36.7,1.2,5.7,6.9,7.6,2,0.4,118,113,0.531,0.823,0.443,17,0.52,0.48,0.512,0.368,0.014
Donte DiVincenzo,MIN,SG,75.5,78,2.5,62,1606,22.2,1,6,7,6.9,2.2,0.5,115,111,0.568,0.778,0.422,20.5,0.261,0.739,0.49,0.397,0.013
Dorian Finney-Smith,LAL,SF,78.5,83.75,5.25,63,1818,14.9,2.2,4.5,6.7,2.4,1.6,0.6,118,117,0.597,0.667,0.448,18.8,0.278,0.722,0.545,0.411,0.037
Doug McDermott,SAC,SF,78.25,81.25,3,42,342,21,0.4,2.7,3.1,1,0.6,0.3,119,122,0.615,0.6,0.427,23.3,0.137,0.863,0.375,0.436,0.009
Draymond Green,GSW,PF,77.75,85.25,7.5,68,1983,15,1.8,8.3,10.2,9.4,2.4,1.7,107,109,0.503,0.687,0.424,14.9,0.517,0.483,0.517,0.325,0.029
Drew Eubanks,LAC,C,81,83,2,61,746,18.1,3.9,10.7,14.6,3.5,0.8,2.5,120,115,0.601,0.662,0.593,4.7,0.969,0.031,0.596,0.5,0.289
Duop Reath,POR,C,81,85,4,46,469,20.1,4.6,5,9.5,2.7,1.2,1.5,120,116,0.524,0.909,0.422,17.5,0.361,0.639,0.6,0.321,0.03
Dyson Daniels,ATL,SG,78,82.5,4.5,76,2571,19.5,2.3,5.9,8.2,6.1,4.2,1,110,111,0.536,0.593,0.493,10.4,0.745,0.255,0.545,0.34,0.054
E.J. Liddell,CHI,PF,77.5,83.75,6.25,12,53,18.5,2.6,5.3,7.9,2.6,0.9,0.9,126,118,0.633,1,0.533,20.3,0.333,0.667,1,0.3,0
Emoni Bates,CLE,SF,80.25,81,0.75,10,75,23.7,0,4.5,4.5,5.1,0.6,0.6,105,117,0.487,NA,0.342,23.4,0.211,0.789,0.25,0.367,0
Eric Gordon,PHI,SG,74,81,7,39,768,17.1,0.5,2.4,3,4.2,1.7,0.8,116,122,0.564,0.75,0.426,19.9,0.328,0.672,0.463,0.409,0.005
Evan Mobley,CLE,PF,83,88,5,71,2167,29.2,3.6,11,14.6,5,1.4,2.5,124,108,0.604,0.725,0.557,9.4,0.746,0.254,0.621,0.37,0.22
Franz Wagner,ORL,SF,81,83.5,2.5,60,2023,35.8,1.4,7.1,8.4,7,1.9,0.5,113,110,0.507,0.871,0.463,12.5,0.697,0.303,0.535,0.295,0.036
Fred VanVleet,HOU,PG,72,74,2,60,2111,19.5,0.7,4.4,5.1,7.7,2.2,0.6,117,112,0.483,0.81,0.378,20.2,0.393,0.607,0.43,0.345,0
GG Jackson II,MEM,PF,80.25,83.5,3.25,29,459,21.2,2.7,6.6,9.3,2.9,1.2,0.5,99,115,0.452,0.725,0.372,14.6,0.523,0.477,0.404,0.337,0.085
Gary Harris,ORL,SG,74.5,78.75,4.25,48,711,10.2,1.4,3.1,4.5,2.1,1.8,0.8,107,112,0.519,0.583,0.383,20.7,0.241,0.759,0.469,0.356,0.008
Gary Payton II,GSW,SG,74,80,6,62,927,21,2.8,6.9,9.7,4.4,2.7,0.9,124,110,0.626,0.711,0.574,10.1,0.681,0.319,0.69,0.326,0.128
Gary Trent Jr.,MIL,SG,76.25,80.75,4.5,74,1893,21,0.5,3.8,4.3,2.2,1.8,0.1,115,116,0.568,0.848,0.431,20.4,0.341,0.659,0.46,0.416,0.003
Georges Niang,ATL,PF,78.75,82,3.25,79,1697,22,1.3,6.3,7.6,3.1,0.8,0.4,115,117,0.595,0.793,0.461,18.1,0.34,0.66,0.569,0.406,0
Giannis Antetokounmpo,MIL,PF,83,87,4,67,2289,43,3.1,13.8,16.9,9.1,1.2,1.6,122,109,0.607,0.617,0.601,7,0.952,0.048,0.62,0.222,0.205
Goga Bitadze,ORL,C,82.5,86,3.5,70,1430,17.5,5.8,10.3,16.2,4.8,1.7,3.4,127,105,0.615,0.639,0.611,4.9,0.917,0.083,0.656,0.107,0.289
Gradey Dick,TOR,SG,78.25,80.75,2.5,54,1587,23.6,1.3,4.5,5.9,3,1.5,0.3,107,117,0.498,0.858,0.41,16.3,0.496,0.504,0.47,0.35,0.034
Grant Williams,CHA,PF,77.75,81.75,4,16,479,17,1.8,6.6,8.4,3.8,1.8,1.3,112,116,0.549,0.838,0.439,17.9,0.398,0.602,0.551,0.365,0.024
Grayson Allen,PHX,SG,75,79.25,4.25,64,1544,21.8,1.1,5.1,6.2,4.4,1.7,0.6,119,120,0.6,0.816,0.448,20,0.284,0.716,0.504,0.426,0.018
Guerschon Yabusele,PHI,PF,79.5,85,5.5,70,1895,20,3.5,6.8,10.3,3.9,1.5,0.6,122,119,0.593,0.725,0.501,14.4,0.513,0.487,0.616,0.38,0.089
Harrison Barnes,SAS,PF,79,83.25,4.25,82,2230,21.9,2.1,4.6,6.7,2.9,0.8,0.3,132,122,0.622,0.809,0.508,14.8,0.473,0.527,0.591,0.433,0.042
