name,team,position,height_inches,wingspan_inches,wingspan_advantage,g,mp,pts,orb,drb,trb,ast,stl,blk,o_rtg,d_rtg,e_fg_percent,ft_percent,fg_percent,avg_dist_of_fg,2pt_rate,3pt_rate,2pt_percent,3pt_percent,dunk_rate
Russell Westbrook,DEN,PG,74.25,79.75,5.5,75,2092,22.8,2.3,6.2,8.5,10.5,2.4,0.9,105,115,0.505,0.661,0.449,12.3,0.65,0.35,0.517,0.323,0.032
Ryan Dunn,PHX,PF,78.25,85.5,7.25,74,1410,17.9,3.2,6.1,9.4,2,1.5,1.4,107,119,0.516,0.487,0.43,16,0.447,0.553,0.577,0.311,0.075
Ryan Rollins,MIL,PG,74,81.75,7.75,56,820,20.6,1.2,5.1,6.4,6.1,2.5,1,113,112,0.577,0.8,0.487,14.6,0.557,0.443,0.55,0.408,0.022
Sam Hauser,BOS,SF,78.75,81.25,2.5,71,1541,19.7,1.4,5.9,7.3,2.1,1.3,0.4,128,113,0.627,1,0.451,22.9,0.158,0.842,0.64,0.416,0.006
Sam Merrill,CLE,SG,75.5,77,1.5,71,1401,17.5,1.3,4.1,5.4,3.7,1.8,0.5,122,114,0.567,0.966,0.406,22.7,0.132,0.868,0.625,0.372,0
Sandro Mamukelashvili,SAS,PF,81,85.25,4.25,61,681,27.3,4.4,8.9,13.3,3.4,1.6,1.2,126,116,0.609,0.741,0.502,16.1,0.427,0.573,0.675,0.373,0.103
Santi Aldama,MEM,PF,82.75,83,0.25,65,1660,22.7,2.6,9,11.6,5.3,1.5,0.8,123,113,0.576,0.691,0.483,15.6,0.497,0.503,0.599,0.368,0.073
Scoot Henderson,POR,PG,74,81,7,66,1759,23.1,1.4,4,5.5,9.3,1.9,0.4,107,117,0.496,0.767,0.419,14.9,0.566,0.434,0.469,0.354,0.02
Scottie Barnes,TOR,SF,79,86.75,7.75,65,2134,28.2,2.5,8.9,11.3,8.5,2.1,1.4,107,112,0.482,0.755,0.446,12.6,0.737,0.263,0.508,0.271,0.066
Seth Curry,CHA,SG,73,76,3,68,1062,20.6,1.1,4.1,5.2,2.8,1.3,0.3,120,120,0.599,0.846,0.478,18.8,0.469,0.531,0.503,0.456,0
Shaedon Sharpe,POR,SG,76.25,83.5,7.25,72,2252,28.8,1.5,5.5,7,4.3,1.3,0.3,110,117,0.519,0.785,0.452,15.7,0.572,0.428,0.557,0.311,0.07
Shai Gilgeous-Alexander,OKC,PG,76.5,83.5,7,76,2598,45.9,1.2,5.8,7,9,2.4,1.4,129,107,0.569,0.898,0.519,12.9,0.737,0.263,0.571,0.375,0.028
Shake Milton,LAL,SG,76.5,84.75,8.25,57,837,18.6,1.8,4.3,6.2,6,1.5,0.2,115,118,0.528,0.797,0.453,14.3,0.583,0.417,0.52,0.358,0
Sidy Cissoko,POR,SF,77.5,81.75,4.25,22,114,13.6,3.4,5.5,8.9,6.4,0.9,0.4,91,119,0.483,0.333,0.433,13.7,0.567,0.433,0.588,0.231,0.167
Spencer Dinwiddie,DAL,PG,76.5,80.25,3.75,79,2136,19.7,0.4,4.3,4.7,7.9,1.6,0.4,116,119,0.496,0.802,0.416,15.9,0.522,0.478,0.492,0.334,0.012
Stephen Curry,GSW,PG,74,75.5,1.5,70,2252,37.1,0.9,5.8,6.7,9.1,1.7,0.6,120,113,0.572,0.933,0.448,20,0.377,0.623,0.534,0.397,0.001
Stephon Castle,SAS,SG,77.5,81,3.5,81,2162,26.6,2,4.6,6.6,7.4,1.7,0.5,106,119,0.476,0.724,0.428,12.6,0.663,0.337,0.501,0.285,0.078
Steven Adams,HOU,C,82.75,88.5,5.75,58,794,13.8,10.2,9.9,20,4,1.3,1.7,118,109,0.545,0.462,0.545,4.1,0.988,0.012,0.552,0,0.138
Svi Mykhailiuk,UTA,SG,78.5,77,-1.5,38,760,21.1,1.4,4.3,5.7,4.8,1.2,0.4,103,123,0.507,0.8,0.391,19.7,0.328,0.672,0.485,0.345,0.013
T.J. McConnell,IND,PG,72.5,74,1.5,79,1415,24.5,1.5,5.1,6.6,11.9,2.8,0.7,113,113,0.531,0.74,0.519,9.1,0.921,0.079,0.537,0.306,0
Talen Horton-Tucker,CHI,SG,74.5,85.25,10.75,58,724,24.4,1.2,5.2,6.4,5.4,1.4,0.7,112,117,0.527,0.735,0.457,12.6,0.581,0.419,0.544,0.336,0.045
Tari Eason,HOU,PF,78.75,86,7.25,57,1420,23.5,4.4,8,12.4,2.8,3.3,1.7,119,106,0.543,0.76,0.487,11.3,0.671,0.329,0.557,0.342,0.1
Taurean Prince,MIL,SF,78.5,83.5,5,80,2166,14.6,0.8,5.6,6.4,3.5,1.7,0.3,114,115,0.6,0.813,0.457,18,0.348,0.652,0.492,0.439,0.018
Taylor Hendricks,UTA,PF,80.25,84.5,4.25,3,75,9,3.2,6.4,9.6,1.3,3.2,2.6,88,114,0.306,0.75,0.222,18.8,0.333,0.667,0.167,0.25,0.056
Terance Mann,ATL,SF,76.75,79.75,3,67,1414,17.6,2.3,4.4,6.8,4.1,1.6,0.5,120,116,0.569,0.691,0.496,13.5,0.605,0.395,0.58,0.368,0.08
Terrence Shannon Jr.,MIN,SG,77.75,80.75,3,32,339,20.1,1.5,5.4,6.8,4.7,1,0.7,114,114,0.531,0.81,0.482,9.8,0.728,0.272,0.53,0.355,0.07
Terry Rozier,MIA,PG,72.5,80.25,7.75,64,1658,20.4,1.3,5.8,7.2,5,1.1,0.4,103,116,0.462,0.852,0.391,15.7,0.515,0.485,0.48,0.295,0.002
Terry Taylor,SAC,PF,76.75,83.5,6.75,3,6,0,8.2,0,8.2,16.3,0,0,122,125,0,NA,0,5.9,1,0,0,NA,0
Thomas Bryant,IND,C,81.5,90,8.5,66,963,21.5,4.2,8.4,12.6,2.7,1.4,2.1,125,113,0.583,0.859,0.508,14.9,0.539,0.461,0.665,0.324,0.109
Tidjane Salaün,CHA,PF,81,84.75,3.75,60,1244,14,2.8,8.3,11.1,2.9,1.1,0.6,97,117,0.414,0.713,0.33,17.6,0.406,0.594,0.4,0.283,0.038
Tim Hardaway Jr.,DET,SG,76.5,79,2.5,77,2153,18.9,0.4,3.7,4.1,2.7,0.8,0.2,117,118,0.529,0.855,0.406,20.2,0.328,0.672,0.484,0.368,0.016
Tobias Harris,DET,PF,78.5,83,4.5,73,2305,20.9,1.4,7.7,9,3.4,1.5,1.2,116,113,0.534,0.861,0.477,13.1,0.672,0.328,0.542,0.345,0.075
Toumani Camara,POR,PF,79,84.5,5.5,78,2548,16.8,3.3,5.3,8.6,3.3,2.2,1,117,115,0.552,0.722,0.458,14,0.497,0.503,0.542,0.375,0.084
Trae Young,ATL,PG,72.5,75,2.5,76,2739,31.4,0.6,3.4,4,15,1.6,0.2,114,119,0.491,0.875,0.411,17.3,0.533,0.467,0.474,0.34,0.001
Trayce Jackson-Davis,GSW,C,80.25,85,4.75,62,967,20.5,6.1,9.5,15.6,5.2,1.2,1.9,125,111,0.576,0.578,0.576,3.4,0.99,0.01,0.582,0,0.387
Tre Jones,CHI,PG,73,76,3,46,905,17.3,1.6,4.5,6.1,10.1,1.9,0.5,134,118,0.578,0.821,0.538,8.9,0.798,0.202,0.574,0.396,0.004
Tre Mann,CHA,PG,75.25,76,0.75,13,319,28.2,1.8,4,5.9,6,1.1,0.6,105,120,0.509,0.905,0.435,13.6,0.627,0.373,0.455,0.4,0.006
Trendon Watford,BKN,PF,79.5,86.25,6.75,44,913,24.5,2,6.7,8.7,6.3,1.5,0.7,105,116,0.51,0.762,0.469,10.2,0.749,0.251,0.515,0.33,0.02
Trey Lyles,SAC,PF,81,85.5,4.5,69,1349,16.3,2.9,8.6,11.5,3,1.5,0.8,117,116,0.528,0.7,0.42,17.6,0.364,0.636,0.559,0.34,0.078
