FavScore,Favorite,Pts,Underdog,DogScore,FavCover,FavDiff,FavWin,HomeDog,HomeScore,AwayScore,HomePts,HomeCover,HomeDiff,HomeWin,Week,Year
13,Detroit,3.5,Chicago,28,0,-15,0,1,28,13,-3.5,1,15,1,14,2023
14,Indianapolis,0.5,Cincinnati,34,0,-20,0,1,34,14,-0.5,1,20,1,14,2023
31,Cleveland,2.5,Jacksonville,27,1,4,1,0,31,27,2.5,1,4,1,14,2023
28,New Orleans,5.5,Carolina,6,1,22,1,0,28,6,5.5,1,22,1,14,2023
6,Houston,6.5,NY Jets,30,0,-24,0,1,30,6,-6.5,1,24,1,14,2023
37,Baltimore,7.5,LA Rams,31,0,6,1,0,37,31,7.5,0,6,1,14,2023
3,Minnesota,2.5,Las Vegas,0,1,3,1,1,0,3,-2.5,0,-3,0,14,2023
28,San Francisco,10.5,Seattle,16,1,12,1,0,28,16,10.5,1,12,1,14,2023
17,Kansas City,2.5,Buffalo,20,0,-3,0,0,17,20,2.5,0,-3,0,14,2023
7,LA Chargers,2.5,Denver,24,0,-17,0,0,7,24,2.5,0,-17,0,14,2023
33,Dallas,3.5,Philadelphia,13,1,20,1,0,33,13,3.5,1,20,1,14,2023
27,Miami,13.5,Tennessee,28,0,-1,0,0,27,28,13.5,0,-1,0,14,2023
22,Green Bay,6.5,NY Giants,24,0,-2,0,1,24,22,-6.5,1,2,1,14,2023
63,Las Vegas,2.5,LA Chargers,21,1,42,1,0,63,21,2.5,1,42,1,15,2023
27,Cincinnati,3.5,Minnesota,24,0,3,1,0,27,24,3.5,0,3,1,15,2023
30,Indianapolis,2.5,Pittsburgh,13,1,17,1,0,30,13,2.5,1,17,1,15,2023
42,Detroit,4.5,Denver,17,1,25,1,0,42,17,4.5,1,25,1,15,2023
20,Cleveland,3.5,Chicago,17,0,3,1,0,20,17,3.5,0,3,1,15,2023
7,Atlanta,3.5,Carolina,9,0,-2,0,1,9,7,-3.5,1,2,1,15,2023
20,Green Bay,3.5,Tampa Bay,34,0,-14,0,0,20,34,3.5,0,-14,0,15,2023
16,Tennessee,2.5,Houston,19,0,-3,0,0,16,19,2.5,0,-3,0,15,2023
