"","First Name","Last Name","Overall","Overall Reliability","Singles","Singles Reliability","Doubles","Doubles Reliability","Mixed","Mixed Reliability","Sex"
"90","Julia","Kimack",3.995,0.3,4.363,0.15,4.734,0.34,3.995,0.42,"F"
"91","Julia","Tyseling",4.55,0.18,4.5,0,4.5,0,4.55,0.55,"F"
"92","Kaitlyn","Jarold",4.151,0.28,4.251,0.28,4.263,0.28,3.94,0.27,"F"
"93","Kalanie","Newcomb",4.086,0.26,4.15,0.26,3.905,0.26,4.202,0.25,"F"
"94","Kaley","Brancaccio",4.595,0.46,4.415,0.33,4.757,0.52,4.612,0.52,"F"
"95","Kamryn","Bliss",5.507,0.65,5.557,0.68,5.511,0.59,5.453,0.68,"F"
"96","Kate","Ericksen",4.423,0.27,4.675,0.26,4.067,0.27,4.525,0.28,"F"
"97","katelyn","hsu",4.683,0.28,4.5,0,4.613,0.5,4.754,0.34,"F"
"98","Katie","Yates",4.504,0.28,4.334,0.29,4.523,0.28,4.656,0.28,"F"
"99","Kaylee","Elison",4.677,0.39,4.5,0,4.677,0.64,4.41,0.52,"F"
"100","Keanna","Williams",4.296,0.37,4.185,0.15,4.228,0.49,4.363,0.47,"F"
"101","Kelly","Murphy",4.78,0.49,4.998,0.49,4.613,0.5,4.73,0.48,"F"
"102","Kendall","Cender",4.273,0.26,4.541,0.26,4.301,0.26,3.976,0.26,"F"
"103","Kendall","Claymon",4.049,0.27,3.948,0.27,4.057,0.27,4.143,0.27,"F"
"104","Kira","Klann",4.59,0.2,4.5,0,4.722,0.29,4.458,0.31,"F"
"105","Kira","Tobita",4.323,0.36,4.284,0.27,4.483,0.33,4.162,0.47,"F"
"106","Lanie","Ruf",4.532,0.29,4.472,0.28,4.476,0.29,4.649,0.29,"F"
"107","Lauren","Schmidt",4.735,0.18,4.5,0,4.5,0,4.735,0.55,"F"
"108","Leah","Black",4.934,0.37,4.706,0.28,4.954,0.29,5.14,0.53,"F"
"109","Leanna","Ching",4.418,0.39,4.168,0.34,4.491,0.38,4.418,0.46,"F"
"110","Leila","Antony",5.381,0.65,5.424,0.64,5.311,0.65,5.409,0.67,"F"
"111","Lili","Zebluim",4.588,0.28,4.603,0.28,4.566,0.28,4.594,0.28,"F"
"112","Lillian","Dehner",4.022,0.35,3.906,0.5,3.884,0.28,4.277,0.28,"F"
"113","Lilly","Shaw",4.873,0.53,4.438,0.52,5.34,0.53,4.841,0.54,"F"
"114","Lucy","Angevine",4.882,0.48,4.967,0.42,4.958,0.49,4.721,0.53,"F"
"115","Lyndsey","Olsen",4.14,0.19,4.5,0,4.417,0.29,3.863,0.29,"F"
"116","Mackenzie","Brown",4.65,0.47,4.499,0.35,4.999,0.53,4.452,0.53,"F"
"117","Mackenzie","Lee",4.514,0.45,4.798,0.34,4.683,0.5,4.345,0.5,"F"
"118","Mackenzie","Fox",4.481,0.28,4.239,0.28,4.239,0.28,4.965,0.27,"F"
"119","Madelyn","Hadwick",4.363,0.26,3.933,0.24,4.488,0.27,4.667,0.28,"F"
"120","Madison","Barrientos",4.373,0.27,4.592,0.28,4.123,0.27,4.403,0.27,"F"
"121","Madison","Morse",4.203,0.36,4.5,0,4.203,0.57,4.261,0.52,"F"
"122","Mae","Stirrup",4.272,0.28,4.275,0.28,4.449,0.28,4.091,0.27,"F"
"123","Maggie","Brennan",4.532,0.29,4.472,0.28,4.476,0.29,4.649,0.29,"F"
"124","Mallory","Franke",5.097,0.2,4.5,0,5.062,0.32,5.132,0.29,"F"
"125","Margaret jane","Piatos",5.1,0.29,5.034,0.3,5.069,0.28,5.197,0.29,"F"
"126","Maribella","Kontil",4.778,0.49,4.554,0.37,4.815,0.55,4.964,0.56,"F"
"127","Martine","Sundsten",4.794,0.5,4.687,0.38,5.196,0.56,4.499,0.55,"F"
"128","Mary","Monson",5.163,0.62,5.31,0.65,5.388,0.54,4.792,0.67,"F"
"129","Mary Layne","Holloway",4.391,0.33,4.5,0,4.552,0.49,4.229,0.5,"F"
"130","Medina","Dore",4.947,0.26,5.156,0.27,4.884,0.26,4.802,0.26,"F"
"131","Megan","Willcox",5.119,0.43,4.651,0.27,5.231,0.51,5.006,0.5,"F"
"132","Mei","Lee",4.608,0.31,4.808,0.35,4.231,0.27,4.408,0.32,"F"
"133","Melinda","Mckinney",4.744,0.43,4.5,0,4.773,0.64,4.715,0.64,"F"
"134","Melissa","Gantz",4.447,0.21,4.5,0,4.5,0,4.447,0.62,"F"
"135","Melody","Liu",4.642,0.28,4.273,0.15,4.73,0.35,4.555,0.33,"F"
"136","Mia","Engelbart",4.886,0.42,4.653,0.36,4.722,0.34,5.282,0.55,"F"
"137","Mia","Morgan",4.608,0.39,4.479,0.52,4.508,0.13,4.837,0.52,"F"
"138","Mia","Ramos",4.274,0.33,4.5,0,3.878,0.49,4.67,0.51,"F"
"139","Michelle","Dipuma",4.498,0.6,4.292,0.53,4.814,0.64,4.388,0.64,"F"
"140","Michelle","Panuncialman",4.013,0.27,4.5,0,3.985,0.34,4.041,0.47,"F"
"141","Miranda","Meats",4.639,0.42,4.5,0,4.644,0.62,4.633,0.64,"F"
"142","Mollie","Morrisey",4.51,0.28,4.448,0.28,4.602,0.28,4.481,0.27,"F"
"143","Morgan","Loudon",4.504,0.27,4.35,0.27,4.352,0.26,4.81,0.29,"F"
"144","Nancy","Wheat",4.565,0.22,4.5,0,4.5,0,4.565,0.65,"F"
"145","Natalie","Kessler",4.45,0.28,4.431,0.28,4.313,0.28,4.606,0.29,"F"
"146","Natalie","Perez",4.263,0.32,4.448,0.15,4.087,0.34,4.263,0.46,"F"
"147","Nila","Kumar",4.049,0.27,3.948,0.27,4.057,0.27,4.143,0.27,"F"
"148","Nina","Pignatello",4.004,0.3,4.5,0,4.089,0.27,4.004,0.63,"F"
"149","Nora","Perkins",4.499,0.6,4.535,0.52,4.443,0.63,4.518,0.65,"F"
"150","Nyliam","Gazze",5.054,0.48,4.88,0.57,5.176,0.56,5.106,0.3,"F"
"151","Olivia","Phillips",4.664,0.26,4.853,0.26,4.763,0.27,4.376,0.24,"F"
"152","Olivia","Parsons",4.177,0.27,4.331,0.28,4.456,0.27,3.744,0.26,"F"
