player,g,fg_percent,avg_dist_of_fg,2pt_rate,3pt_rate,2pt_percent,3pt_percent,dunk_rate
Alex Sarr,67,.394,14.4,.588,.412,.454,.308,.077
Kyrie Irving,50,.473,14.9,.620,.380,.517,.401,.001
Kyshawn George,68,.372,19.1,.352,.648,.464,.322,.026
Cameron Johnson,57,.475,17.2,.454,.546,.578,.390,.035
Duncan Robinson,74,.437,19.9,.271,.729,.556,.393,.012
Kris Dunn,74,.439,15.7,.487,.513,.549,.335,.016
Luka Dončić,50,.450,17.4,.531,.469,.522,.368,.001
Luka Dončić,22,.464,17.2,.545,.455,.555,.354,.002
Luka Dončić,28,.438,17.7,.519,.481,.493,.379,.000
Scoot Henderson,66,.419,14.9,.566,.434,.469,.354,.020
Wendell Carter Jr.,68,.460,12.1,.678,.322,.568,.234,.179
Collin Sexton,63,.480,13.1,.687,.313,.513,.406,.006
Mike Conley,71,.400,19.4,.338,.662,.380,.410,.000
Amir Coffey,72,.471,16.2,.516,.484,.529,.409,.063
Jimmy Butler,55,.504,9.0,.826,.174,.546,.308,.092
Jimmy Butler,25,.540,8.1,.863,.137,.568,.361,.099
Jimmy Butler,30,.476,9.9,.796,.204,.526,.279,.087
Aaron Wiggins,76,.488,14.2,.534,.466,.578,.383,.027
Walker Kessler,58,.663,4.3,.919,.081,.706,.176,.329
De'Andre Hunter,64,.470,16.5,.491,.509,.537,.405,.039
De'Andre Hunter,37,.461,16.4,.498,.502,.531,.393,.045
De'Andre Hunter,27,.485,16.6,.478,.522,.550,.426,.030
Ochai Agbaji,64,.498,13.2,.526,.474,.587,.399,.069
Brandin Podziemski,64,.445,17.2,.509,.491,.516,.372,.002
Jabari Smith Jr.,57,.438,16.2,.511,.489,.519,.354,.057
Anthony Davis,51,.516,10.8,.864,.136,.553,.282,.099
Anthony Davis,42,.528,9.6,.876,.124,.560,.298,.103
Anthony Davis,9,.461,12.0,.803,.197,.516,.233,.079
Bradley Beal,53,.497,15.2,.620,.380,.565,.386,.024
