Player,Team,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS
Allie Herron,Saint Louis,0.171,0.2,0.291,0.491,50,166,158,16,27,9,2,2,17,1,5,39,7,0
Allie Taylor,Iona,0.238,0.319,0.349,0.668,40,145,126,18,30,4,2,2,14,3,12,23,7,1
Allison Heffley,Harvard,0.293,0.393,0.48,0.873,41,147,123,16,36,5,3,4,19,2,19,24,3,1
Allison Yoder,South Dakota State,0.33,0.421,0.532,0.953,42,127,109,17,36,9,2,3,22,1,16,19,1,3
Ally Jones,Villanova,0.226,0.281,0.458,0.74,54,167,155,18,35,9,0,9,28,1,11,24,1,0
Ally Kurland,Penn State,0.303,0.361,0.674,1.035,54,194,178,29,54,18,0,16,44,0,16,33,0,0
Ally Miklesh,Wisconsin,0.325,0.424,0.407,0.83,49,145,123,26,40,4,0,2,20,1,20,26,11,2
Ally Nodohara,UC Santa Barbara,0.252,0.287,0.363,0.65,48,143,135,18,34,10,1,1,17,2,5,17,2,0
Ally Shipman,Alabama,0.35,0.429,0.571,0.999,56,190,163,40,57,12,0,8,46,10,14,12,5,0
Ally Vonfeldt,Kansas City,0.27,0.331,0.447,0.778,46,157,141,26,38,9,2,4,16,0,14,22,1,0
Allyson Ferreira,Santa Clara,0.271,0.319,0.403,0.722,42,146,129,19,35,8,3,1,16,1,8,18,4,0
Alondra Mejia,Sacramento State,0.286,0.36,0.401,0.761,49,164,147,19,42,6,1,3,24,2,15,17,0,0
Aly Harrell,Marshall,0.437,0.606,0.789,1.395,53,203,142,41,62,11,0,13,38,17,44,11,1,0
Aly Packish,Cleveland State,0.16,0.217,0.237,0.453,45,155,131,12,21,4,0,2,10,2,8,26,1,0
Alycia Flores,Boise State,0.375,0.413,0.596,1.008,47,155,136,34,51,9,0,7,34,5,8,9,2,0
Alynah Torres,Arizona State,0.339,0.409,0.707,1.116,54,199,174,40,59,14,1,16,40,5,17,12,0,0
Alyssa Barela,Evansville,0.212,0.317,0.346,0.663,43,121,104,9,22,5,0,3,13,0,16,23,0,0
Alyssa Cacini,Dayton,0.291,0.354,0.489,0.843,46,163,141,26,41,5,1,7,28,1,15,37,3,1
Alyssa Dean,Memphis,0.262,0.35,0.333,0.683,50,151,126,14,33,6,0,1,11,5,12,12,3,0
Alyssa Gonzalez,Sacred Heart,0.255,0.379,0.552,0.93,55,177,145,18,37,5,1,12,28,1,29,35,0,1
Alyssa Graham,San Jose State,0.337,0.429,0.562,0.991,51,196,169,36,57,11,3,7,26,0,27,20,6,0
Alyssa Hernandez,Cal State Fullerton,0.258,0.283,0.355,0.638,47,100,93,9,24,4,1,1,14,3,1,17,0,0
Alyssa Kramer,Western Michigan,0.273,0.304,0.448,0.752,53,162,154,23,42,6,0,7,22,3,4,34,1,0
Alyssa Podhurcak,BYU,0.324,0.435,0.546,0.981,44,138,108,26,35,11,2,3,25,2,23,5,4,1
Alyssa Wenzel,Northern Colorado,0.314,0.344,0.407,0.751,43,131,118,19,37,7,2,0,22,2,5,18,6,0
Alyssa Wesley,Arkansas-Pine Bluff,0.276,0.317,0.328,0.645,42,128,116,16,32,4,1,0,2,1,7,19,8,1
Amaia Daniel,Ball State,0.293,0.373,0.395,0.768,52,179,157,22,46,5,1,3,31,4,16,17,4,1
Amanda Argomaniz,California Baptist,0.27,0.354,0.365,0.719,54,152,126,7,34,4,1,2,26,1,16,22,0,0
Amanda Ayala,Tennessee,0.297,0.409,0.497,0.906,55,199,165,32,49,12,3,5,30,6,26,24,13,2
Amanda Briskin,Samford,0.248,0.289,0.261,0.55,51,169,157,24,39,0,1,0,6,0,9,16,12,3
Amanda Cooper,Rider,0.298,0.355,0.347,0.702,43,139,124,27,37,1,1,1,12,2,10,30,2,2
Amanda DeSario,Tarleton State,0.292,0.378,0.416,0.795,52,191,161,41,47,6,1,4,16,3,20,30,4,2
Amanda Guercio,Indiana State,0.248,0.322,0.523,0.845,41,126,109,20,27,3,0,9,18,0,12,25,4,0
Amani Bradley,California,0.283,0.336,0.391,0.727,54,152,138,21,39,6,3,1,20,2,10,18,4,2
Amari Ramsey,Alcorn State,0.224,0.313,0.367,0.68,37,112,98,17,22,4,2,2,17,1,12,19,0,0
Amber Storer,SIUE,0.198,0.254,0.298,0.551,45,142,131,11,26,4,0,3,12,0,10,12,0,0
Amber Verstynen,George Mason,0.274,0.33,0.295,0.625,38,105,95,17,26,2,0,0,4,0,8,14,6,1
Amelia Thomas,Loyola Chicago,0.263,0.346,0.459,0.805,46,153,133,23,35,8,6,2,16,1,17,26,11,2
Amy Mallah,St. John's,0.235,0.305,0.328,0.633,43,133,119,8,28,1,2,2,11,8,4,27,4,1
Amy Petrovich,Sacred Heart,0.275,0.336,0.391,0.727,50,156,138,13,38,8,1,2,16,2,11,24,1,1
Amy Smith,UMass,0.221,0.352,0.26,0.612,47,164,131,14,29,2,0,1,6,2,25,19,2,0
Amy Vetula,Lipscomb,0.372,0.447,0.445,0.892,51,189,164,40,61,8,2,0,15,1,22,20,9,8
Ana Watson,Baylor,0.279,0.342,0.388,0.729,55,162,147,28,41,7,0,3,26,7,7,32,7,2
Anaiyah Fultz,Grambling,0.19,0.306,0.267,0.573,43,125,105,12,20,8,0,0,17,5,13,28,8,0
Andrea Gonzalez,Loyola Marymount,0.281,0.337,0.369,0.706,54,183,160,26,45,6,1,2,27,3,11,25,6,1
Andrea Howard,New Mexico,0.403,0.531,0.875,1.406,53,192,144,40,58,8,3,18,57,1,43,10,2,2
Andrea Lyon,Gardner-Webb,0.292,0.364,0.496,0.86,44,154,137,13,40,6,2,6,25,4,12,28,1,0
Andrea Sarhatt,East Tennessee State,0.291,0.346,0.376,0.722,56,182,165,22,48,6,4,0,15,2,13,31,18,4
Angela Giampolo,Villanova,0.246,0.375,0.354,0.729,44,160,130,18,32,8,0,2,16,12,16,26,3,3
Angela Zedak,Northwestern,0.24,0.338,0.449,0.788,58,195,167,33,40,8,0,9,33,4,22,35,2,0
Angelica Cano,Idaho State,0.346,0.435,0.667,1.102,50,188,156,46,54,12,1,12,48,10,17,28,6,0
Angelina Ioppolo,Hofstra,0.216,0.299,0.295,0.594,48,159,139,17,30,6,1,1,19,6,11,29,0,0
Angelina Stile,Siena,0.219,0.281,0.307,0.588,43,129,114,18,25,7,0,1,15,3,8,21,2,0
Anna Aguon,Buffalo,0.234,0.37,0.362,0.732,46,173,141,29,33,6,0,4,15,5,26,37,15,2
Anna Dixon,Toledo,0.33,0.379,0.4,0.779,37,126,115,18,38,8,0,0,10,1,8,20,4,1
Anna Freveletti,St. John's,0.133,0.202,0.156,0.358,41,103,90,5,12,2,0,0,3,0,8,43,0,0
Anna Jones,Texas State,0.277,0.39,0.333,0.723,52,172,141,26,39,6,1,0,28,1,27,25,6,1
Anna Knox,UNC Wilmington,0.225,0.343,0.405,0.749,47,138,111,29,25,5,0,5,22,11,10,24,20,4
Anna Lonchar,UMBC,0.296,0.4,0.541,0.941,41,116,98,17,29,3,0,7,14,5,12,23,0,0
Anna Vines,UCLA,0.242,0.351,0.315,0.666,59,179,149,31,36,8,0,1,20,1,24,43,4,2
Annie Tokarek,Indiana State,0.298,0.348,0.527,0.874,48,145,131,10,39,9,0,7,24,0,10,24,0,1
Anslee Finch,Troy,0.241,0.353,0.444,0.796,50,159,133,16,32,10,1,5,27,0,23,31,0,0
Antiya Randle,Grambling,0.268,0.398,0.33,0.728,38,119,97,18,26,3,0,1,13,0,21,15,4,0
April Visser,UNLV,0.361,0.495,0.693,1.188,58,218,166,51,60,8,1,15,47,13,34,34,6,1
Ari Castillo,Rhode Island,0.292,0.355,0.496,0.852,45,155,137,18,40,10,0,6,28,0,14,13,5,0
Ariel Carlson,Oregon,0.271,0.35,0.636,0.986,50,160,140,35,38,4,1,15,42,4,14,35,9,2
Ariyana Miranda,Eastern Kentucky,0.233,0.291,0.349,0.64,44,141,129,19,30,10,1,1,15,4,7,25,3,0
Arizona Ritchie,Virginia,0.213,0.304,0.238,0.542,52,140,122,18,26,3,0,0,14,3,13,13,3,0
Armani Brown,Marshall,0.188,0.233,0.208,0.441,44,110,96,17,18,2,0,0,7,0,6,18,5,0
Ashleigh Duty,Georgia Southern,0.269,0.319,0.278,0.597,41,119,108,24,29,1,0,0,0,1,7,25,11,2
Ashleigh Inae,Long Beach State,0.321,0.399,0.393,0.792,49,159,140,21,45,10,0,0,14,4,14,11,2,1
Ashley McDonald,Princeton,0.208,0.226,0.292,0.517,45,133,120,12,25,7,0,1,10,2,1,18,1,0
Ashley Michelena,Colorado State,0.335,0.374,0.391,0.766,46,172,161,25,54,5,2,0,4,0,10,17,8,1
Ashley Morgan,Tennessee,0.24,0.419,0.493,0.913,59,200,150,23,36,5,0,11,30,22,25,18,0,0
Ashley Prange,Alabama,0.333,0.457,0.62,1.077,55,192,150,40,50,13,3,8,27,5,31,15,2,0
Ashley Trierweiler,Santa Clara,0.392,0.438,0.468,0.906,51,187,171,36,67,9,2,0,18,1,13,17,18,4
Ashley Wood,Southern Illinois,0.318,0.463,0.507,0.97,47,193,148,36,47,10,0,6,28,11,30,15,5,1
Ashley Wruble,Saint Francis,0.301,0.438,0.381,0.819,49,148,113,25,34,3,0,2,21,11,19,16,4,2
Ashlyn Anderson,Kansas,0.288,0.383,0.565,0.947,55,198,170,36,49,15,1,10,31,1,25,33,2,0
Ashlynn Gunter,Georgia Southern,0.235,0.336,0.296,0.632,43,119,98,7,23,1,1,1,7,2,13,17,2,0
Ashton VanHouse,Winthrop,0.308,0.343,0.346,0.689,53,143,130,22,40,3,1,0,10,0,7,21,22,1
Aspen Howie,Houston,0.273,0.371,0.54,0.911,54,175,150,27,41,7,0,11,34,1,23,16,0,2
Aspyn Godwin,Auburn,0.235,0.325,0.569,0.893,50,120,102,19,24,4,0,10,17,0,14,25,2,0
Aubree DePron,Southern Illinois,0.278,0.347,0.344,0.692,46,173,151,26,42,3,2,1,16,1,15,27,15,3
Aubrey Reed,Toledo,0.301,0.424,0.54,0.964,44,139,113,23,34,4,1,7,27,7,18,24,4,0
Audrey Greely,Southeastern Louisiana,0.344,0.433,0.508,0.941,49,142,122,32,42,10,2,2,23,4,15,30,10,4
Audrey LeClair,Michigan,0.315,0.351,0.411,0.762,46,134,124,28,39,5,2,1,15,0,7,14,10,2
Audrey Lyle,Belmont,0.223,0.307,0.372,0.678,50,140,121,14,27,6,0,4,24,1,14,36,1,0
Audrey Sellers,Boston University,0.207,0.284,0.25,0.534,45,107,92,13,19,4,0,0,7,4,6,12,3,1
Audrie LaValley,Arkansas,0.289,0.424,0.43,0.853,51,148,114,23,33,4,0,4,13,4,24,25,0,0
Autumn Bennett,Boise State,0.268,0.396,0.366,0.762,38,101,82,21,22,8,0,0,11,2,16,18,4,1
Autumn Owen,Marshall,0.354,0.421,0.597,1.018,51,164,144,36,51,11,0,8,23,0,18,29,7,1
Avery Drake,Houston Christian,0.161,0.273,0.185,0.458,45,154,124,14,20,3,0,0,5,2,17,22,9,1
Avery Wysong,North Dakota State,0.252,0.331,0.441,0.772,47,161,143,17,36,13,1,4,23,3,14,49,0,1
Avianna Peterson,Coppin State,0.271,0.388,0.375,0.763,36,116,96,17,26,7,0,1,10,2,17,17,2,3
Avrey Schumacher,Youngstown State,0.263,0.325,0.342,0.668,56,170,152,16,40,10,1,0,28,3,12,33,2,0
Avrey Steiner,Illinois,0.391,0.415,0.437,0.851,56,210,197,35,77,9,0,0,20,0,8,19,10,6
Avry Blume,UT Martin,0.281,0.327,0.425,0.752,52,164,146,25,41,7,1,4,29,4,7,28,5,0
Aziah James,Connecticut,0.244,0.338,0.311,0.649,56,160,135,30,33,3,3,0,8,0,19,33,8,3
Bailee Richardson,Georgia State,0.315,0.366,0.56,0.926,54,183,168,29,53,9,1,10,38,2,12,18,11,3
Bailee Wilson,East Carolina,0.25,0.35,0.342,0.692,55,180,152,27,38,14,0,0,21,1,23,23,4,1
Bailey Bates,Holy Cross,0.188,0.295,0.232,0.527,42,130,112,14,21,5,0,0,9,4,13,23,3,0
Bailey Chavez,Holy Cross,0.264,0.331,0.279,0.61,49,170,140,18,37,2,0,0,6,1,13,14,7,1
Bailey Curry,Western Kentucky,0.296,0.407,0.62,1.027,51,172,142,19,42,10,0,12,48,2,26,17,0,0
Bailey Drapola,Pittsburgh,0.257,0.396,0.486,0.882,35,95,74,7,19,4,2,3,22,3,14,22,7,1
Bailey Huneycutt,Western Carolina,0.329,0.434,0.671,1.105,53,182,152,31,50,7,0,15,50,3,26,23,9,2
Bailey Ledvina,East Carolina,0.238,0.311,0.418,0.729,50,142,122,21,29,8,1,4,21,0,13,24,4,0
Bailey Shorter,Austin Peay,0.252,0.343,0.409,0.751,48,183,159,30,40,6,2,5,16,4,18,22,2,1
Bailey Vannoy,Charlotte,0.381,0.453,0.845,1.299,58,225,194,60,74,12,3,24,58,3,25,22,7,2
Bailey Winscott,Virginia,0.262,0.441,0.31,0.751,41,113,84,18,22,2,1,0,5,3,24,12,9,3
Bailley Concatto,SIUE,0.284,0.342,0.397,0.739,45,160,141,18,40,7,0,3,16,0,13,8,1,0
Baylee Klingler,Washington,0.434,0.5,0.948,1.448,55,202,173,46,75,13,2,24,71,3,23,6,3,2
Baylee Morton,Appalachian State,0.239,0.457,0.463,0.92,55,188,134,25,32,3,0,9,25,5,49,34,0,0
Becca Edwards,Green Bay,0.275,0.392,0.44,0.833,46,130,109,12,30,7,1,3,16,5,16,24,0,0
Becky Hurosky,Cleveland State,0.293,0.358,0.512,0.87,43,139,123,15,36,9,0,6,24,3,10,25,0,0
Bella Devesa,Elon,0.178,0.241,0.196,0.438,46,124,107,12,19,2,0,0,4,2,7,24,1,1
Bella Fiorentino,Penn,0.321,0.463,0.453,0.916,40,134,106,11,34,5,0,3,25,6,22,16,0,0
Bella Loya,Illinois,0.261,0.324,0.369,0.693,53,173,157,11,41,6,1,3,27,3,12,5,3,0
Bella Peterson,Indiana State,0.395,0.458,0.725,1.183,52,193,167,42,66,21,2,10,35,0,22,19,8,0
Bella Rocco,Boise State,0.248,0.315,0.376,0.691,39,131,117,10,29,3,0,4,23,3,9,14,0,0
Bethany Busch,Houston,0.26,0.359,0.45,0.81,49,157,131,25,34,5,1,6,21,5,16,31,11,4
Bianca Barone,Northern Illinois,0.302,0.382,0.422,0.804,41,134,116,13,35,5,0,3,15,3,12,15,7,2
Bianca Worthy,Wagner,0.324,0.321,0.387,0.709,44,124,111,15,36,2,1,1,13,0,0,12,1,0
Billie McFadyen,Dartmouth,0.348,0.405,0.529,0.934,44,153,138,22,48,5,4,4,25,1,13,10,8,1
Blayke Batten,UNC Greensboro,0.273,0.346,0.562,0.908,43,137,121,31,33,4,2,9,26,2,12,21,0,0
Brandi Feeney,Saint Peter's,0.207,0.273,0.279,0.552,45,121,111,16,23,5,0,1,10,2,8,27,4,2
Brandice Boatwright,Florida A&M,0.165,0.232,0.198,0.43,37,101,91,3,15,1,1,0,4,2,6,14,0,0
Brenna Davenport,UMass Lowell,0.228,0.298,0.338,0.636,48,154,136,16,31,6,0,3,12,1,13,36,2,1
Bri Avery,Butler,0.382,0.4,0.4,0.8,47,117,110,21,42,2,0,0,10,1,3,22,20,2
Bri Lerma,Utah State,0.201,0.327,0.276,0.603,51,161,134,19,27,5,1,1,9,15,10,22,0,0
Bri Stubbs,North Carolina,0.355,0.477,0.461,0.938,51,177,141,38,50,10,1,1,14,4,30,35,8,1
Bri Walker,Central Connecticut,0.229,0.342,0.366,0.708,49,155,131,7,30,6,0,4,23,2,21,36,0,0
Briana Marcelino,Connecticut,0.367,0.445,0.612,1.057,56,218,188,47,69,13,3,9,44,2,26,32,39,1
Briana Martinez,New Mexico,0.243,0.362,0.434,0.796,53,169,136,21,33,5,0,7,19,1,25,37,2,1
Briana Perez,UCLA,0.392,0.452,0.726,1.178,61,211,186,49,73,18,7,10,44,4,17,27,16,4
Briana Ramirez,Towson,0.379,0.412,0.434,0.846,47,160,145,23,55,4,2,0,11,0,8,20,4,1
Brianna Alston,Mississippi Valley,0.3,0.347,0.318,0.666,37,122,110,14,33,0,1,0,8,1,7,10,7,4
Brianna Castro,Buffalo,0.311,0.405,0.515,0.92,45,155,132,22,41,13,1,4,22,4,17,20,3,1
Brianna Clary,Stetson,0.33,0.394,0.341,0.735,56,200,179,41,59,0,1,0,8,1,18,18,23,6
Brianna Pinto,Fordham,0.296,0.343,0.361,0.703,49,181,169,29,50,6,1,1,10,2,10,47,25,0
Bridget Nasir,Quinnipiac,0.241,0.299,0.391,0.69,41,147,133,20,32,8,3,2,12,1,10,15,6,1
Bridgette Strobl,Gardner-Webb,0.191,0.306,0.266,0.572,35,112,94,7,18,5,1,0,9,2,14,30,0,0
Brinaya Bailey,Kennesaw State,0.329,0.409,0.434,0.842,51,164,143,9,47,3,0,4,29,6,14,29,0,0
Brissa Alvarado,Coppin State,0.263,0.434,0.456,0.89,45,152,114,22,30,9,2,3,24,2,34,28,0,0
Britaney Shaw,Houston,0.231,0.303,0.444,0.747,44,121,108,11,25,2,0,7,18,2,9,24,0,0
Britanny Phillips,Florida International,0.242,0.34,0.258,0.599,49,144,120,11,29,2,0,0,9,0,19,5,4,2
Brittany Ford,Indiana,0.304,0.351,0.593,0.944,48,148,135,15,41,9,0,10,40,2,9,25,0,0
Brittany Jackson,NC State,0.303,0.44,0.485,0.925,56,171,132,31,40,10,1,4,23,4,29,25,5,1
Brittnee Rossi,Hawaii,0.237,0.36,0.368,0.729,41,138,114,24,27,2,2,3,7,6,16,35,4,2
Brittney Manthie,Creighton,0.241,0.341,0.241,0.581,36,94,79,18,19,0,0,0,0,1,11,29,3,2
Brittney Mendoza,Delaware,0.336,0.409,0.545,0.954,45,164,143,31,48,13,1,5,33,2,17,14,6,0
Brook Mitchell,Army,0.239,0.283,0.265,0.549,49,122,113,14,27,3,0,0,3,0,7,19,5,3
Brooke Diaz,Louisiana Tech,0.292,0.388,0.478,0.867,54,189,161,18,47,9,0,7,39,10,16,23,2,0
Brooke Dye,Stony Brook,0.183,0.261,0.26,0.52,41,121,104,14,19,2,0,2,12,4,7,32,3,2
Brooke Glanden,Delaware,0.324,0.385,0.581,0.966,45,169,148,24,48,11,0,9,38,2,15,16,0,1
Brooke Johnson,DePaul,0.389,0.51,0.745,1.255,53,200,157,40,61,15,1,13,52,4,37,31,3,1
Brooke Pfefferle,Austin Peay,0.343,0.402,0.503,0.905,53,190,169,29,58,10,1,5,34,5,13,6,2,0
Brooke Rice,Ohio,0.287,0.399,0.543,0.941,48,154,129,16,37,9,0,8,26,5,19,51,2,0
Brooke Wilmes,Missouri,0.317,0.405,0.591,0.996,60,218,186,41,59,7,1,14,34,7,21,23,4,2
Brooklyn Weisgram,Montana,0.273,0.348,0.488,0.835,46,140,121,21,33,8,0,6,22,8,7,29,1,0
Brooklyn Whitt,Kent State,0.264,0.358,0.318,0.676,44,152,129,27,34,5,1,0,8,2,17,17,8,2
Brooklynn Brewington,Western Carolina,0.294,0.368,0.347,0.715,53,191,170,30,50,5,2,0,15,2,18,35,32,7
Brylee Hage,Western Kentucky,0.35,0.414,0.494,0.908,51,181,160,37,56,12,4,1,19,1,18,19,17,1
Brylie St. Clair,Mississippi State,0.263,0.305,0.302,0.607,64,192,179,28,47,7,0,0,14,1,10,30,6,0
Bubba Gleaves,Columbia,0.248,0.403,0.337,0.74,38,129,101,19,25,3,0,2,13,3,24,11,1,0
Cailyn Peterson,Mississippi Valley,0.179,0.222,0.299,0.521,30,73,67,5,12,3,1,1,4,0,4,13,1,0
Caitie Ladd,Michigan State,0.288,0.329,0.353,0.682,52,167,153,22,44,7,0,1,15,1,9,28,12,3
Caitlin Coker,Boston University,0.326,0.406,0.542,0.948,57,220,190,45,62,15,4,6,24,8,18,16,12,4
Caitlyn Britton,Central Michigan,0.315,0.392,0.608,1,51,168,143,23,45,9,0,11,39,2,18,48,0,1
Caitlyn Brockway,Houston Christian,0.316,0.424,0.588,1.012,47,165,136,29,43,10,0,9,27,6,21,20,1,1
Caitlyn Rogers,Texas State,0.302,0.421,0.525,0.946,53,174,139,24,42,6,2,7,34,8,22,31,0,1
Calie Burris,Abilene Christian,0.369,0.517,0.623,1.141,51,173,130,19,48,13,1,6,26,7,34,25,1,0
Cam Ybarra,Nebraska,0.365,0.404,0.646,1.05,52,193,178,37,65,14,3,10,39,0,13,9,1,0
Cameron Andrews,Southern,0.25,0.302,0.266,0.568,48,143,128,21,32,2,0,0,11,2,8,6,10,4
Cam Goodman,Southeastern Louisiana,0.426,0.464,0.519,0.983,49,143,129,38,55,2,2,2,13,0,9,16,30,4
Cameryn Maykut,North Dakota State,0.307,0.376,0.458,0.834,53,186,166,29,51,13,0,4,48,3,16,24,2,1
Cami Newbanks,Saint Louis,0.26,0.414,0.43,0.844,43,133,100,8,26,6,1,3,15,0,27,29,1,2
