"position","Round","forty","vertical","bench_reps","broad_jump","three_cone","shuttle"
"OG",NA,5.51,27.5,NA,99,NA,NA
"QB",NA,5.08,29,NA,111,7.24,4.2
"OG",NA,5.53,23.5,18,89,8.17,4.8
"OT",NA,5.6,29,23,93,7.84,4.92
"OG",NA,5.18,31.5,24,108,7.61,4.56
"RB",NA,4.56,34.5,14,118,7.13,4.28
"QB",NA,4.93,27.5,NA,106,7.29,4.39
"RB",NA,4.67,33.5,15,116,7.22,4.13
"QB",NA,4.71,33,NA,113,6.97,4.08
"RB",NA,4.52,32,16,109,7.23,4.38
"WR",NA,4.57,33,NA,117,7.25,4.39
"QB",NA,4.7,33.5,NA,116,7.53,4.53
"OG",NA,5.22,36,22,109,8.27,4.76
"WR",NA,4.62,NA,NA,NA,NA,NA
"WR",NA,4.43,NA,NA,NA,NA,NA
"OG",NA,5.7,31,NA,99,8.16,4.65
"WR",NA,4.62,NA,NA,NA,NA,NA
"FB",NA,5,25.5,19,100,7.57,4.67
"OT",NA,5.46,27.5,NA,100,NA,NA
"WR",NA,4.46,37,NA,124,7.21,4.22
"QB",NA,4.9,31,NA,108,7.28,4.19
"OT",NA,5.31,26.5,23,102,7.43,4.5
"OT",5,5.12,32.5,18,105,7.62,4.6
"QB",6,5.03,29,NA,103,7.67,4.62
"RB",2,4.4,35,18,121,6.81,4.1
"OG",2,5.06,29.5,29,105,7.5,4.46
"TE",7,4.74,31.5,16,113,7.05,4.25
"RB",4,4.49,40,20,127,NA,NA
"OT",2,4.92,35,26,106,7.57,4.54
"OT",1,4.87,35.5,NA,112,7.83,4.56
"RB",1,4.62,NA,NA,NA,NA,NA
"TE",NA,4.78,38,25,121,7.11,4.1
"OT",6,5.18,27,30,96,7.77,4.62
"QB",NA,4.83,29,NA,109,7.49,4.54
"WR",2,4.37,39.5,NA,128,6.96,3.98
"OT",5,5.2,NA,24,NA,NA,NA
"RB",7,4.59,30,25,108,7.54,4.28
"OG",4,4.93,NA,NA,NA,NA,NA
"C",4,5.4,30.5,23,105,7.72,4.51
"OT",1,5.06,31.5,NA,109,7.93,4.67
"WR",2,4.45,41.5,NA,128,6.99,3.94
"RB",1,4.43,34,18,117,7.1,4.08
"OG",4,5.35,28,29,111,7.9,4.59
"QB",1,4.71,NA,NA,NA,NA,NA
"QB",4,4.56,31,NA,111,7.03,4.09
"OT",5,5.52,33,28,110,7.78,4.76
"WR",1,4.41,36.5,NA,118,6.95,4.07
"OT",7,5.4,NA,NA,NA,NA,NA
"RB",7,4.5,38,18,121,7.39,NA
"RB",6,4.49,34,17,118,7.13,4.25
"TE",5,4.71,NA,21,118,NA,NA
"OT",NA,5.19,28.5,22,108,7.65,4.54
"C",5,5.31,29.5,21,102,7.93,4.56
"WR",5,4.49,38,NA,125,7.05,4.07
"TE",NA,4.93,NA,21,115,NA,NA
"OT",NA,5.42,27,17,99,8.15,4.58
"RB",3,4.78,34,22,115,NA,NA
"TE",6,4.72,36,22,113,7.09,4.01
"FB",NA,4.91,30,19,109,7.25,4.56
"WR",1,4.45,NA,NA,NA,NA,NA
"OT",3,5.61,29,NA,96,8.11,4.92
"TE",3,4.72,NA,NA,NA,NA,NA
"RB",4,4.58,NA,NA,NA,NA,NA
"QB",7,4.86,30.5,NA,105,7.09,4.07
"QB",3,4.79,33,NA,113,6.94,4.08
"OG",4,5.12,29.5,NA,100,7.62,4.51
"RB",7,4.6,36,23,121,7.17,4.1
"OT",6,5.38,25,34,95,7.87,4.62
"C",4,5.09,32,30,105,7.87,4.56
"WR",6,4.46,36,NA,NA,NA,NA
"RB",3,4.58,NA,NA,NA,NA,NA
"RB",NA,4.43,33.5,17,115,7.08,4.12
"FB",5,4.84,31,23,109,7.24,4.21
"C",5,5.21,28.5,26,103,7.62,4.52
"RB",NA,4.56,38,NA,122,7.2,4.1
"RB",NA,4.51,32.5,21,NA,NA,NA
"FB",7,4.87,32.5,29,108,7.41,4.24
"WR",3,4.5,NA,NA,NA,NA,NA
"RB",7,4.6,31,17,108,6.95,3.97
"C",5,5.31,32.5,NA,109,7.49,4.45
"TE",NA,5.04,NA,18,NA,NA,NA
"RB",6,4.61,NA,NA,NA,NA,NA
"C",3,4.84,NA,29,NA,NA,NA
"WR",2,4.46,39,NA,NA,NA,NA
"RB",4,4.56,37,19,118,7.53,4.46
"OG",2,5.45,27.5,21,104,7.71,4.71
"WR",3,4.42,37,NA,114,7.03,4.08
"TE",1,4.37,39.5,NA,129,NA,NA
"FB",NA,4.68,33,27,113,7.43,4.2
"OT",3,5.28,31.5,NA,NA,NA,NA
"OT",7,5.31,29.5,17,94,7.95,4.8
"OG",6,5.34,29,26,98,7.75,4.54
"OT",5,5.3,32,14,101,7.74,4.68
"OG",1,5.06,31.5,21,95,7.52,4.44
"WR",5,4.51,38,NA,121,6.81,3.95
"OG",3,4.92,35.5,35,117,7.37,4.16
"WR",4,4.28,35.5,NA,123,NA,NA
"WR",7,4.4,37,NA,120,7.19,4.21
"TE",1,4.79,NA,NA,NA,NA,NA
"RB",3,4.46,36,19,117,7.22,4.1
"WR",NA,4.52,NA,NA,NA,NA,NA
"RB",3,4.66,33.5,19,108,7.02,4.12
"C",7,5.29,NA,28,NA,NA,NA
"WR",2,4.39,NA,NA,NA,NA,NA
"OG",6,5.11,NA,25,NA,NA,NA
"OG",7,5.15,29.5,22,99,7.5,4.47
"WR",4,4.5,NA,NA,NA,NA,NA
"QB",5,4.71,34.5,22,128,6.93,4.08
"OT",5,5.3,29.5,22,101,8.19,4.72
"QB",5,4.93,29.5,NA,107,7.33,4.39
"QB",4,5.06,26.5,NA,NA,7.38,4.52
"WR",6,4.62,37,NA,116,6.7,3.94
"WR",2,4.37,NA,NA,NA,NA,NA
"RB",4,4.63,34,24,114,7.06,4.08
"OT",NA,5.12,NA,NA,NA,NA,NA
"WR",6,4.46,34,NA,116,7,NA
"OT",6,5.48,NA,NA,NA,NA,NA
"OT",6,5.51,34,26,100,7.62,4.66
"WR",4,4.55,38.5,NA,126,7.03,4.1
"C",4,NA,32,21,96,7.57,4.45
"OT",6,5.43,27,26,92,7.97,4.8
"WR",NA,4.47,36.5,NA,122,6.78,4.13
"WR",3,4.41,36.5,NA,126,6.6,3.94
"QB",1,4.71,34.5,NA,110,7.38,NA
