"position","Round","forty","vertical","bench_reps","broad_jump","three_cone","shuttle"
"TE",2,NA,NA,26,NA,NA,NA
"OL",7,5.37,31,24,115,7.77,4.53
"RB",7,4.49,38,22,122,6.71,4.12
"TE",5,4.55,35,15,115,6.83,4.37
"OL",3,4.89,35.5,25,119,7.79,4.67
"WR",NA,4.49,35,15,118,6.98,4.28
"OL",3,5.2,27.5,32,104,7.58,4.63
"WR",NA,4.61,37.5,12,124,6.96,4.5
"OL",NA,5.46,27,26,97,8.06,5.03
"RB",NA,4.46,36,NA,116,6.98,4.23
"OL",NA,5.5,26,21,105,7.66,4.69
"RB",6,4.46,33,22,115,6.96,4.31
"RB",7,4.51,36,22,122,7.13,4.35
"OL",6,5.5,NA,NA,NA,NA,NA
"RB",4,4.48,36,20,120,7.24,4.26
"OL",4,5.27,28.5,22,98,8.05,4.79
"OL",2,5.11,33,29,112,7.5,4.49
"WR",NA,4.53,46.5,24,134,7.1,4.38
"OL",NA,5.2,25,NA,103,7.7,NA
"RB",NA,4.41,36,18,123,7.15,4.37
"C",NA,NA,31,NA,NA,NA,NA
"WR",NA,4.68,33.5,NA,123,7.81,4.53
"OL",5,NA,30.5,25,112,7.5,4.51
"RB",7,4.57,31,13,115,7.38,4.38
"OL",2,5.01,32.5,36,106,7.72,4.66
"RB",NA,4.61,35.5,22,115,7.16,4.4
"QB",1,4.72,32,NA,116,7.04,4.39
"OL",NA,5.36,NA,NA,NA,NA,NA
"TE",5,4.64,31,17,116,NA,NA
"RB",NA,4.67,35,23,112,7.19,4.39
"OL",NA,NA,NA,NA,NA,NA,NA
"QB",1,NA,NA,NA,NA,NA,NA
"QB",1,NA,NA,NA,NA,NA,NA
"OL",1,4.96,34.5,NA,118,NA,NA
"OT",2,5.3,29.5,24,111,7.44,4.59
"WR",NA,4.66,31,11,115,7.13,4.37
"RB",NA,4.59,36,17,116,7.25,4.39
"RB",NA,4.57,37.5,NA,124,6.89,4.34
"TE",3,NA,NA,NA,NA,NA,NA
"WR",NA,4.68,29.5,12,114,7.09,4.36
"WR",6,4.36,34,NA,124,7.38,4.38
"OL",3,4.99,32,NA,111,7.54,4.58
"QB",3,4.82,32,NA,110,6.95,4.4
"RB",NA,4.65,32.5,13,117,7.06,4.35
"RB",6,4.38,37.5,17,128,6.94,4.19
"WR",2,4.28,42.5,NA,NA,6.65,4.06
"OL",7,5.31,31,26,105,7.39,4.47
"C",2,NA,NA,29,NA,NA,NA
"QB",NA,NA,NA,NA,NA,NA,NA
"WR",6,4.59,34,12,121,7.38,4.38
"WR",7,4.44,35.5,18,125,6.81,4.27
"WR",NA,4.5,33.5,15,120,7.12,4.32
"RB",NA,4.59,30,19,117,7.03,4.35
"WR",NA,4.57,31,14,120,7.2,4.34
"TE",1,4.44,33.5,22,129,7.12,4.3
"WR",5,4.53,36.5,16,128,7.03,4.21
"WR",NA,4.47,36,12,126,7,4.06
"OT",2,5.16,32,24,112,7.27,4.57
"RB",NA,4.6,33.5,23,117,7.19,4.5
"QB",NA,4.77,28,NA,108,7.28,4.41
"WR",3,4.52,33,19,121,7.07,4.31
"RB",NA,4.51,34,24,120,7.25,4.62
"RB",NA,4.62,33.5,NA,114,7.08,4.39
"WR",3,4.27,32,NA,123,7.13,4.25
"RB",NA,4.66,31,18,119,7.14,4.57
"RB",3,4.57,37,NA,125,6.83,4.28
"OL",1,5.13,28,30,109,7.76,4.68
"OL",6,5.19,26,23,108,7.71,4.82
"OL",1,4.91,33,33,112,7.48,4.45
"WR",NA,4.62,39.5,NA,130,NA,NA
"WR",5,4.43,37,NA,124,7,4.2
"QB",NA,5.23,29.5,NA,111,7.26,4.52
"WR",6,4.48,33,NA,122,6.76,4.14
"RB",4,4.64,31.5,15,112,7.09,4.15
"TE",NA,4.6,31.5,16,119,6.86,4.32
"WR",NA,4.51,37,16,123,6.96,4.13
"WR",NA,4.54,30.5,14,119,7.34,4.4
"WR",4,4.51,38.5,20,127,6.88,4.17
"WR",NA,4.66,NA,18,NA,NA,4.25
"WR",NA,4.44,32.5,15,126,7,4.53
"QB",NA,4.75,35.5,21,126,6.98,4.23
"QB",NA,4.59,30,NA,115,7.06,4.28
"WR",1,4.39,39.5,9,136,6.88,4.25
"QB",2,5.1,31.5,NA,113,7.08,4.6
"TE",3,4.6,36.5,20,122,NA,NA
"OL",NA,5.21,26,36,94,8.25,4.89
"OL",6,5.11,30,22,107,7.34,4.64
"OT",NA,5.31,27.5,NA,108,NA,NA
"OG",NA,5.1,30.5,NA,106,7.84,4.68
"QB",NA,NA,NA,NA,NA,NA,NA
"WR",NA,4.62,34,NA,125,7.28,4.42
"QB",NA,4.65,34.5,NA,123,6.85,4.18
"WR",NA,4.42,40,20,135,NA,NA
"OG",NA,4.96,22.5,21,107,7.4,4.65
"TE",NA,4.83,34,NA,121,7,4.26
"TE",NA,NA,33.5,NA,117,7.03,4.43
"RB",5,4.6,33,NA,120,NA,NA
"WR",4,4.32,39,NA,135,6.65,4.07
"WR",NA,4.43,39,NA,132,6.71,4.15
"RB",6,4.45,33.5,NA,121,NA,NA
"TE",4,4.63,34.5,22,125,7.05,4.47
"WR",3,4.65,33,NA,118,7.14,4.57
"RB",NA,NA,31,17,120,NA,NA
"WR",NA,4.66,32,NA,116,NA,NA
"RB",NA,NA,NA,20,NA,NA,NA
"RB",NA,4.59,31,NA,120,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA
"RB",NA,4.64,30,NA,118,NA,NA
"OG",3,5.32,31,NA,112,7.57,4.55
"OG",4,5.19,27.5,NA,105,NA,4.73
"WR",1,4.55,33,NA,122,7.28,NA
"TE",6,4.62,NA,20,NA,NA,NA
"OG",7,5.13,30,NA,108,7.84,4.9
"RB",5,4.38,31,NA,121,NA,NA
"QB",NA,4.9,33,NA,115,6.95,4.39
"RB",5,4.59,29.5,25,118,NA,NA
"RB",2,4.42,33,NA,124,NA,NA
"RB",NA,NA,NA,NA,NA,NA,NA
"QB",3,NA,NA,NA,NA,NA,NA
"OT",1,4.95,26,NA,112,7.88,4.61
"QB",NA,4.75,32.5,NA,120,NA,4.36
"OT",NA,5.38,20,NA,98,8.5,5.16
"RB",3,4.48,30,NA,117,NA,NA
"C",7,5.12,29,24,108,7.52,4.49
"OT",6,5.08,28.5,NA,109,NA,4.99
"OT",NA,4.89,32.5,NA,110,7.77,4.43
"WR",1,4.43,36,NA,121,7.28,NA
"WR",4,NA,NA,NA,NA,NA,NA
"WR",NA,4.65,34,NA,122,NA,NA
"TE",3,4.69,34,16,122,7.05,4.37
"OG",NA,5.44,26,25,95,7.97,4.91
"RB",NA,4.52,34.5,NA,128,NA,NA
"RB",6,4.43,30,NA,NA,NA,NA
"OT",1,4.93,29,NA,108,7.82,4.73
"QB",NA,NA,25.5,NA,111,7.57,NA
"OG",3,5.19,28.5,NA,105,7.83,4.56
"OT",NA,5.17,27.5,18,104,8.2,5.08
"WR",4,NA,36.5,NA,126,NA,4.38
"OT",4,NA,NA,24,NA,NA,NA
"TE",4,4.81,31.5,15,118,7.03,4.48
"RB",5,4.46,31,NA,118,NA,NA
"C",3,5.21,24,NA,102,7.75,4.95
"WR",NA,4.53,39,NA,127,NA,NA
"OG",2,NA,NA,26,NA,NA,NA
"RB",NA,4.42,36.5,NA,123,NA,NA
"WR",3,4.33,34,NA,126,NA,NA
"OG",1,5.24,26,20,102,NA,5.12
"RB",2,4.39,40,NA,126,NA,NA
"TE",NA,4.96,29,19,111,7.43,4.62
"RB",6,NA,38.5,21,126,NA,NA
"RB",4,NA,NA,27,NA,NA,NA
"OG",7,5.3,23.5,NA,102,NA,NA
"TE",NA,4.8,32.5,NA,117,NA,4.25
"TE",6,4.72,32.5,NA,NA,NA,NA
"C",6,5.22,30.5,NA,108,NA,NA
"TE",NA,4.85,34.5,NA,117,7.14,4.28
"QB",5,NA,NA,NA,NA,NA,NA
"OG",2,5.02,20.5,NA,102,7.81,4.76
"RB",6,4.53,34.5,NA,122,NA,NA
"WR",NA,4.6,32,NA,121,7.21,4.54
"WR",NA,NA,NA,14,NA,NA,NA
"OG",1,5.18,32,32,112,7.38,4.46
"OT",5,4.97,25.5,NA,108,NA,4.84
"WR",3,4.31,33,NA,121,NA,NA
"C",2,4.92,NA,25,NA,NA,NA
"QB",NA,NA,NA,NA,NA,NA,NA
"OG",5,5.31,25,NA,99,8.11,4.96
"RB",NA,4.58,31,NA,114,NA,NA
"TE",4,NA,NA,NA,NA,NA,NA
"TE",4,NA,36,NA,NA,NA,4.57
"C",NA,5.18,29,25,111,7.5,4.66
"C",1,NA,NA,NA,NA,NA,NA
"WR",1,NA,NA,NA,NA,NA,NA
"OT",6,5.22,25.5,NA,99,7.83,4.71
"OT",3,4.92,27,24,107,7.25,4.4
"OG",6,5.24,26,NA,102,7.57,4.71
"TE",2,NA,33,18,117,NA,NA
"RB",NA,4.6,33.5,NA,116,NA,NA
"OG",5,5.31,27.5,27,110,7.81,4.99
"WR",7,4.34,38,NA,121,6.98,NA
"WR",2,NA,NA,NA,NA,NA,NA
"TE",5,NA,NA,NA,NA,NA,NA
"OT",4,5.32,25,NA,106,8.09,4.65
"WR",2,4.41,34.5,NA,125,7.13,4.32
"OT",7,5.39,22,NA,104,NA,NA
"WR",6,4.5,38,NA,128,7.03,4.28
"OT",1,NA,NA,NA,NA,NA,NA
"TE",4,4.52,35.5,NA,NA,NA,NA
"WR",1,4.39,32,NA,124,NA,NA
"TE",4,NA,NA,NA,NA,NA,NA
"RB",7,4.37,33,NA,118,NA,NA
"OG",3,4.93,26.5,NA,108,7.78,4.7
"OG",7,4.89,27,NA,109,7.74,4.83
"OT",1,4.89,28,NA,111,7.25,4.62
"OT",3,5.14,24.5,NA,103,NA,NA
"WR",5,4.58,33.5,NA,124,NA,NA
"WR",2,4.47,33,NA,125,NA,NA
"QB",1,4.73,33.5,NA,121,NA,4.29
"WR",2,4.41,40.5,NA,129,7.13,4.28
"RB",4,4.59,34.5,21,119,NA,NA
"WR",NA,4.59,31,NA,119,NA,4.36
"RB",NA,4.38,34,NA,119,NA,NA
"QB",7,4.84,27,NA,NA,7.21,4.45
"TE",5,NA,NA,22,NA,NA,NA
"OT",3,5.05,30.5,30,117,7.46,4.49
"WR",NA,4.57,33.5,NA,118,NA,NA
"OG",3,5.25,33.5,NA,110,7.55,4.81
"QB",3,4.52,36,NA,127,7.15,4.29
"RB",NA,4.6,36.5,NA,119,NA,NA
"WR",NA,NA,29,NA,114,NA,NA
"RB",3,4.53,30,NA,119,NA,NA
"OG",NA,5.25,22.5,NA,100,8.35,4.94
"WR",2,4.44,34.5,NA,118,NA,NA
"OT",NA,4.88,NA,NA,NA,NA,NA
"WR",NA,NA,NA,11,NA,NA,NA
"TE",3,NA,NA,19,NA,NA,NA
"OG",6,NA,NA,31,NA,NA,NA
"WR",NA,4.48,34.5,NA,121,NA,NA
"OG",6,5.14,25.5,NA,107,NA,NA
"WR",5,4.43,34.5,NA,124,7.28,4.21
"RB",NA,NA,NA,NA,NA,NA,NA
"OG",6,5.18,NA,23,99,7.88,4.78
"OT",1,5.02,27.5,NA,105,7.78,4.65
"RB",4,NA,30,NA,114,NA,NA
"OG",1,5.03,28,31,120,7.44,4.5
"QB",NA,NA,NA,NA,NA,NA,NA
"RB",4,4.37,36,NA,124,NA,NA
"OT",7,NA,24.5,NA,101,7.94,4.9
"OT",6,5.41,26,NA,104,NA,4.77
"QB",7,4.91,31,NA,112,7,4.28
"WR",2,4.28,36.5,NA,130,NA,NA
"WR",3,4.49,36,NA,123,7.08,NA
"C",4,4.94,33,NA,118,7.32,4.47
"TE",5,4.76,27,17,120,7.06,4.41
"WR",NA,4.51,27,NA,113,7.45,4.53
"RB",NA,NA,29.5,NA,118,NA,NA
"OG",4,5.27,25,25,104,8.31,4.93
"OT",5,5.03,30,NA,113,NA,NA
"RB",2,4.38,34,NA,122,NA,NA
"OT",7,NA,NA,NA,NA,NA,NA
"RB",NA,4.55,31.5,NA,119,NA,NA
"WR",2,4.36,38.5,NA,136,NA,NA
"C",5,5.2,29.5,NA,113,7.45,4.57
"C",NA,5.27,28,NA,112,NA,NA
"RB",3,4.48,38,NA,125,NA,NA
"RB",NA,NA,NA,NA,NA,NA,NA
"RB",4,4.4,33.5,NA,128,NA,NA
"WR",NA,4.65,33,NA,133,NA,NA
"WR",1,NA,NA,NA,NA,NA,NA
"RB",5,4.65,32,NA,116,NA,NA
"QB",3,NA,NA,NA,NA,NA,NA
"WR",1,4.38,36,NA,123,NA,4.36
"TE",3,4.61,NA,24,NA,NA,NA
"WR",6,4.55,34.5,NA,125,NA,NA
"TE",NA,NA,NA,NA,NA,NA,NA
"OT",6,5.13,28.5,27,110,7.75,4.71
"QB",4,4.88,30,NA,109,7.19,4.4
"OLB",NA,4.73,NA,17,NA,NA,NA
"CB",NA,4.62,31,8,112,NA,NA
"DT",NA,5.38,25,19,98,8.17,4.85
"S",NA,4.54,35.5,18,120,6.98,4.12
"DE",NA,4.75,NA,33,NA,NA,NA
"DE",NA,4.74,39,25,124,6.92,4.03
"OLB",NA,4.68,NA,NA,NA,NA,NA
"DT",NA,5.32,NA,NA,NA,NA,NA
"CB",NA,4.59,33.5,NA,115,7.34,4.21
"OLB",NA,4.71,35.5,26,118,7.16,4.21
"DT",NA,5.17,29,26,110,8.22,4.75
"OLB",NA,4.68,32.5,26,106,7.38,4
"OLB",NA,4.73,NA,27,NA,NA,NA
"S",NA,4.55,NA,NA,NA,NA,NA
"DE",NA,4.84,31,21,108,7.86,4.49
"S",NA,4.53,35,17,113,7.19,4.27
"S",NA,4.77,35.5,15,118,NA,NA
"DT",NA,5.12,27,29,106,8.34,NA
"S",NA,4.6,34.5,17,127,NA,NA
"OLB",NA,4.58,34.5,22,118,NA,NA
"DT",NA,5.28,22,NA,86,8.75,4.94
"DT",NA,5.35,NA,26,NA,NA,NA
"DT",NA,5.18,33,25,111,7.63,4.66
"OLB",NA,4.73,29,NA,114,7.26,4.32
"CB",NA,4.59,38,21,123,7.37,4.34
"DE",NA,4.9,30.5,16,107,7.46,4.28
"DE",NA,5.09,33,NA,115,NA,NA
"OLB",NA,4.58,37,24,112,7.12,4.23
"OLB",NA,4.57,37,NA,112,7.15,4.25
"S",NA,4.66,NA,11,NA,NA,NA
"S",NA,4.86,NA,21,NA,NA,NA
"DT",NA,5.38,28,18,NA,NA,NA
"CB",NA,4.35,39.5,NA,125,6.97,4.23
"DE",4,4.72,33,13,120,7.11,4.34
"S",4,4.58,NA,NA,NA,NA,NA
"DT",3,5.01,NA,NA,NA,NA,NA
"DT",4,5.2,27,20,101,7.55,4.42
"DE",1,4.62,34,28,121,7.03,4.14
"S",NA,4.5,36,21,117,7.19,4.12
"DE",5,5.07,NA,24,NA,NA,NA
"DT",7,5.09,30,33,109,7.44,4.38
"OLB",7,4.6,34,14,112,7.12,4.05
"DT",NA,5.06,29.5,NA,110,7.41,4.27
"OLB",2,4.5,NA,NA,NA,6.89,3.92
"DT",NA,5.09,26.5,19,104,7.88,4.85
"CB",6,4.45,NA,NA,NA,NA,NA
"CB",NA,4.43,33,15,124,7.24,4.44
"S",5,4.67,36,15,120,6.75,4.08
"CB",1,4.34,41,15,128,NA,NA
"DT",NA,5,28.5,28,106,8.35,4.8
"DE",5,4.69,30.5,25,118,7.44,4.25
"OLB",4,4.71,33,23,115,NA,4.08
"DT",7,4.95,NA,23,NA,NA,NA
"CB",2,4.49,39.5,8,127,NA,NA
"S",5,4.64,35.5,16,117,7.03,4.14
"OLB",3,4.55,36.5,25,121,7.02,4.12
"ILB",3,4.65,35.5,22,NA,7.25,4.16
"OLB",2,4.58,NA,NA,NA,NA,NA
"ILB",5,4.76,NA,NA,114,7.2,4.02
"CB",NA,4.5,35.5,10,120,6.97,4.42
"DT",3,5,31,26,105,NA,NA
"S",4,4.65,NA,20,NA,NA,NA
"DT",2,5.12,28,25,105,7.59,4.68
"ILB",NA,4.8,37.5,35,118,7.19,4.19
"OLB",3,4.65,NA,28,NA,NA,NA
"CB",1,4.52,NA,NA,NA,NA,NA
"OLB",3,4.65,NA,NA,NA,NA,NA
"CB",3,4.46,36.5,11,123,6.91,3.91
"DE",4,4.84,33.5,24,112,NA,NA
"DT",3,5,31,34,109,7.8,4.88
"CB",NA,4.5,36.5,7,126,NA,NA
"DE",5,4.7,34.5,21,129,7.26,4.04
"CB",1,4.34,NA,NA,NA,NA,NA
"DT",1,4.78,NA,29,NA,NA,NA
"DE",2,5.12,29,23,106,NA,NA
"OLB",NA,4.64,33.5,NA,117,7.14,4.09
"CB",6,4.53,35,13,120,6.94,4.03
"CB",6,4.46,34.5,11,115,7.05,4.06
"OLB",4,4.49,39,30,NA,NA,NA
"OLB",3,4.65,37.5,20,120,7,4.08
"DT",NA,5.06,30,19,111,7.78,4.53
"DT",2,4.69,34,31,114,7.56,4.6
"DE",7,4.8,35.5,23,110,7.06,4.08
"S",2,4.63,36.5,NA,122,7.19,NA
"DE",NA,4.87,25,24,105,7.79,4.45
"ILB",4,4.71,30.5,NA,108,6.98,3.88
"DE",2,4.69,35.5,35,126,7.01,4.07
"DT",5,5.09,NA,NA,NA,NA,NA
"OLB",2,4.55,34.5,26,113,6.91,4.06
"DT",5,5.15,NA,31,NA,NA,NA
"CB",3,4.53,35,NA,116,NA,NA
"OLB",5,4.78,34.5,25,121,7.06,4.28
"S",6,4.6,37,11,121,7.28,4.07
"DE",7,4.62,33.5,27,NA,NA,NA
"ILB",3,4.66,34.5,23,120,6.85,3.93
"DE",7,4.57,36.5,31,123,7.99,4.48
"DE",2,4.71,37,21,114,7.3,4.44
"DT",2,4.96,33.5,41,110,7.61,4.41
"DE",4,4.78,33,NA,114,6.95,4.23
"DE",5,4.65,33,NA,118,NA,4.36
"CB",4,4.47,NA,16,NA,NA,NA
"OLB",7,4.71,NA,24,106,NA,NA
"OLB",4,4.7,NA,NA,118,NA,4.26
"S",6,4.57,39.5,NA,116,7.15,4
"DE",6,4.87,NA,NA,NA,NA,NA
"CB",2,4.56,NA,11,NA,NA,NA
"S",4,4.56,NA,NA,NA,NA,NA
"ILB",5,4.76,32.5,18,116,7.17,3.94
"DE",NA,4.97,29,24,108,7.39,4.48
"CB",1,4.34,36,15,120,6.97,3.75
"CB",NA,4.58,NA,NA,NA,NA,NA
"S",2,4.35,41.5,15,128,6.7,3.91
"DE",4,4.8,32.5,25,109,6.94,4.38
"S",3,4.47,38,18,124,6.68,3.89
"DE",3,4.81,36.5,NA,118,NA,4.32
"S",3,4.46,39,20,124,NA,NA
"ILB",4,4.86,NA,25,NA,NA,NA
"S",5,4.51,36,19,128,NA,NA
"CB",5,4.62,36,12,121,7,3.88
"DT",2,5.16,24.5,31,93,7.93,4.84
"DE",5,5.03,33,24,108,NA,4.75
"OLB",2,4.67,NA,24,NA,NA,NA
"CB",3,4.48,36.5,12,116,NA,NA
"DE",1,4.6,NA,NA,NA,NA,NA
"DT",4,4.97,30.5,42,99,7.79,4.66
"ILB",6,4.65,34.5,27,116,6.94,4.08
"DT",3,5.08,29.5,27,102,NA,NA
"DE",NA,4.86,NA,NA,NA,NA,NA
"CB",3,4.52,NA,NA,NA,NA,NA
"OLB",NA,4.68,33,NA,112,7.41,4.15
"S",1,4.51,NA,NA,NA,NA,NA
"DT",6,5.21,26.5,28,100,7.39,4.1
"CB",5,4.5,35,12,117,7.09,4.14
"OLB",2,4.57,38.5,26,129,NA,4
"CB",3,4.44,38.5,17,122,6.82,3.88
"CB",4,4.5,37.5,NA,122,NA,NA
"DE",4,4.65,34,16,120,7.48,4.46
"DT",1,5.05,32.5,29,105,NA,NA
"OLB",6,4.61,34.5,21,118,6.94,3.94
"DE",1,4.77,NA,NA,NA,NA,NA
"CB",4,4.49,NA,NA,NA,NA,NA
"DE",NA,5,31.5,14,113,7.38,4.35
"ILB",1,4.61,NA,NA,NA,NA,NA
"CB",4,4.31,37.5,14,121,6.84,4.03
"S",3,4.54,NA,15,NA,NA,NA
"S",7,4.61,34,14,116,7.06,4.02
"OLB",2,4.56,36.5,22,114,7.39,4.35
"DT",1,5.08,NA,36,NA,NA,NA
"DT",6,5.18,28,25,106,7.97,4.55
"OLB",1,4.55,NA,NA,NA,NA,NA
"OLB",4,4.52,37,16,125,7.02,4.11
"S",2,4.48,NA,18,125,NA,NA
"S",NA,4.6,37,21,122,7.28,4.09
"S",5,4.47,NA,15,120,NA,NA
"CB",6,4.49,39,13,123,6.7,3.9
"ILB",NA,4.89,34,21,115,7.31,4.2
"DT",NA,5.4,27,26,96,8.21,4.87
"DT",NA,5.01,35.5,28,112,7.71,4.42
"DE",NA,4.87,36,20,118,7.57,4.34
"S",NA,4.64,37,24,115,NA,NA
"S",NA,4.7,37,23,118,7.61,4.1
"ILB",NA,4.85,29.5,NA,112,7.31,4.36
"OLB",NA,4.67,35,27,107,7.48,4.14
"DE",NA,4.68,NA,NA,NA,NA,NA
"CB",NA,4.62,39,14,121,NA,4.05
"DE",NA,4.95,31.5,28,NA,NA,NA
"DE",NA,4.93,34.5,14,105,7.75,4.35
"OLB",NA,4.75,35.5,19,118,7.28,4.33
"S",NA,4.9,32,14,108,7.38,4.1
"DT",NA,5.12,33,27,118,7.42,4.71
"DT",NA,5.36,28,22,98,8.03,4.72
"S",NA,4.8,32,16,113,7.78,4.63
"OLB",NA,4.68,35,21,116,7.41,4.07
"DE",NA,4.9,30,27,108,8.24,4.34
"CB",NA,4.58,36,8,117,NA,NA
"CB",NA,4.5,35,13,121,7.24,4.22
"S",7,NA,39,18,114,6.94,NA
"DT",NA,5.12,29.5,28,106,7.53,4.55
"S",3,4.52,NA,22,NA,NA,NA
"DE",NA,4.93,32.5,23,107,7.57,4.4
"DT",2,4.87,29.5,21,109,7.7,4.57
"CB",2,4.37,35.5,21,NA,NA,NA
"OLB",3,4.6,41,25,128,7.11,4.1
"S",NA,4.57,35,19,112,7,4.1
"OLB",3,4.7,39,25,126,7.05,4.29
"OLB",5,4.56,34,NA,113,7.08,4.12
"CB",NA,4.63,36.5,13,123,7.2,4.24
"DT",6,5.06,31.5,23,106,7.8,4.68
"S",2,4.46,37.5,NA,118,7.09,4.08
"DT",NA,4.91,32.5,35,115,7.23,4.2
"OLB",2,4.58,36,20,130,NA,NA
"S",NA,4.51,40.5,16,127,7.1,3.98
"DE",4,4.98,NA,NA,NA,NA,NA
"S",4,4.47,35,21,121,7.18,4.04
"DT",1,4.79,34.5,32,112,NA,NA
"DE",3,4.84,35,25,122,7.24,4.41
"DE",2,4.75,NA,NA,NA,NA,NA
"DT",2,5.05,NA,34,NA,NA,NA
"OLB",5,4.7,NA,NA,NA,NA,NA
"CB",2,4.36,40,11,118,6.94,4.16
"S",4,4.5,37,19,117,7.09,3.92
"ILB",3,4.71,NA,NA,NA,NA,NA
"CB",NA,4.59,35,12,117,7.04,3.89
"S",6,4.52,39.5,14,132,6.92,3.8
"CB",4,4.54,35,NA,120,6.95,3.97
"DE",4,4.8,37,22,118,7.66,4.44
"DE",NA,4.75,34,NA,111,7.11,4.23
"S",1,4.6,36.5,NA,115,7.09,3.97
"DT",3,5.07,27.5,25,103,8,4.79
"S",5,4.57,NA,21,NA,NA,NA
"OLB",NA,4.75,NA,21,NA,NA,NA
"ILB",NA,4.81,34.5,36,118,7.27,4.12
"S",NA,4.59,35.5,20,111,7.15,4.14
"DT",5,5.24,27,NA,102,8.01,4.68
"ILB",3,4.68,31.5,25,112,7.69,4.45
"CB",3,4.34,41,14,125,6.78,3.89
"S",3,4.43,43.5,7,NA,NA,NA
"S",NA,4.74,35,17,113,6.96,4.07
"DE",NA,5,28,23,106,7.54,4.43
"DE",NA,4.66,38,19,124,7.09,4.12
"S",4,4.44,NA,NA,NA,NA,NA
"CB",3,4.52,38,NA,120,NA,3.9
"ILB",5,4.6,35.5,32,112,7.1,NA
"S",NA,4.76,31.5,22,111,7.17,4.26
"OLB",5,4.59,35.5,35,124,7.21,4.07
"OLB",NA,4.71,40.5,22,117,7.19,4.07
"DT",6,5.23,27,21,100,8,4.69
"CB",2,4.45,34,17,111,6.87,3.9
"DE",6,4.74,34,33,110,7.38,4.35
"ILB",3,4.65,34,25,116,7.23,4.1
"CB",3,4.45,42,12,124,6.8,4.07
"CB",7,4.39,39,15,115,7.16,4.08
"DE",NA,4.88,NA,NA,NA,NA,NA
"CB",1,4.52,36,23,125,6.95,3.96
"DE",1,4.81,37.5,NA,122,7.56,4.37
"DT",6,5.1,28.5,NA,102,7.79,4.47
"CB",1,4.43,NA,18,NA,7.15,4.1
"OLB",1,4.52,37.5,NA,120,7.2,3.87
"DT",1,4.91,NA,NA,NA,NA,NA
"CB",1,4.38,NA,NA,NA,NA,NA
"CB",5,4.44,34,20,NA,NA,3.99
"CB",5,4.43,NA,12,NA,NA,NA
"ILB",NA,4.62,34,19,121,7.16,4.32
"S",NA,4.63,NA,19,NA,NA,NA
"DE",6,4.74,38.5,27,121,7.22,4.07
"ILB",5,4.5,NA,34,NA,NA,NA
"CB",2,4.44,38.5,23,130,NA,4.04
"CB",NA,4.32,45,6,136,6.9,4.32
"DE",5,4.58,34,16,120,7.11,4.07
"DE",1,4.64,NA,25,NA,NA,NA
"ILB",5,4.85,33.5,15,NA,7.49,4.38
"DE",6,5.05,34.5,19,115,7.38,4.32
"DE",6,4.84,29.5,22,108,7.62,4.5
"ILB",3,4.75,NA,25,NA,NA,4.31
"DT",6,5.08,27.5,27,100,8.21,4.64
"S",5,4.56,NA,18,NA,NA,NA
"OLB",5,4.78,NA,NA,NA,NA,NA
"S",5,4.46,36.5,17,127,7.33,NA
"DT",1,4.93,NA,26,NA,NA,NA
"CB",3,4.35,41.5,15,125,7.09,3.91
"CB",4,4.49,40,10,126,7.17,4.07
"OLB",7,4.69,32.5,22,114,7.29,4.31
"DE",1,4.75,37,25,120,6.86,3.9
"S",2,4.52,NA,NA,NA,NA,NA
"DE",4,4.59,35.5,26,110,7.27,4.38
"DT",3,5.02,32.5,32,107,7.83,4.44
"CB",NA,4.53,40.5,15,124,7.18,4.28
"S",4,4.56,42,12,123,6.94,4.12
"DE",6,4.83,NA,18,NA,NA,NA
"DT",NA,NA,34.5,27,114,7.97,4.53
"CB",1,4.44,40.5,15,126,6.48,3.82
"CB",1,4.48,NA,15,NA,NA,NA
"DE",2,4.81,32,26,112,7.65,4.36
"CB",2,4.27,36.5,NA,129,6.63,3.9
"ILB",2,4.75,34.5,25,112,7.22,3.94
"S",5,4.44,46,17,133,NA,NA
"ILB",5,4.6,36.5,33,120,7.16,4.11
"S",NA,4.65,NA,NA,NA,NA,NA
"DT",7,4.87,34,25,116,7.54,4.31
"DE",1,5.05,NA,NA,NA,NA,NA
"CB",3,4.37,43,13,137,6.99,3.9
"DE",6,5,34,23,113,7.35,4.24
"ILB",2,4.83,35,23,113,7.31,4.16
"ILB",2,4.62,34,23,114,7.47,NA
"DE",3,4.71,NA,NA,NA,NA,NA
"S",4,4.45,38,19,118,7.12,4.21
"DE",7,5.02,29.5,18,105,7.89,4.53
"DT",7,5,32.5,NA,103,7.78,4.64
"OLB",NA,4.65,45.5,20,130,7.12,4.11
"OLB",5,4.73,35.5,10,112,7.45,3.94
"OLB",1,4.56,38.5,27,122,6.83,4.07
"OLB",6,4.71,NA,NA,NA,NA,NA
"CB",1,4.29,41.5,18,129,NA,3.91
"CB",2,4.5,NA,9,NA,NA,NA
"S",NA,4.56,36.5,23,120,7.46,3.89
"OLB",5,4.61,40.5,19,130,7.83,4.22
"CB",2,4.3,39,16,124,6.97,3.96
"CB",3,4.36,39.5,14,125,NA,NA
"CB",NA,4.5,38,18,118,6.81,4.07
"OLB",7,4.71,37,22,110,NA,4.38
"ILB",NA,4.76,33,18,108,7.29,4.3
"ILB",NA,4.93,34,NA,111,7.49,4.42
